year,nerc,month,final co2 (kg),generation (mwh),index,datetime
2001,-,1,5476075924.38597,7185661.388,762.0837705393376,2001-01-01
2001,-,2,4349472646.21941,6526739.453000001,666.4081931783235,2001-02-01
2001,-,3,4223575425.5539002,6304139.884,669.9685449990405,2001-03-01
2001,-,4,4544873499.065965,6624660.323,686.0538167197384,2001-04-01
2001,-,5,4972656076.886464,7045482.728999999,705.7935230496631,2001-05-01
2001,-,6,5536662884.548159,7682808.396000001,720.6561193730645,2001-06-01
2001,-,7,6442442644.93617,8804719.558,731.7033327975271,2001-07-01
2001,-,8,6659403510.98599,8871123.727,750.6831959425324,2001-08-01
2001,-,9,5211838183.414751,7253386.038000002,718.538646104079,2001-09-01
2001,-,10,4802246267.210418,7042242.262000001,681.9200601949437,2001-10-01
2001,-,11,5218941112.9333105,6655249.025,784.1841970644082,2001-11-01
2001,-,12,5390963507.816471,6879869.799000001,783.5851063053628,2001-12-01
2001,FRCC,1,10117176728.912899,15559095.896,650.2419418543379,2001-01-01
2001,FRCC,2,7546870223.639687,11789986.029999997,640.1084958401506,2001-02-01
2001,FRCC,3,7896232142.469487,13022134.977000002,606.3700120153874,2001-03-01
2001,FRCC,4,8840534047.37698,13800745.455,640.5838058678244,2001-04-01
2001,FRCC,5,9991071981.885286,14722588.647999998,678.6219611754575,2001-05-01
2001,FRCC,6,10763970792.92729,16732132.053999998,643.3113698952696,2001-06-01
2001,FRCC,7,11378586462.94093,17074644.91,666.4025239129221,2001-07-01
2001,FRCC,8,12044319425.833101,18309168.53,657.8299503933345,2001-08-01
2001,FRCC,9,9797515031.246792,15978006.995,613.187554262101,2001-09-01
2001,FRCC,10,9534069191.101625,14369271.853000002,663.5039888337218,2001-10-01
2001,FRCC,11,7215335724.946502,12401280.446000002,581.8218333473611,2001-11-01
2001,FRCC,12,8179593714.192849,13170702.468999999,621.0446051336467,2001-12-01
2001,MRO,1,12635800640.06443,14473854.967000004,873.0086538018871,2001-01-01
2001,MRO,2,11315265356.121254,12728768.470999999,888.9520916262139,2001-02-01
2001,MRO,3,11694462665.105154,12832820.065,911.2932781626401,2001-03-01
2001,MRO,4,10229988922.855433,11701369.396,874.2557026148115,2001-04-01
2001,MRO,5,10652352254.712814,12041605.384000001,884.6289107652436,2001-05-01
2001,MRO,6,11423619382.696148,13250073.908000004,862.1551443421688,2001-06-01
2001,MRO,7,13060162115.255201,15012527.235999996,869.9509356384028,2001-07-01
2001,MRO,8,13304953063.485657,14915858.578000003,892.00048350617,2001-08-01
2001,MRO,9,10998804834.82564,12893117.06,853.0756979589263,2001-09-01
2001,MRO,10,11293093423.18279,13429087.566,840.9427198743452,2001-10-01
2001,MRO,11,11262981631.048145,12975584.009000003,868.0134646144652,2001-11-01
2001,MRO,12,12290568274.038422,14257263.144,862.0566338645971,2001-12-01
2001,NPCC,1,9485571494.349806,20738914.564999998,457.38032550450436,2001-01-01
2001,NPCC,2,7853219602.707116,18741629.733,419.0254377333726,2001-02-01
2001,NPCC,3,8874255459.044008,20320464.107,436.7151956921595,2001-03-01
2001,NPCC,4,6609183270.8049,17843965.393999998,370.3875862159667,2001-04-01
2001,NPCC,5,7021289527.651288,18148542.861999996,386.87896769677803,2001-05-01
2001,NPCC,6,8259994581.985174,21336189.759,387.135410552906,2001-06-01
2001,NPCC,7,8561600712.935676,21514850.481,397.93912211923197,2001-07-01
2001,NPCC,8,10252973632.883999,23807407.533,430.6631714802258,2001-08-01
2001,NPCC,9,7139241977.719794,19990232.245000005,357.1365199874291,2001-09-01
2001,NPCC,10,7118765204.008117,19777843.016000003,359.93637922240225,2001-10-01
2001,NPCC,11,6567243045.670874,18792783.653,349.4555765091515,2001-11-01
2001,NPCC,12,7279372496.87994,20409236.801999997,356.6704903030279,2001-12-01
2001,RFC,1,52745900356.12587,77482159.086,680.748974710184,2001-01-01
2001,RFC,2,45780445297.637505,66335564.271999985,690.134256036792,2001-02-01
2001,RFC,3,47567496285.95053,70105985.755,678.5083438122542,2001-03-01
2001,RFC,4,42905188832.35085,61745688.33000001,694.8693907669139,2001-04-01
2001,RFC,5,44441395393.44999,65234881.067,681.2520336751454,2001-05-01
2001,RFC,6,49076900009.13322,71622067.73700002,685.2203735494787,2001-06-01
2001,RFC,7,54611058469.59548,77326507.54599999,706.2398161084471,2001-07-01
2001,RFC,8,57176937357.319305,81565318.181,700.9957005309424,2001-08-01
2001,RFC,9,45465163893.32257,64682600.42499999,702.8963522584378,2001-09-01
2001,RFC,10,43888338522.105095,64985348.947999984,675.357434138327,2001-10-01
2001,RFC,11,41268158055.8589,63340589.724999994,651.5278470729285,2001-11-01
2001,RFC,12,44893893798.305214,68697203.69900002,653.5039474824898,2001-12-01
2001,SERC,1,59901367394.079506,88569973.54099996,676.3168712741067,2001-01-01
2001,SERC,2,48164787307.40151,73695246.808,653.5670805592983,2001-02-01
2001,SERC,3,51000947076.15348,78594656.40899998,648.9111271222924,2001-03-01
2001,SERC,4,47763375931.51617,72801165.91,656.0798214490596,2001-04-01
2001,SERC,5,52083446915.92768,79237068.13499998,657.3116363567444,2001-05-01
2001,SERC,6,56652807538.630714,87379910.60999997,648.3504863204475,2001-06-01
2001,SERC,7,63929860437.43933,97007805.03700002,659.0176987620291,2001-07-01
2001,SERC,8,66567221111.285164,100093176.18299997,665.0525405406315,2001-08-01
2001,SERC,9,54258753828.4887,83039411.722,653.409660585465,2001-09-01
2001,SERC,10,49513218842.63729,78267918.66000001,632.611926959823,2001-10-01
2001,SERC,11,46555513630.78527,73180701.212,636.1720079166338,2001-11-01
2001,SERC,12,51612147332.71247,81795187.44199997,630.9924696891251,2001-12-01
2001,SPP,1,9692231614.841503,11109291.476,872.4437229665053,2001-01-01
2001,SPP,2,7295573073.813468,8899729.282,819.752246685639,2001-02-01
2001,SPP,3,7305630856.682904,8931031.644,818.0052594025839,2001-03-01
2001,SPP,4,6983634762.420573,8664535.108000001,806.0022465570662,2001-04-01
2001,SPP,5,8935139647.197815,10849446.465,823.5571903158669,2001-05-01
2001,SPP,6,9390803727.430576,11361566.198,826.5413028252793,2001-06-01
2001,SPP,7,11119839936.01352,13849229.480999999,802.9211987041606,2001-07-01
2001,SPP,8,10834337378.636402,13222763.538999999,819.3701223409894,2001-08-01
2001,SPP,9,9051651258.843924,10710614.763999999,845.1103375753834,2001-09-01
2001,SPP,10,8351680486.953901,10154721.946,822.4430497817493,2001-10-01
2001,SPP,11,7645709615.164601,8984685.659,850.9712977555157,2001-11-01
2001,SPP,12,8699943257.501842,10239342.72,849.6583711871148,2001-12-01
2001,TRE,1,15786089768.040165,26529025.224000003,595.0497477667958,2001-01-01
2001,TRE,2,12939968786.865107,21688774.636000004,596.6205562109888,2001-02-01
2001,TRE,3,14586550310.327639,23647939.372000005,616.8211987044684,2001-03-01
2001,TRE,4,14308360387.456644,23811277.186,600.9068844013684,2001-04-01
2001,TRE,5,15894682728.612942,26893266.274,591.0283476417916,2001-05-01
2001,TRE,6,17858783638.227264,29873061.757,597.8223385168247,2001-06-01
2001,TRE,7,20677824293.612057,34385248.875,601.3574125573944,2001-07-01
2001,TRE,8,20718779715.03897,34062358.207,608.2602851255656,2001-08-01
2001,TRE,9,16476917432.230442,28153420.19399999,585.2545558831241,2001-09-01
2001,TRE,10,13872073674.778183,24003393.43100001,577.9213557722475,2001-10-01
2001,TRE,11,12984087392.766968,22743231.872,570.8989586810719,2001-11-01
2001,TRE,12,14653688846.643677,24324661.411999997,602.4210819812121,2001-12-01
2001,WECC,1,29047789338.546223,54890767.39,529.1926260050456,2001-01-01
2001,WECC,2,26535935646.9378,48877316.14499998,542.9090166942883,2001-02-01
2001,WECC,3,26723864250.8432,52319843.74899999,510.77874733435124,2001-03-01
2001,WECC,4,25164712522.033653,48185050.553,522.2514500499345,2001-04-01
2001,WECC,5,27490728608.181522,52761496.92500001,521.0376924532551,2001-05-01
2001,WECC,6,26956192590.16171,53837234.908000015,500.6979395621991,2001-06-01
2001,WECC,7,30423387390.15399,57132173.35199999,532.5088405566314,2001-07-01
2001,WECC,8,30478298175.359444,58611995.294999994,520.00103429271,2001-08-01
2001,WECC,9,27107680413.008675,50636313.121999994,535.3407217404852,2001-09-01
2001,WECC,10,27393010353.330185,49948324.886999995,548.4270076184224,2001-10-01
2001,WECC,11,25704126849.63608,47994226.688,535.5670592784629,2001-11-01
2001,WECC,12,26733782870.85852,52635879.38400001,507.90037487214323,2001-12-01
2002,-,1,5238702834.65946,7463273.494,701.9309742395272,2002-01-01
2002,-,2,4174343459.6008897,6414824.926,650.733809223976,2002-02-01
2002,-,3,4493315656.233076,6935472.173,647.8745129604423,2002-03-01
2002,-,4,4528507616.01987,6663833.529,679.5649375562109,2002-04-01
2002,-,5,5165009264.148077,7624252.997,677.4446317797181,2002-05-01
2002,-,6,5567128546.809961,8390854.321999999,663.475771735602,2002-06-01
2002,-,7,6478814622.677969,9404035.35,688.9398414137149,2002-07-01
2002,-,8,6221172462.652472,9216009.218,675.0397395981067,2002-08-01
2002,-,9,5389105398.346066,7924135.324000001,680.0875020425214,2002-09-01
2002,-,10,5296936338.883213,6985651.216999999,758.2594913975668,2002-10-01
2002,-,11,5228685782.6496,6970184.302,750.1502910259201,2002-11-01
2002,-,12,5763810548.431131,7791284.203,739.776704103773,2002-12-01
2002,FRCC,1,8696265062.292997,14259298.118999999,609.866277408531,2002-01-01
2002,FRCC,2,7209263689.122998,12184942.489999996,591.6534850320004,2002-02-01
2002,FRCC,3,8144278821.095465,14137803.289,576.0639509981136,2002-03-01
2002,FRCC,4,8827627564.273,14740171.407,598.8822870866227,2002-04-01
2002,FRCC,5,10447706214.420261,16561839.139999999,630.830074251057,2002-05-01
2002,FRCC,6,10146184398.056488,16965907.066,598.0337130567946,2002-06-01
2002,FRCC,7,11617695402.990385,18375986.573999997,632.2215874617665,2002-07-01
2002,FRCC,8,11891714379.6443,19106834.482,622.3801431287397,2002-08-01
2002,FRCC,9,11473966698.771494,18506476.464,619.9973680074323,2002-09-01
2002,FRCC,10,10662334468.532831,17423517.399,611.9507459007549,2002-10-01
2002,FRCC,11,7946186543.767063,14076383.982999997,564.5048155381131,2002-11-01
2002,FRCC,12,8637477816.129507,14339557.284999998,602.3531720302694,2002-12-01
