year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2006,1006786656.99,6.53674669928e+11,649.268308625,1431.37691319
2007,1023345611.27,6.70258611527e+11,654.967983587,1443.94241661
2008,1005135853.66,6.52294091521e+11,648.961122166,1430.69968993
2009,925525504.668,5.81870177258e+11,628.69167227,1386.01366069
2010,980740580.032,6.18069072353e+11,630.206483689,1389.35321394
2011,960300947.213,5.85809858864e+11,610.027367529,1344.86633445
2012,931458875.917,5.35655989106e+11,575.072075596,1267.80389786
2013,938784590.408,5.4337018317e+11,578.801770632,1276.02638353
2014,946507009.89,5.44078785521e+11,574.828057094,1267.26593467
2015,924764847.793,4.95599999191e+11,535.920023749,1181.48928436
