year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,index (lb/MWh)
2001,1,402385976.803,2.98761611357e+11,742.475206841,2001 Q1,1636.860841
2001,2,402350724.357,2.95219058799e+11,733.735621504,2001 Q2,1617.59355117
2001,3,462293181.034,3.44448292257e+11,745.086249134,2001 Q3,1642.61714484
2001,4,383698321.714,2.76115025237e+11,719.614889125,2001 Q4,1586.46298456
2002,1,900115040.234,5.4685798086e+11,607.542321166,2002 Q1,1339.38780124
2002,2,933642485.561,5.65953678216e+11,606.17815381,2002 Q2,1336.38035789
2002,3,1080733442.9,6.79087242586e+11,628.357757452,2002 Q3,1385.27751208
2002,4,923093389.961,5.78162790473e+11,626.331849801,2002 Q4,1380.81119607
2003,1,933068795.241,5.86296235679e+11,628.352634521,2003 Q1,1385.26621806
2003,2,910442758.484,5.5069720061e+11,604.867461988,2003 Q2,1333.4908067
2003,3,1066300507.28,6.69132071456e+11,627.52673087,2003 Q3,1383.44543088
2003,4,922629558.666,5.80562245464e+11,629.24739405,2003 Q4,1387.23880492
2004,1,964919507.777,5.87215511703e+11,608.564244966,2004 Q1,1341.64073445
2004,2,958148424.19,5.68513677108e+11,593.34614842,2004 Q2,1308.09091881
2004,3,1076527357.93,6.49297003647e+11,603.140272157,2004 Q3,1329.683044
2004,4,951461900.361,5.77609634376e+11,607.075947189,2004 Q4,1338.35963317
2005,1,957881565.066,5.78486982525e+11,603.923286158,2005 Q1,1331.40927666
2005,2,966882649.975,5.67505961221e+11,586.94399081,2005 Q2,1293.97672214
2005,3,1156101028.82,7.00097181989e+11,605.567475973,2005 Q3,1335.03405753
2005,4,969358895.598,5.88208800498e+11,606.801880263,2005 Q4,1337.75542523
2006,1,954700493.569,5.60193027428e+11,586.773581036,2006 Q1,1293.60103675
2006,2,992713209.355,5.6517777033e+11,569.326332121,2006 Q2,1255.13683179
2006,3,1150138672.53,6.83730542915e+11,594.476613338,2006 Q3,1310.58314176
2006,4,966875137.157,5.77791690672e+11,597.586667055,2006 Q4,1317.43956619
2007,1,997139211.197,5.84072637849e+11,585.748340142,2007 Q1,1291.34079068
2007,2,995858606.433,5.8017847715e+11,582.591216667,2007 Q2,1284.38059626
2007,3,1170337605.11,6.96785637353e+11,595.371484527,2007 Q3,1312.55597479
2007,4,992592706.791,5.90329795857e+11,594.73517367,2007 Q4,1311.15316387
2008,1,1012669392.14,5.95406344982e+11,587.957283595,2008 Q1,1296.21062741
2008,2,1004189390.14,5.74362475725e+11,571.966285806,2008 Q2,1260.95687369
2008,3,1129911926.98,6.64233596873e+11,587.863160848,2008 Q3,1296.0031244
2008,4,972472054.09,5.63123740914e+11,579.064188576,2008 Q4,1276.60491013
2009,1,966475293.858,5.37801231518e+11,556.456264258,2009 Q1,1226.76348018
2009,2,948492267.899,5.06582806167e+11,534.092710412,2009 Q2,1177.46078938
2009,3,1081019938.41,6.01464064998e+11,556.385727616,2009 Q3,1226.6079751
2009,4,953981731.522,5.34524878806e+11,560.309344659,2009 Q4,1235.25798124
2010,1,992659190.238,5.59643855373e+11,563.782475271,2010 Q1,1242.91484498
2010,2,991173886.555,5.45477793138e+11,550.33511328,2010 Q2,1213.26879074
2010,3,1164322998.62,6.65182303005e+11,571.30392837,2010 Q3,1259.49664048
2010,4,975725670.805,5.37770878984e+11,551.149667448,2010 Q4,1215.06455686
2011,1,993845417.292,5.39516507353e+11,542.857569161,2011 Q1,1196.78379697
2011,2,992245208.292,5.32339490558e+11,536.499935812,2011 Q2,1182.76775849
2011,3,1162052023.89,6.48797000076e+11,558.320098184,2011 Q3,1230.87248846
2011,4,947764096.117,4.91329232623e+11,518.408784038,2011 Q4,1142.88400529
2012,1,957266148.876,4.72746374274e+11,493.850508377,2012 Q1,1088.74283077
2012,2,991965087.44,4.93806727176e+11,497.806559352,2012 Q2,1097.46434075
2012,3,1144202236.61,6.1865882935e+11,540.690106657,2012 Q3,1192.00540913
2012,4,951475911.036,4.98208759607e+11,523.616787171,2012 Q4,1154.365569
2013,1,983563685.613,5.05380615408e+11,513.826021436,2013 Q1,1132.78084686
2013,2,977785142.295,4.92374323797e+11,503.560856571,2013 Q2,1110.1502644
2013,3,1120492570.49,5.98979391065e+11,534.567927392,2013 Q3,1178.50845273
2013,4,981929868.23,5.04543623088e+11,513.828573112,2013 Q4,1132.78647228
2014,1,1032578364.1,5.4835300086e+11,531.052189282,2014 Q1,1170.75765649
2014,2,977984674.325,4.8651666569e+11,497.468598908,2014 Q2,1096.71927315
2014,3,1109329065.59,5.84514058531e+11,526.907728883,2014 Q3,1161.62077909
2014,4,968455047.158,4.76629818394e+11,492.154818948,2014 Q4,1085.00451385
2015,1,1009381991.26,4.94021768939e+11,489.429941504,2015 Q1,1078.99724904
2015,2,976065506.193,4.65404057523e+11,476.816417106,2015 Q2,1051.18947315
2015,3,1138719193.66,5.81934841364e+11,511.043323592,2015 Q3,1126.64611119
2015,4,932256834.337,4.2104835776e+11,451.644163123,2015 Q4,995.694722022
