year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),index (lb/MWh)
2001,1,10085902.851,10102011281.9,2001-01-01,1,1001.59712334,2208.12101812
2001,2,8470322.87,8350132099.75,2001-02-01,1,985.810367315,2173.31753578
2001,3,8033213.296,7742149004.76,2001-03-01,1,963.767389148,2124.72158612
2001,4,8312403.73,7959589597.2,2001-04-01,2,957.555702988,2111.02730281
2001,5,9926477.473,9429838516.36,2001-05-01,2,949.968258328,2094.30002231
2001,6,10796973.372,10188626580.2,2001-06-01,2,943.655803269,2080.38358389
2001,7,13238084.285,11957506719.0,2001-07-01,3,903.265643395,1991.33943743
2001,8,12979964.459,12178312734.5,2001-08-01,3,938.239297413,2068.44235508
2001,9,10357845.898,10051948925.3,2001-09-01,3,970.467124567,2139.49182282
2001,10,9241573.008,8910787004.34,2001-10-01,4,964.206742362,2125.69018421
2001,11,8649307.948,8604061187.53,2001-11-01,4,994.768742107,2193.06716885
2001,12,9645351.811,9795982651.82,2001-12-01,4,1015.61693588,2239.02909685
2002,1,17379242.683,15550537620.5,2002-01-01,1,894.776481586,1972.6242313
2002,2,15332122.638,13247312598.9,2002-02-01,1,864.023391391,1904.82596866
2002,3,16062059.316,13752688043.1,2002-03-01,1,856.221968334,1887.62695139
2002,4,15404422.994,13279373106.8,2002-04-01,2,862.049368026,1900.47403675
2002,5,16928348.202,14547950906.1,2002-05-01,2,859.38395953,1894.59787718
2002,6,20132959.838,16781443568.5,2002-06-01,2,833.530871939,1837.60216028
2002,7,22986500.354,18881719147.5,2002-07-01,3,821.426439722,1810.91672901
2002,8,23014058.943,18883349463.1,2002-08-01,3,820.513648197,1808.90438882
2002,9,19079547.565,16110466673.9,2002-09-01,3,844.384103922,1861.52919551
2002,10,16127766.41,14102258005.4,2002-10-01,4,874.408622181,1927.72124846
2002,11,16037469.813,14479656302.1,2002-11-01,4,902.864134489,1990.45427089
2002,12,17327723.931,15769790134.6,2002-12-01,4,910.090107469,2006.38465093
2003,1,18878404.426,16870788691.5,2003-01-01,1,893.655433521,1970.15276874
2003,2,16001908.921,14362265736.5,2003-02-01,1,897.534525876,1978.70461575
2003,3,16133576.328,14323400385.5,2003-03-01,1,887.800701738,1957.24542705
2003,4,15267091.935,12839524837.6,2003-04-01,2,840.993484039,1854.05423491
2003,5,17551908.763,15111118395.1,2003-05-01,2,860.938750261,1898.02556883
2003,6,18958325.934,16345953399.3,2003-06-01,2,862.204471863,1900.81597867
2003,7,22838526.813,19162966367.4,2003-07-01,3,839.06315518,1849.79863191
2003,8,23318482.035,19165591752.8,2003-08-01,3,821.905633653,1811.97315995
2003,9,16889975.277,14730295065.5,2003-09-01,3,872.132423162,1922.7031401
2003,10,15729993.711,14407269966.9,2003-10-01,4,915.910726453,2019.21678754
2003,11,14814029.097,14445346960.0,2003-11-01,4,975.112635829,2149.73331695
2003,12,18089434.606,16151695526.4,2003-12-01,4,892.880063873,1968.44338881
2004,1,18956370.425,16501331306.6,2004-01-01,1,870.490021911,1919.08230231
2004,2,17309939.993,14722099643.1,2004-02-01,1,850.499750378,1875.01174968
2004,3,16338075.132,13072414935.3,2004-03-01,1,800.119648712,1763.94377755
2004,4,15631162.786,12332982086.4,2004-04-01,2,788.99965762,1739.42864519
2004,5,18589251.341,14716374048.2,2004-05-01,2,791.660394398,1745.29450549
2004,6,19189504.6,15813687450.2,2004-06-01,2,824.080026026,1816.76682538
2004,7,22442077.982,17944058328.2,2004-07-01,3,799.572051333,1762.73654437
2004,8,21136590.11,17159103228.1,2004-08-01,3,811.819841269,1789.73802206
2004,9,19546136.597,16041710737.0,2004-09-01,3,820.710049652,1809.33737546
2004,10,16630046.573,13935772797.8,2004-10-01,4,837.987598927,1847.42746059
2004,11,16707489.687,14275618717.0,2004-11-01,4,854.444263286,1883.70782284
2004,12,18767069.29,16187621250.5,2004-12-01,4,862.554563017,1901.58778963
2005,1,19661163.682,16855982748.0,2005-01-01,1,857.323758685,1890.0559584
2005,2,16418771.497,13866182134.4,2005-02-01,1,844.53225608,1861.85581175
2005,3,17466516.545,13954415962.2,2005-03-01,1,798.923810951,1761.30743362
2005,4,15746281.895,12553005529.9,2005-04-01,2,797.204420294,1757.51686498
2005,5,17774042.946,14416853957.1,2005-05-01,2,811.118438323,1788.19170913
2005,6,21598880.573,16776010716.0,2005-06-01,2,776.707415889,1712.32916907
2005,7,23676104.586,18394274539.9,2005-07-01,3,776.913046363,1712.78250201
2005,8,23890468.966,18692881181.6,2005-08-01,3,782.440947821,1724.96931357
2005,9,20508090.563,16027868060.0,2005-09-01,3,781.53877909,1722.98039238
2005,10,16957367.572,13689883741.3,2005-10-01,4,807.311847384,1779.79969874
2005,11,16483686.762,13677052440.9,2005-11-01,4,829.732610088,1829.2285122
2005,12,19233161.459,15737515986.0,2005-12-01,4,818.249044473,1803.91184345
2006,1,15819213.147,13119894333.4,2006-01-01,1,829.36453359,1828.41705075
2006,2,15479263.7,12016654467.4,2006-02-01,1,776.30659315,1711.44551526
2006,3,15614301.745,11964892399.0,2006-03-01,1,766.277774975,1689.33598271
2006,4,16006586.045,11584008029.9,2006-04-01,2,723.702605751,1595.47476464
