year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2001,632775174.996,3.85867753578e+11,609.802294442,1344.37013833
2002,867904269.782,5.03956064839e+11,580.658584576,1280.11991556
2003,851041122.918,4.93015087494e+11,579.308184079,1277.14282262
2004,890384537.809,5.01232936428e+11,562.939848058,1241.05718903
2005,917411683.998,5.27060987411e+11,574.508692885,1266.56186433
2006,1058976209.32,6.56299481389e+11,619.749032708,1366.29871751
2007,1117845317.72,6.94477524668e+11,621.264421527,1369.6395437
2008,1087937225.89,6.6963830911e+11,615.511900111,1356.95753498
2009,1049523782.9,5.92641895503e+11,564.676956501,1244.8868183
2010,1117259084.37,6.52859185234e+11,584.340010627,1288.23598743
2011,1093337013.71,6.21936701862e+11,568.842629548,1254.0704611
2012,1076706647.3,5.7281963573e+11,532.010865883,1172.87115492
2013,1081640591.22,5.61608550638e+11,519.219189068,1144.67062422
2014,1091773021.59,5.7459890661e+11,526.298869129,1160.27848688
2015,1085194011.6,5.29081356422e+11,487.545407334,1074.84260501
