fuel category,datetime,nerc,year,month,generation (mwh)
Coal,2001-01-01,-,0.2,0.2,0.6936237407907204
Coal,2001-02-01,-,0.2,0.2,0.6162489393001973
Coal,2001-03-01,-,0.2,0.2,0.6014996603460521
Coal,2001-04-01,-,0.2,0.2,0.6217069042318655
Coal,2001-05-01,-,0.2,0.2,0.6372007464472488
Coal,2001-06-01,-,0.2,0.2,0.6159945359907684
Coal,2001-07-01,-,0.2,0.2,0.5949108813171355
Coal,2001-08-01,-,0.2,0.2,0.6073442840845186
Coal,2001-09-01,-,0.2,0.2,0.6133772519057533
Coal,2001-10-01,-,0.2,0.2,0.6013176873863133
Coal,2001-11-01,-,0.2,0.2,0.691305183880779
Coal,2001-12-01,-,0.2,0.2,0.677659963372804
Coal,2002-01-01,-,0.2,0.2,0.6137830136712393
Coal,2002-02-01,-,0.2,0.2,0.5580770987981286
Coal,2002-03-01,-,0.2,0.2,0.5562418263342659
Coal,2002-04-01,-,0.2,0.2,0.5701895664806905
Coal,2002-05-01,-,0.2,0.2,0.5865176045128031
Coal,2002-06-01,-,0.2,0.2,0.564151532888453
Coal,2002-07-01,-,0.2,0.2,0.5676355757212248
Coal,2002-08-01,-,0.2,0.2,0.5545923909252757
Coal,2002-09-01,-,0.2,0.2,0.5850155684443735
Coal,2002-10-01,-,0.2,0.2,0.6848065686930216
Coal,2002-11-01,-,0.2,0.2,0.7005144412894464
Coal,2002-12-01,-,0.16666666666666666,0.16666666666666666,0.692078962531461
Coal,2003-01-01,-,0.16666666666666666,0.16666666666666666,0.6326055386263132
Coal,2003-02-01,-,0.16666666666666666,0.16666666666666666,0.6478775872824131
Coal,2003-03-01,-,0.16666666666666666,0.16666666666666666,0.6769680512978805
Coal,2003-04-01,-,0.16666666666666666,0.16666666666666666,0.6048912581701824
Coal,2003-05-01,-,0.16666666666666666,0.16666666666666666,0.5781687139796736
Coal,2003-06-01,-,0.16666666666666666,0.16666666666666666,0.6224471210536691
Coal,2003-07-01,-,0.16666666666666666,0.16666666666666666,0.5654831054996666
Coal,2003-08-01,-,0.16666666666666666,0.16666666666666666,0.5527925348652224
Coal,2003-09-01,-,0.16666666666666666,0.16666666666666666,0.6441229663998573
Coal,2003-10-01,-,0.16666666666666666,0.16666666666666666,0.6518282326394899
Coal,2003-11-01,-,0.16666666666666666,0.16666666666666666,0.7024293756128376
Coal,2003-12-01,-,0.16666666666666666,0.16666666666666666,0.6722184020377718
Coal,2004-01-01,-,0.16666666666666666,0.16666666666666666,0.6243944713466617
Coal,2004-02-01,-,0.16666666666666666,0.16666666666666666,0.612069128675601
Coal,2004-03-01,-,0.16666666666666666,0.16666666666666666,0.5502138512785848
Coal,2004-04-01,-,0.16666666666666666,0.16666666666666666,0.5277986795793874
Coal,2004-05-01,-,0.16666666666666666,0.16666666666666666,0.4953402922962405
