year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2002,5756602.366,3098233307.61,538.205196508,1186.52717622
2003,6094181.052,3269741362.81,536.534988854,1182.84503643
2004,6526716.862,3492071757.07,535.042630301,1179.55498276
2005,7960791.543,5043116353.39,633.494336104,1396.60161337
2006,6674196.774,3738677159.73,560.168854219,1234.94825601
2007,6821391.618,3738342474.57,548.032232119,1208.19185893
2008,6765932.402,3716142369.65,549.243200915,1210.86156074
2009,6702159.389,3623770612.88,540.687023771,1191.99861261
2010,6747178.381,3521909431.85,521.982558186,1150.76274778
2011,6853178.05,3663309753.8,534.541745023,1178.45073108
2012,6857176.496,3577009638.93,521.644679996,1150.01786152
2013,6330661.642,3411588822.51,538.899251837,1188.0572906
2014,5938160.629,2949589193.41,496.717650076,1095.06373136
2015,5676124.52,2768074276.78,487.66975901,1075.11675071
