year,month,generation (MWh),final CO2 (kg),datetime,quarter,index (g/kWh),index (lb/MWh)
2002,1,53871998.893,25019174919.5,2002-01-01,1,464.418908406,1023.85792547
2002,2,47239115.902,21780512461.1,2002-02-01,1,461.069434625,1016.47367557
2002,3,51923625.037,24490001561.3,2002-03-01,1,471.65431042,1039.80909275
2002,4,49482358.312,21504349286.2,2002-04-01,2,434.586184244,958.088701785
2002,5,52665104.08,22908704913.0,2002-05-01,2,434.988315568,958.975240501
2002,6,57107199.234,23044735174.3,2002-06-01,2,403.534676598,889.632548028
2002,7,61471975.032,26878378248.3,2002-07-01,3,437.246049672,963.952641106
2002,8,57844436.765,27578120155.0,2002-08-01,3,476.763569624,1051.07296559
2002,9,52959820.731,26249098509.0,2002-09-01,3,495.641755329,1092.6918138
2002,10,49543701.515,24934233199.5,2002-10-01,4,503.27755975,1109.52570823
2002,11,48214149.003,23880715646.6,2002-11-01,4,495.305136364,1091.94970363
2002,12,52513748.258,25742681772.8,2002-12-01,4,490.208424017,1080.71349159
2003,1,52351416.431,25732540766.8,2003-01-01,1,491.534757244,1083.63752582
2003,2,47237795.299,22611882261.9,2003-02-01,1,478.681998573,1055.30233405
2003,3,51167052.748,23188344343.6,2003-03-01,1,453.188978028,999.100420961
2003,4,48474064.747,20695415375.5,2003-04-01,2,426.93789934,941.227292884
2003,5,52682386.406,22112471880.5,2003-05-01,2,419.731781133,925.340684686
2003,6,55409029.21,23613679317.0,2003-06-01,2,426.170240729,939.534912711
2003,7,63748343.037,30390278941.9,2003-07-01,3,476.722648685,1050.98275129
2003,8,61395458.06,29665966418.9,2003-08-01,3,483.194805549,1065.25126831
2003,9,54683675.018,26643350618.9,2003-09-01,3,487.226774903,1074.14014795
2003,10,53206964.759,26279032337.2,2003-10-01,4,493.902113309,1088.856599
2003,11,50396075.471,24629052985.9,2003-11-01,4,488.709740902,1077.40949479
2003,12,54650772.568,25856435592.4,2003-12-01,4,473.121135849,1043.04285609
2004,1,56218057.0033,25838911908.8,2004-01-01,1,459.619440553,1013.27701864
2004,2,51616092.2483,23837135558.5,2004-02-01,1,461.815967079,1018.11948102
2004,3,53216566.0879,24340601938.5,2004-03-01,1,457.387684472,1008.35688919
2004,4,50081700.9162,22440139793.0,2004-04-01,2,448.070640223,987.816533435
2004,5,55124579.6864,23623916611.1,2004-05-01,2,428.555042877,944.792447526
2004,6,58198806.4021,25160670206.2,2004-06-01,2,432.322787384,953.098817066
2004,7,64101797.0984,28797607145.0,2004-07-01,3,449.248046834,990.41224405
2004,8,62942684.1219,29622870327.7,2004-08-01,3,470.632460959,1037.55632343
2004,9,57985374.5346,27756750115.8,2004-09-01,3,478.685364001,1055.30975348
2004,10,53741930.8454,26711714619.0,2004-10-01,4,497.036749494,1095.76721793
2004,11,52339560.5001,26074984690.7,2004-11-01,4,498.188835397,1098.30710652
2004,12,57448990.179,27131464171.2,2004-12-01,4,472.27051488,1041.1675771
2005,1,56954007.519,26422198285.6,2005-01-01,1,463.921670073,1022.76171384
2005,2,50104977.408,22839765567.9,2005-02-01,1,455.838256984,1004.94102135
2005,3,53210240.639,24021640731.7,2005-03-01,1,451.447699601,995.261598541
2005,4,51565226.903,22734157611.2,2005-04-01,2,440.881558691,971.96748429
2005,5,56713762.601,22958005687.0,2005-05-01,2,404.804841614,892.432753823
2005,6,59281930.738,25204533986.2,2005-06-01,2,425.16385132,937.31622662
2005,7,69052727.804,30532529018.9,2005-07-01,3,442.162532747,974.791519694
2005,8,66334549.9361,30657473457.0,2005-08-01,3,462.164490248,1018.8878352
2005,9,56752942.976,27091717162.8,2005-09-01,3,477.362331223,1052.39299541
2005,10,54186824.562,26516812516.4,2005-10-01,4,489.359041257,1078.84094235
2005,11,53680683.216,25542247520.3,2005-11-01,4,475.818227156,1048.98886359
2005,12,59331866.165,27591775631.7,2005-12-01,4,465.041425716,1025.23032713
2006,1,58280789.886,24362221127.8,2006-01-01,1,418.014600959,921.554989275
2006,2,52815111.504,21827319843.4,2006-02-01,1,413.277927886,911.112519817
2006,3,56955439.65,24258854458.7,2006-03-01,1,425.926910719,938.998467371
2006,4,53142069.765,19905123270.2,2006-04-01,2,374.564320852,825.76450175
2006,5,59677557.533,21780972567.7,2006-05-01,2,364.977614167,804.629648192
2006,6,65416809.943,24328258835.7,2006-06-01,2,371.896135823,819.882221035
2006,7,72196798.456,31486921739.8,2006-07-01,3,436.126288328,961.484015249
2006,8,67540555.655,30330858855.6,2006-08-01,3,449.076241103,990.033481137
2006,9,59183546.308,27861032074.2,2006-09-01,3,470.756380991,1037.82951753
2006,10,56775322.016,27202808170.7,2006-10-01,4,479.130847783,1056.29186702
2006,11,54815826.557,25851416440.0,2006-11-01,4,471.604973668,1039.70032495
2006,12,60515430.219,27328130000.5,2006-12-01,4,451.589452501,995.574106984
2007,1,64215809.412,28419051006.0,2007-01-01,1,442.555365512,975.657558808
2007,2,53400642.329,24727421073.6,2007-02-01,1,463.054749814,1020.85050144
2007,3,58010179.43,24902919052.8,2007-03-01,1,429.285330566,946.402439767
2007,4,55624006.206,22733619435.2,2007-04-01,2,408.701583828,901.023511707
2007,5,60597063.752,24873318985.3,2007-05-01,2,410.47069685,904.923698275
2007,6,63407763.784,28399219504.4,2007-06-01,2,447.882369754,987.40147236
2007,7,72348725.6,33114537505.5,2007-07-01,3,457.707267555,1009.06144205
2007,8,71572228.467,33951623409.6,2007-08-01,3,474.368678142,1045.79318783
2007,9,62410221.969,30200188358.1,2007-09-01,3,483.898108439,1066.80176986
2007,10,58465782.913,29044631723.1,2007-10-01,4,496.780001499,1095.2011913
2007,11,57192915.784,27945828895.7,2007-11-01,4,488.623958275,1077.22037841
2007,12,62523582.661,30038537823.1,2007-12-01,4,480.435326075,1059.16771987
2008,1,64722617.708,29639533217.5,2008-01-01,1,457.947071165,1009.59011309
2008,2,57226776.677,26314015671.6,2008-02-01,1,459.819986369,1013.71914195
2008,3,58991546.389,26507567643.8,2008-03-01,1,449.345190393,990.626406741
2008,4,58952490.581,25174719708.4,2008-04-01,2,427.034031307,941.439225419
2008,5,61148031.344,23935219424.0,2008-05-01,2,391.430744341,862.948218975
2008,6,67260523.08,25626385040.8,2008-06-01,2,381.001869556,839.956721623
2008,7,73170192.573,31267233405.7,2008-07-01,3,427.322005125,942.074092498
2008,8,72099892.332,33031934900.8,2008-08-01,3,458.141251427,1010.0182029
2008,9,63239144.425,30370551327.5,2008-09-01,3,480.249244414,1058.75748423
2008,10,59750314.711,29105274024.8,2008-10-01,4,487.114991203,1073.89370961
2008,11,55732972.235,27187560275.9,2008-11-01,4,487.818237313,1075.44408598
2008,12,63361026.504,29766294352.8,2008-12-01,4,469.788701276,1035.69617083
2009,1,62589001.551,28114626539.9,2009-01-01,1,449.194360721,990.293887645
2009,2,54325356.445,24868672165.1,2009-02-01,1,457.772830084,1009.2059812
2009,3,58148075.967,25093207052.5,2009-03-01,1,431.539765249,951.372566468
2009,4,54898904.529,20374613806.8,2009-04-01,2,371.12969706,818.192530139
2009,5,59660707.16,22158748262.0,2009-05-01,2,371.412765903,818.816583709
2009,6,60782621.537,21750099446.0,2009-06-01,2,357.83417852,788.881229965
2009,7,72162137.176,30653729047.3,2009-07-01,3,424.789650736,936.491264012
2009,8,68448878.347,31520493093.9,2009-08-01,3,460.496853346,1015.21136289
2009,9,63652805.956,29590774056.8,2009-09-01,3,464.87776324,1024.86951684
2009,10,57615562.208,27885868091.8,2009-10-01,4,483.998888897,1067.02395046
2009,11,55839156.028,26597206042.4,2009-11-01,4,476.318195587,1050.09109399
2009,12,63500395.335,29518891463.6,2009-12-01,4,464.861538387,1024.83374753
2010,1,59065622.601,28001779898.9,2010-01-01,1,474.079145632,1045.15488446
2010,2,52976820.979,24320019497.0,2010-02-01,1,459.069061668,1012.06365335
2010,3,57486391.739,25842367338.8,2010-03-01,1,449.538865757,991.053383448
2010,4,54712205.868,23660001016.8,2010-04-01,2,432.444655474,953.367487458
2010,5,57277479.71,22877275158.3,2010-05-01,2,399.411344112,880.542249229
2010,6,63080215.235,22419141787.4,2010-06-01,2,355.406868919,783.529983219
2010,7,71167086.023,29712384515.6,2010-07-01,3,417.5017719,920.424406331
2010,8,69466784.272,30944818775.1,2010-08-01,3,445.462088095,982.065719415
2010,9,62768684.201,28654668782.3,2010-09-01,3,456.512178757,1006.42674929
2010,10,58574506.514,26989574438.0,2010-10-01,4,460.773398603,1015.82103456
2010,11,57330376.897,25575493675.6,2010-11-01,4,446.107195869,983.487924013
2010,12,61562006.711,26942109772.3,2010-12-01,4,437.64183807,964.825196209
2011,1,62465331.656,25585902618.6,2011-01-01,1,409.60164527,903.007787162
2011,2,56896279.969,21524590253.0,2011-02-01,1,378.31278714,834.028370529
2011,3,59540476.43,20969061200.7,2011-03-01,1,352.181615902,776.419590418
2011,4,56131890.523,18112786966.0,2011-04-01,2,322.682646126,711.38616165
2011,5,57461731.052,18676909478.2,2011-05-01,2,325.032141153,716.565858386
2011,6,61925129.87,20924415631.4,2011-06-01,2,337.898615236,744.93128715
2011,7,70800186.194,26052729606.7,2011-07-01,3,367.97543915,811.238653151
2011,8,71128641.994,29888829071.8,2011-08-01,3,420.208065751,926.390701755
2011,9,62670430.46,27878772669.7,2011-09-01,3,444.847314197,980.710388878
2011,10,57547203.812,25165524014.3,2011-10-01,4,437.302290073,964.076628695
2011,11,56934716.004,24639739911.5,2011-11-01,4,432.771806743,954.088725146
2011,12,63785437.638,27653817051.7,2011-12-01,4,433.544364917,955.791906896
2012,1,61073692.267,25869340390.6,2012-01-01,1,423.575838145,933.815292775
2012,2,55804806.458,23686133700.6,2012-02-01,1,424.446122188,935.733920976
2012,3,58277136.754,21097495196.2,2012-03-01,1,362.020105505,798.109524597
2012,4,55624352.733,18635362058.2,2012-04-01,2,335.021643265,738.588714743
2012,5,60680896.9,20056836590.8,2012-05-01,2,330.529666097,728.685701878
2012,6,64328787.492,22865822214.7,2012-06-01,2,355.452404843,783.630371717
2012,7,70374150.786,26844887839.3,2012-07-01,3,381.459492434,840.965597021
2012,8,73586740.27,30888674840.6,2012-08-01,3,419.75870554,925.400042232
2012,9,63606264.944,28522407030.1,2012-09-01,3,448.421347413,988.589702508
2012,10,59734158.306,28033576258.1,2012-10-01,4,469.305620989,1034.63117203
2012,11,56338966.922,25276911718.9,2012-11-01,4,448.657707088,989.110781045
2012,12,62243359.536,25544597007.0,2012-12-01,4,410.398750926,904.765086292
2013,1,64173046.188,27179744055.3,2013-01-01,1,423.538318185,933.73257627
2013,2,54775754.072,23600054682.3,2013-02-01,1,430.848558494,949.848732055
2013,3,57434027.907,24986072190.9,2013-03-01,1,435.039524503,959.088135719
2013,4,57185699.93,21248438499.3,2013-04-01,2,371.569090268,819.161216405
2013,5,60925173.638,22485996522.7,2013-05-01,2,369.075624738,813.664122298
2013,6,66122834.943,26125847854.5,2013-06-01,2,395.110824831,871.061324423
2013,7,73599785.432,30408065395.4,2013-07-01,3,413.154266917,910.839896844
2013,8,70738931.625,31250526001.6,2013-08-01,3,441.77266017,973.932006612
2013,9,63029321.627,27956654266.9,2013-09-01,3,443.549978729,977.850283105
2013,10,58553915.958,26366809815.7,2013-10-01,4,450.299683366,992.730681949
2013,11,57203680.285,25686256447.5,2013-11-01,4,449.031536424,989.934925201
2013,12,64729175.834,28694597528.0,2013-12-01,4,443.302377301,977.304420999
2014,1,61699369.167,27213037547.8,2014-01-01,1,441.058602628,972.357795354
2014,2,55136098.828,24900243426.2,2014-02-01,1,451.614168493,995.62859586
2014,3,58698832.917,21900662121.1,2014-03-01,1,373.102173123,822.541050866
2014,4,56555548.851,19935291348.7,2014-04-01,2,352.490458561,777.100464944
2014,5,61425825.516,21346612765.6,2014-05-01,2,347.518532902,766.139357635
2014,6,65224620.606,23499216090.6,2014-06-01,2,360.281376453,794.276322528
2014,7,74347381.577,30530044662.6,2014-07-01,3,410.640482758,905.298008289
2014,8,69579414.515,30708398849.8,2014-08-01,3,441.34316254,972.985136136
2014,9,64625554.726,29067550786.8,2014-09-01,3,449.784159069,991.594157083
2014,10,59776886.126,26893540936.4,2014-10-01,4,449.898659487,991.846584705
2014,11,57029813.092,24104573636.4,2014-11-01,4,422.666186851,931.809875531
2014,12,61009420.058,25297467618.1,2014-12-01,4,414.648550897,914.134195308
2015,1,60401199.72,24431527940.8,2015-01-01,1,404.487461409,891.733057423
2015,2,52662949.247,18897061077.7,2015-02-01,1,358.830284819,791.077245911
2015,3,57604873.098,20898030266.5,2015-03-01,1,362.782333206,799.789931785
2015,4,54056406.339,19814105291.6,2015-04-01,2,366.544996856,808.085100069
2015,5,56188458.971,21593603293.9,2015-05-01,2,384.30673646,847.2426312
2015,6,64980939.54,27445357372.4,2015-06-01,2,422.36011924,931.135118875
2015,7,70021508.86,30309931687.9,2015-07-01,3,432.866017618,954.296422442
2015,8,71247843.529,31077780968.0,2015-08-01,3,436.192583925,961.630170522
2015,9,63934174.456,28021435263.4,2015-09-01,3,438.28571342,966.244683805
2015,10,59328793.983,26505957819.9,2015-10-01,4,446.763806248,984.935487254
2015,11,54940694.83,22595029959.7,2015-11-01,4,411.262180605,906.668603361
2015,12,61447220.078,25405805428.6,2015-12-01,4,413.457360582,911.50809714
