year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,index (lb/MWh)
2006,1,247942025.65,1.63138051924e+11,657.968537187,2006 Q1,1450.55743708
2006,2,238071288.085,1.52627619445e+11,641.100489997,2006 Q2,1413.37014025
2006,3,276446583.213,1.80913918937e+11,654.426315688,2006 Q3,1442.74825557
2006,4,244326760.038,1.56995079622e+11,642.561951041,2006 Q4,1416.59207726
2007,1,253559523.402,1.64366319802e+11,648.235639495,2007 Q1,1429.10029083
2007,2,241227538.912,1.56542421187e+11,648.940920648,2007 Q2,1430.65515366
2007,3,280432064.388,1.85753953561e+11,662.38485947,2007 Q3,1460.29366119
2007,4,248126484.57,1.63595916977e+11,659.324687811,2007 Q4,1453.54720675
2008,1,259119531.187,1.70141270588e+11,656.613068913,2008 Q1,1447.56917173
2008,2,239086482.386,1.53289699525e+11,641.147496065,2008 Q2,1413.47376983
2008,3,267464103.417,1.75767233106e+11,657.161955044,2008 Q3,1448.77924609
2008,4,239465736.671,1.53095888302e+11,639.322729133,2008 Q4,1409.45088865
2009,1,238945049.52,1.51432455867e+11,633.754313683,2009 Q1,1397.17475995
2009,2,214637991.281,1.34625988882e+11,627.223484894,2009 Q2,1382.7768948
2009,3,241944021.033,1.51439454799e+11,625.927659432,2009 Q3,1379.92011798
2009,4,229998442.834,1.44372277711e+11,627.709805042,2009 Q4,1383.8490362
2010,1,243114877.882,1.55233215601e+11,638.517958889,2010 Q1,1407.67669217
2010,2,231999151.787,1.44069774569e+11,620.992678029,2010 Q2,1369.04045798
2010,3,271090722.517,1.74721121531e+11,644.511622929,2010 Q3,1420.89032391
2010,4,234535827.846,1.44044960653e+11,614.170389129,2010 Q4,1354.00003987
2011,1,241464290.721,1.47528442727e+11,610.974162211,2011 Q1,1346.95363801
2011,2,226638126.238,1.39195441914e+11,614.17487086,2011 Q2,1354.0099203
2011,3,267594267.224,1.69920352533e+11,634.992499262,2011 Q3,1399.90446387
2011,4,224604263.03,1.2916562169e+11,575.080899833,2011 Q4,1267.82335177
2012,1,228701761.638,1.2404890978e+11,542.404697241,2012 Q1,1195.78539554
2012,2,223823791.742,1.27453474099e+11,569.4366676,2012 Q2,1255.38007739
2012,3,258196518.689,1.57781541225e+11,611.090893192,2012 Q3,1347.21098313
2012,4,220736803.848,1.26372064002e+11,572.50110448,2012 Q4,1262.13593494
2013,1,238077520.882,1.355953131e+11,569.542695998,2013 Q1,1255.6138276
2013,2,219302577.797,1.27117861638e+11,579.645998306,2013 Q2,1277.88756786
2013,3,249102460.263,1.49078711426e+11,598.463424521,2013 Q3,1319.3724657
2013,4,232302031.466,1.31578297007e+11,566.410444955,2013 Q4,1248.70846695
2014,1,254234360.037,1.53513022736e+11,603.824843794,2014 Q1,1331.19225063
2014,2,220934249.789,1.24958867235e+11,565.593009477,2014 Q2,1246.90634869
2014,3,244948826.963,1.42561143929e+11,582.003782979,2014 Q3,1283.08553995
2014,4,226389573.101,1.23045751621e+11,543.513333833,2014 Q4,1198.22949577
2015,1,249738626.118,1.40339440442e+11,561.945273039,2015 Q1,1238.86454894
2015,2,216210913.729,1.13178221574e+11,523.462112164,2015 Q2,1154.02457248
2015,3,249616694.293,1.40540429663e+11,563.024961376,2015 Q3,1241.24482985
2015,4,209198613.653,1.01541907512e+11,485.385183672,2015 Q4,1070.08017592
