year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2001,1650728203.91,1.21454398765e+12,735.762546962,1622.06211103
2002,3837584358.66,2.37006169213e+12,617.592076324,1361.54349146
2003,3832441619.67,2.38668775321e+12,622.759063298,1372.93463095
2004,3951057190.26,2.38263582683e+12,603.037544662,1329.45657096
2005,4050224139.45,2.43429892623e+12,601.028200519,1325.02677086
2006,4064427512.61,2.38689303135e+12,587.264263894,1294.68279618
2007,4155928129.53,2.45136654821e+12,589.848157091,1300.37924712
2008,4119242763.35,2.39712615849e+12,581.933694178,1282.93102219
2009,3949969231.69,2.18037298149e+12,551.997459625,1216.93359949
2010,4123881746.22,2.3080748305e+12,559.685018276,1233.88159129
2011,4095906745.59,2.21198223061e+12,540.047019622,1190.58765946
2012,4044909383.96,2.08342069041e+12,515.072277927,1135.52834392
2013,4063771266.63,2.10127795336e+12,517.075842977,1139.94540343
2014,4088347151.17,2.09601354348e+12,512.679932984,1130.25418026
2015,4056423525.45,1.96240902559e+12,483.778139357,1066.53728603
