fuel category,year,quarter,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),year_quarter
Coal,2001,1,495501,900254098.0,89563290.34,900254098.0,5867.953419,-14734.735611,84761198577.0,84761198577.0,84761198577.0,84761198577.0,2001 Q1
Coal,2001,2,495501,900723781.0,89577453.278,900723781.0,5867.953419,-14734.735611,84799018092.0,84799018092.0,84799018092.0,84799018092.0,2001 Q2
Coal,2001,3,495501,1044698687.0,102802156.659,1044698687.0,5867.953419,-14734.735611,98384194586.1,98384194586.1,98384194586.1,98384194586.1,2001 Q3
Coal,2001,4,495501,821258714.0,81632174.721,821258714.0,5867.953419,-14734.735611,77385771445.2,77385771445.2,77385771445.2,77385771445.2,2001 Q4
Coal,2002,1,7566921,1046332090.0,101076082.932,1009395287.0,13920.726729,-33186.752088,98388089574.4,94959903950.5,98388089574.4,94959903950.5,2002 Q1
Coal,2002,2,7761288,1117236334.0,106671478.44,1081100244.0,14116.022961,-33726.576021,1.0506692422e+11,1.01713442133e+11,1.0506692422e+11,1.01713442133e+11,2002 Q2
Coal,2002,3,7871049,1309558716.0,124464228.409,1269483369.0,14185.285361,-33890.855521,1.23124042169e+11,1.19406257637e+11,1.23124042169e+11,1.19406257637e+11,2002 Q3
Coal,2002,4,8090571,1135525367.0,109044046.523,1096879221.0,14323.810161,-34219.414521,1.06795851566e+11,1.0321173104e+11,1.06795851566e+11,1.0321173104e+11,2002 Q4
Coal,2003,1,7225599,1097283180.0,107896802.785,1073375462.0,14405.32233,-34490.446704,1.03157825088e+11,1.00927234999e+11,1.03157825088e+11,1.00927234999e+11,2003 Q1
Coal,2003,2,7125109,1038019061.0,100137341.24,1017661056.0,14335.85233,-34315.825104,97649470176.6,95750068310.1,97649470176.6,95750068310.1,2003 Q2
Coal,2003,3,7074864,1279143108.0,124178969.676,1256317209.0,14301.11733,-34228.514304,1.20308823839e+11,1.18179167462e+11,1.20308823839e+11,1.18179167462e+11,2003 Q3
Coal,2003,4,7074864,1120801562.0,109246001.378,1098178279.0,14301.11733,-34228.514304,1.05501228195e+11,1.03390475891e+11,1.05501228195e+11,1.03390475891e+11,2003 Q4
Coal,2004,1,7442145,1135363073.48,110477478.047,1097100945.87,14621.886231,-34957.187433,1.06793646019e+11,1.03223789513e+11,1.06793646019e+11,1.03223789513e+11,2004 Q1
Coal,2004,2,7442145,1143095335.3,110694419.874,1109950996.04,14621.886231,-34957.187433,1.07608880755e+11,1.04516513902e+11,1.07608880755e+11,1.04516513902e+11,2004 Q2
Coal,2004,3,7442145,1259492057.8,122179122.822,1224341859.25,14621.886231,-34957.187433,1.18630724448e+11,1.15351210924e+11,1.18630724448e+11,1.15351210924e+11,2004 Q3
Coal,2004,4,7442145,1114044490.88,108378574.392,1080407698.99,14621.886231,-34957.187433,1.04948698846e+11,1.01810386163e+11,1.04948698846e+11,1.01810386163e+11,2004 Q4
Coal,2005,1,7487754,1190089899.99,115629309.714,1157471241.2,14410.912596,-34517.793852,1.12113633546e+11,1.09070312681e+11,1.12113633546e+11,1.09070312681e+11,2005 Q1
Coal,2005,2,7487754,1185675993.53,114717918.572,1153186542.26,14410.912596,-34517.793852,1.1165615156e+11,1.08624885757e+11,1.1165615156e+11,1.08624885757e+11,2005 Q2
Coal,2005,3,7487754,1383268481.36,132770251.734,1350617537.91,14410.912596,-34517.793852,1.30212920397e+11,1.27166587374e+11,1.30212920397e+11,1.27166587374e+11,2005 Q3
Coal,2005,4,7487754,1207621935.72,117431961.849,1173716605.73,14410.912596,-34517.793852,1.1372559409e+11,1.10562226802e+11,1.1372559409e+11,1.10562226802e+11,2005 Q4
Coal,2006,1,8582439,1558840182.96,148650806.319,1502365199.75,20580.521946,-48664.816638,1.47378685487e+11,1.42102785186e+11,1.47378685487e+11,1.42102785186e+11,2006 Q1
Coal,2006,2,8582439,1563175156.18,148113350.847,1510511173.35,20580.521946,-48664.816638,1.47752962524e+11,1.42834101179e+11,1.47752962524e+11,1.42834101179e+11,2006 Q2
Coal,2006,3,8582439,1763958512.55,167394582.54,1709852295.66,20580.521946,-48664.816638,1.66841463975e+11,1.61785894082e+11,1.66841463975e+11,1.61785894082e+11,2006 Q3
Coal,2006,4,8582439,1573004225.4,150216906.987,1519739299.24,20580.521946,-48664.816638,1.48788078245e+11,1.43810611939e+11,1.48788078245e+11,1.43810611939e+11,2006 Q4
Coal,2007,1,8801672,1625970536.0,155957913.367,1579479807.0,22757.654147,-53865.22326,1.53729237375e+11,1.49385006517e+11,1.53729237375e+11,1.49385006517e+11,2007 Q1
Coal,2007,2,8800297,1625263666.0,155069193.026,1583319836.0,22733.887581,-53765.395642,1.53599785048e+11,1.49680179005e+11,1.53599785048e+11,1.49680179005e+11,2007 Q2
Coal,2007,3,8794224,1817372687.0,171585073.348,1776072046.0,22703.355381,-53676.840342,1.71824406734e+11,1.67964588942e+11,1.71824406734e+11,1.67964588942e+11,2007 Q3
Coal,2007,4,8794224,1602329892.0,152657520.42,1558819450.0,22703.355381,-53676.840342,1.51507116983e+11,1.47437996077e+11,1.51507116983e+11,1.47437996077e+11,2007 Q4
Coal,2008,1,8960319,1645411725.0,157291228.917,1601173803.0,22902.705603,-54211.273662,1.55565103843e+11,1.51429081269e+11,1.55565103843e+11,1.51429081269e+11,2008 Q1
Coal,2008,2,8960319,1603248499.0,152557558.194,1561605546.0,22902.705603,-54211.273662,1.51618357717e+11,1.47726218105e+11,1.51618357717e+11,1.47726218105e+11,2008 Q2
Coal,2008,3,8960319,1739929942.0,164610662.016,1697895953.0,22902.705603,-54211.273662,1.64622907298e+11,1.60690112272e+11,1.64622907298e+11,1.60690112272e+11,2008 Q3
Coal,2008,4,8960319,1498670130.0,142424049.719,1457267183.0,22902.705603,-54211.273662,1.41910822904e+11,1.380343549e+11,1.41910822904e+11,1.380343549e+11,2008 Q4
Coal,2009,1,8324325,1390517684.0,132394773.785,1350007133.0,20717.267223,-49066.017828,1.31758676267e+11,1.27963420811e+11,1.31758676267e+11,1.27963420811e+11,2009 Q1
Coal,2009,2,8327826,1318683000.0,124560103.898,1284673982.0,20675.806223,-48975.868728,1.25017199803e+11,1.21829156094e+11,1.25017199803e+11,1.21829156094e+11,2009 Q2
Coal,2009,3,8326997,1482253714.0,139991463.786,1448230639.0,20678.116023,-48977.884128,1.40467885816e+11,1.37277534436e+11,1.40467885816e+11,1.37277534436e+11,2009 Q3
Coal,2009,4,8316780,1334078809.0,126135792.505,1297236399.0,20570.002023,-48722.444728,1.26473823519e+11,1.23023526106e+11,1.26473823519e+11,1.23023526106e+11,2009 Q4
Coal,2010,1,8314147,1520093843.0,144120368.861,1479138718.0,20804.365318,-49257.495979,1.43918664571e+11,1.40082839209e+11,1.43918664571e+11,1.40082839209e+11,2010 Q1
Coal,2010,2,8330435,1445638247.0,136645049.143,1411941064.0,20951.064018,-49598.347079,1.36945507646e+11,1.33788816126e+11,1.36945507646e+11,1.33788816126e+11,2010 Q2
Coal,2010,3,8399958,1641676079.0,154677599.212,1607645700.0,21092.003818,-49943.023479,1.55482176074e+11,1.52292913234e+11,1.55482176074e+11,1.52292913234e+11,2010 Q3
Coal,2010,4,8488400,1353969655.0,128311454.821,1318127179.0,21014.517918,-49782.878679,1.28424530789e+11,1.25067174346e+11,1.28424530789e+11,1.25067174346e+11,2010 Q4
Coal,2011,1,8799800,1421615981.0,134979970.72,1381666511.0,20986.069476,-49828.414875,1.34818733508e+11,1.31077584065e+11,1.34818733508e+11,1.31077584065e+11,2011 Q1
Coal,2011,2,8786190,1383249530.0,130704370.498,1350388859.0,20910.327765,-49650.988475,1.31083284357e+11,1.2800414399e+11,1.31083284357e+11,1.2800414399e+11,2011 Q2
Coal,2011,3,8772582,1549938208.0,146084096.066,1515409318.0,20904.106743,-49641.738075,1.46912694359e+11,1.43677896207e+11,1.46912694359e+11,1.43677896207e+11,2011 Q3
Coal,2011,4,8829621,1114299326.0,104025951.646,1080704980.0,20895.52147,-49638.079502,1.05957635911e+11,1.02810006366e+11,1.05957635911e+11,1.02810006366e+11,2011 Q4
Coal,2012,1,9141978,1048154067.0,98072200.529,1016380071.0,20756.904567,-49338.922455,99553987374.5,96582527374.7,99553987374.5,96582527374.7,2012 Q1
Coal,2012,2,9187621,1127863677.0,105285876.287,1099411960.0,20686.653334,-49171.268799,1.06970317423e+11,1.04308901745e+11,1.06970317423e+11,1.04308901745e+11,2012 Q2
Coal,2012,3,9305594,1357610467.0,127353696.319,1329268139.0,20795.855868,-49432.528987,1.28777683867e+11,1.26125934965e+11,1.28777683867e+11,1.26125934965e+11,2012 Q3
Coal,2012,4,9297308,1123452869.0,106072223.753,1094330216.0,20727.244802,-49277.313492,1.06708268809e+11,1.03981917216e+11,1.06708268809e+11,1.03981917216e+11,2012 Q4
Coal,2013,1,9278924,1163915667.0,109978351.185,1133138815.0,20438.896566,-48712.555039,1.10474489673e+11,1.07592720398e+11,1.10474489673e+11,1.07592720398e+11,2013 Q1
Coal,2013,2,9223050,1130808598.0,105924905.211,1104344564.0,20285.370843,-48350.95362,1.07363540936e+11,1.04887572864e+11,1.07363540936e+11,1.04887572864e+11,2013 Q2
Coal,2013,3,9213493,1312086710.0,123494573.894,1284458936.0,20141.243043,-48023.18272,1.24537263096e+11,1.21951880027e+11,1.24537263096e+11,1.21951880027e+11,2013 Q3
Coal,2013,4,9269975,1109202948.0,104662677.48,1081188116.0,20165.40131,-48115.123942,1.05427706166e+11,1.02808095288e+11,1.05427706166e+11,1.02808095288e+11,2013 Q4
Coal,2014,1,9374139,1345279742.0,127758713.909,1311294451.0,19998.105316,-47752.211169,1.2749464495e+11,1.24308141628e+11,1.2749464495e+11,1.24308141628e+11,2014 Q1
Coal,2014,2,9302765,1172546104.0,110562282.66,1144635694.0,19867.183656,-47423.661838,1.11114174559e+11,1.08501998838e+11,1.11114174559e+11,1.08501998838e+11,2014 Q2
Coal,2014,3,9197097,1311309067.0,123993190.733,1283954699.0,19768.179663,-47168.057748,1.24288343587e+11,1.21728999507e+11,1.24288343587e+11,1.21728999507e+11,2014 Q3
Coal,2014,4,9190507,1038628465.0,97926550.603,1010724317.0,19701.309663,-47004.235548,98625948043.4,96012538597.7,98625948043.4,96012538597.7,2014 Q4
