year,generation (MWh),final CO2 (kg),index (g/kWh),index (lb/MWh)
2005,186951366.088,1.56727557721e+11,838.333310961,1848.18961735
2006,224431401.17,1.83162701365e+11,816.11886933,1799.21565932
2007,211162969.197,1.6388948766e+11,776.127974915,1711.0517335
2008,217522236.564,1.67146253735e+11,768.409962933,1694.03660428
2009,216300191.027,1.58413842225e+11,732.379576147,1614.60401357
2010,231089793.82,1.60821130871e+11,695.924853332,1534.23593166
2011,227384047.271,1.54596348879e+11,679.89091906,1498.88752016
2012,224439884.393,1.45583331183e+11,648.651782978,1430.01772075
2013,224369225.027,1.48636719043e+11,662.464823441,1460.46994976
2014,226946658.714,1.45468551525e+11,640.981243562,1413.10724956
2015,225325170.028,1.37007494614e+11,608.04345381,1340.49259827
