fuel category,year,nerc,month,generation (mwh)
Coal,2002,MRO,5,11082847.474999998
Coal,2002,MRO,6,12140164.536000004
Coal,2002,MRO,7,13930485.332999997
Coal,2002,MRO,8,13180573.603000002
Coal,2002,MRO,9,11714233.124
Coal,2002,MRO,10,11937559.319999998
Coal,2002,MRO,11,12325459.878999999
Coal,2002,MRO,12,13392199.228999998
Coal,2002,NPCC,1,3691844.685
Coal,2002,NPCC,2,3144393.574
Coal,2002,NPCC,3,3296329.1640000003
Coal,2002,NPCC,4,3113405.2229999998
Coal,2002,NPCC,5,2787265.381
Coal,2002,NPCC,6,3510922.186
Coal,2002,NPCC,7,3837617.9200000004
Coal,2002,NPCC,8,3920517.3850000002
Coal,2002,NPCC,9,3536830.1049999995
Coal,2002,NPCC,10,3720665.319
Coal,2002,NPCC,11,3981622.275
Coal,2002,NPCC,12,4223604.4399999995
Coal,2002,RFC,1,53710558.364
Coal,2002,RFC,2,46999340.446
Coal,2002,RFC,3,50225115.58200002
Coal,2002,RFC,4,46560049.81900002
Coal,2002,RFC,5,48543093.06999999
Coal,2002,RFC,6,54091749.54699998
Coal,2002,RFC,7,60963855.491999984
Coal,2002,RFC,8,59757666.45000001
Coal,2002,RFC,9,53032014.303999975
Coal,2002,RFC,10,51638928.21300001
Coal,2002,RFC,11,51410405.235
Coal,2002,RFC,12,56151390.816
Coal,2002,SERC,1,47650044.55000001
Coal,2002,SERC,2,41416849.515999995
Coal,2002,SERC,3,45236398.27199999
Coal,2002,SERC,4,43003227.116000004
Coal,2002,SERC,5,45061945.062
Coal,2002,SERC,6,51080049.61000001
Coal,2002,SERC,7,56422551.523
Coal,2002,SERC,8,54900526.003999986
Coal,2002,SERC,9,51516191.12300002
Coal,2002,SERC,10,48055839.288
Coal,2002,SERC,11,45237755.26300001
Coal,2002,SERC,12,50599331.442000024
Coal,2002,SPP,1,11526319.0
Coal,2002,SPP,2,9563346.0
Coal,2002,SPP,3,9815510.0
Coal,2002,SPP,4,9413095.0
Coal,2002,SPP,5,10813246.0
Coal,2002,SPP,6,11638087.0
Coal,2002,SPP,7,12636912.0
Coal,2002,SPP,8,12661112.0
Coal,2002,SPP,9,11454523.487
Coal,2002,SPP,10,10791624.0
Coal,2002,SPP,11,11230501.0
Coal,2002,SPP,12,12168240.172
Coal,2002,TRE,1,9298224.0
Coal,2002,TRE,2,8136845.37
Coal,2002,TRE,3,7679372.364
Coal,2002,TRE,4,8240589.574
Coal,2002,TRE,5,9509108.505
Coal,2002,TRE,6,9696810.925
Coal,2002,TRE,7,9889463.925
Coal,2002,TRE,8,9912369.063
Coal,2002,TRE,9,9238590.509
Coal,2002,TRE,10,8356513.007
Coal,2002,TRE,11,7981589.0
Coal,2002,TRE,12,9795769.838
Coal,2002,WECC,1,19765944.594000004
Coal,2002,WECC,2,17284175.238
Coal,2002,WECC,3,18573530.391000003
Coal,2002,WECC,4,16927293.816
Coal,2002,WECC,5,18180455.476
Coal,2002,WECC,6,16922941.476
Coal,2002,WECC,7,19084026.758999996
Coal,2002,WECC,8,19223702.936
Coal,2002,WECC,9,19318459.709999997
Coal,2002,WECC,10,19139735.316000003
Coal,2002,WECC,11,19002382.468000006
Coal,2002,WECC,12,20072596.706000004
Coal,2003,ASCC,1,45107.76899999999
Coal,2003,ASCC,2,40940.524999999994
Coal,2003,ASCC,3,43953.395000000004
Coal,2003,ASCC,4,36079.03200000001
Coal,2003,ASCC,5,39902.240999999995
Coal,2003,ASCC,6,29156.223
Coal,2003,ASCC,7,22344.891
Coal,2003,ASCC,8,24305.063
Coal,2003,ASCC,9,39854.984
Coal,2003,ASCC,10,43908.42
Coal,2003,ASCC,11,43574.38
Coal,2003,ASCC,12,47621.057
Coal,2003,FRCC,1,5726644.0
Coal,2003,FRCC,2,4667836.0
Coal,2003,FRCC,3,4427609.0
Coal,2003,FRCC,4,4354444.663000001
Coal,2003,FRCC,5,5471740.044
Coal,2003,FRCC,6,5217198.031
Coal,2003,FRCC,7,5624605.067
Coal,2003,FRCC,8,5525938.186
Coal,2003,FRCC,9,5039897.676
Coal,2003,FRCC,10,3899672.899
Coal,2003,FRCC,11,4011831.947
Coal,2003,FRCC,12,4821386.77
Coal,2003,HICC,1,148865.84
Coal,2003,HICC,2,126574.312
Coal,2003,HICC,3,147937.25
Coal,2003,HICC,4,139924.18
Coal,2003,HICC,5,146333.732
Coal,2003,HICC,6,143305.148
Coal,2003,HICC,7,147448.292
Coal,2003,HICC,8,147262.476
Coal,2003,HICC,9,131443.432
Coal,2003,HICC,10,146853.58
Coal,2003,HICC,11,140618.724
Coal,2003,HICC,12,149910.036
Coal,2003,MRO,1,13497556.998
Coal,2003,MRO,2,12022124.422000004
Coal,2003,MRO,3,12473046.010999998
Coal,2003,MRO,4,11386269.713000003
Coal,2003,MRO,5,11089345.339000002
Coal,2003,MRO,6,11970811.327000003
Coal,2003,MRO,7,13750337.281000001
Coal,2003,MRO,8,13911656.671999995
Coal,2003,MRO,9,12357895.223
Coal,2003,MRO,10,12604208.204999998
Coal,2003,MRO,11,12546625.790000003
Coal,2003,MRO,12,13168386.384
Coal,2003,NPCC,1,4120487.6
Coal,2003,NPCC,2,3877067.549
Coal,2003,NPCC,3,3673704.793
Coal,2003,NPCC,4,3205630.41
Coal,2003,NPCC,5,3003229.9460000005
Coal,2003,NPCC,6,3191493.588
Coal,2003,NPCC,7,3876942.3220000006
Coal,2003,NPCC,8,4014626.3969999994
Coal,2003,NPCC,9,3574240.888
