fuel category,year,month,plant id,total fuel (mmbtu),generation (MWh),elec fuel (mmbtu),lat,lon,quarter,all fuel fossil CO2 (kg),elec fuel fossil CO2 (kg),all fuel total CO2 (kg),elec fuel total CO2 (kg),datetime
Coal,2001,1,680025,1055401531.0,103425814.263,1055237997.0,8862.157032,-20410.076085,1,1.00227882832e+11,1.0021262511e+11,1.00227882832e+11,1.0021262511e+11,2001-01-01
Coal,2001,2,680025,890442056.0,86429371.0,890279676.0,8862.157032,-20410.076085,1,84600883131.0,84585733077.0,84600883131.0,84585733077.0,2001-02-01
Coal,2001,3,680025,923108678.0,89725463.727,922939941.0,8862.157032,-20410.076085,1,87642637193.4,87626894031.3,87642637193.4,87626894031.3,2001-03-01
Coal,2001,4,680025,848866618.0,82844921.146,848705392.0,8862.157032,-20410.076085,2,80579668858.6,80564626472.8,80579668858.6,80564626472.8,2001-04-01
Coal,2001,5,682104,925789083.0,89922943.226,925649154.0,8901.287632,-20504.553885,2,87963530553.6,87950475177.9,87963530553.6,87950475177.9,2001-05-01
Coal,2001,6,682104,1001671438.0,97006054.557,1001489111.0,8901.287632,-20504.553885,2,95172039207.4,95155028098.3,95172039207.4,95155028098.3,2001-06-01
Coal,2001,7,675332,1109978472.0,106729945.887,1109762682.0,8867.271832,-20409.233285,3,1.05469545379e+11,1.05449412172e+11,1.05469545379e+11,1.05449412172e+11,2001-07-01
Coal,2001,8,682104,1136934358.0,108900339.509,1136688852.0,8901.287632,-20504.553885,3,1.08019496248e+11,1.07996590538e+11,1.08019496248e+11,1.07996590538e+11,2001-08-01
Coal,2001,9,682104,951950567.0,91101483.755,951762928.0,8901.287632,-20504.553885,3,90515446747.4,90497940028.7,90515446747.4,90497940028.7,2001-09-01
Coal,2001,10,682104,890498741.0,85798890.399,890349957.0,8901.287632,-20504.553885,4,84677409531.7,84663527984.5,84677409531.7,84663527984.5,2001-10-01
Coal,2001,11,682104,849511426.0,82381946.18,849356736.0,8901.287632,-20504.553885,4,80792208414.8,80777775837.8,80792208414.8,80777775837.8,2001-11-01
Coal,2001,12,682104,945609013.0,91397354.956,945445748.0,8901.287632,-20504.553885,4,89948376900.1,89933144275.6,89948376900.1,89933144275.6,2001-12-01
Coal,2002,1,9127226,1721190797.0,163977405.333,1683024552.0,26250.528002,-59454.158149,1,1.6352072593e+11,1.59965649194e+11,1.6352072593e+11,1.59965649194e+11,2002-01-01
