nerc,year,month,ngcc,turbine,other,total,ngcc fraction,turbine fraction,other fraction,datetime
ASCC,2001,1,273.6,629.6999999999999,63.8,967.0999999999999,0.2829076620825148,0.6511219108675421,0.06597042704994313,2001-01-01
ASCC,2001,2,273.6,629.6999999999999,63.8,967.0999999999999,0.2829076620825148,0.6511219108675421,0.06597042704994313,2001-02-01
ASCC,2001,3,273.6,629.6999999999999,63.8,967.0999999999999,0.2829076620825148,0.6511219108675421,0.06597042704994313,2001-03-01
ASCC,2001,4,273.6,629.6999999999999,63.8,967.0999999999999,0.2829076620825148,0.6511219108675421,0.06597042704994313,2001-04-01
ASCC,2001,5,273.6,629.6999999999999,63.8,967.0999999999999,0.2829076620825148,0.6511219108675421,0.06597042704994313,2001-05-01
ASCC,2001,6,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2001-06-01
ASCC,2001,7,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2001-07-01
ASCC,2001,8,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2001-08-01
ASCC,2001,9,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2001-09-01
ASCC,2001,10,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2001-10-01
ASCC,2001,11,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2001-11-01
ASCC,2001,12,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2001-12-01
ASCC,2002,1,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-01-01
ASCC,2002,2,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-02-01
ASCC,2002,3,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-03-01
ASCC,2002,4,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-04-01
ASCC,2002,5,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-05-01
ASCC,2002,6,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-06-01
ASCC,2002,7,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-07-01
ASCC,2002,8,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-08-01
ASCC,2002,9,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-09-01
ASCC,2002,10,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-10-01
ASCC,2002,11,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-11-01
ASCC,2002,12,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2002-12-01
ASCC,2003,1,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-01-01
ASCC,2003,2,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-02-01
ASCC,2003,3,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-03-01
ASCC,2003,4,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-04-01
ASCC,2003,5,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-05-01
ASCC,2003,6,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-06-01
ASCC,2003,7,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-07-01
ASCC,2003,8,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-08-01
ASCC,2003,9,273.6,634.6999999999999,63.8,972.0999999999999,0.28145252546034366,0.6529163666289476,0.06563110791070878,2003-09-01
ASCC,2003,10,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2003-10-01
ASCC,2003,11,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2003-11-01
ASCC,2003,12,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2003-12-01
ASCC,2004,1,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-01-01
ASCC,2004,2,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-02-01
ASCC,2004,3,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-03-01
ASCC,2004,4,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-04-01
ASCC,2004,5,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-05-01
ASCC,2004,6,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-06-01
ASCC,2004,7,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-07-01
ASCC,2004,8,273.6,634.6999999999999,70.6,978.9,0.2794973950352437,0.6483808356318316,0.0721217693329247,2004-08-01
ASCC,2004,9,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2004-09-01
ASCC,2004,10,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2004-10-01
ASCC,2004,11,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2004-11-01
ASCC,2004,12,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2004-12-01
ASCC,2005,1,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-01-01
ASCC,2005,2,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-02-01
ASCC,2005,3,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-03-01
ASCC,2005,4,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-04-01
ASCC,2005,5,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-05-01
ASCC,2005,6,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-06-01
ASCC,2005,7,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-07-01
ASCC,2005,8,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-08-01
ASCC,2005,9,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-09-01
ASCC,2005,10,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-10-01
ASCC,2005,11,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-11-01
ASCC,2005,12,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2005-12-01
ASCC,2006,1,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-01-01
ASCC,2006,2,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-02-01
ASCC,2006,3,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-03-01
ASCC,2006,4,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-04-01
ASCC,2006,5,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-05-01
ASCC,2006,6,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-06-01
ASCC,2006,7,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-07-01
ASCC,2006,8,273.6,618.3999999999999,54.3,946.2999999999998,0.28912606995667345,0.6534925499313113,0.057381380112015226,2006-08-01
ASCC,2006,9,273.6,618.3999999999999,59.9,951.8999999999999,0.28742514970059885,0.6496480722764996,0.06292677802290157,2006-09-01
ASCC,2006,10,273.6,618.3999999999999,59.9,951.8999999999999,0.28742514970059885,0.6496480722764996,0.06292677802290157,2006-10-01
ASCC,2006,11,273.6,618.3999999999999,59.9,951.8999999999999,0.28742514970059885,0.6496480722764996,0.06292677802290157,2006-11-01
ASCC,2006,12,273.6,618.3999999999999,59.9,951.8999999999999,0.28742514970059885,0.6496480722764996,0.06292677802290157,2006-12-01
ASCC,2007,1,273.6,618.3999999999999,59.9,951.8999999999999,0.28742514970059885,0.6496480722764996,0.06292677802290157,2007-01-01
