year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,96179377.85,58006485186.8,603.107303078,0.0471971811479,1329.61036037
2002,96090055.04,60293461477.6,627.468279132,0.0894960313248,1383.31656817
2003,92221794.0,55540154181.3,602.245432151,0.0457006832597,1327.71027972
2004,97594541.89,56025611408.3,574.065007359,-0.00323001490161,1265.58371522
2005,97117165.23,55932228102.7,575.925254513,0.0,1269.6848161
2006,93911101.61,57485162850.3,612.123187405,0.0628517895484,1349.48677895
2007,95113408.8,58495800562.9,615.011083095,0.0678661480376,1355.85343379
2008,90663312.58,55015753273.0,606.813844624,0.0536329842602,1337.78180186
2009,79716888.71,39054881021.8,489.919785553,-0.14933442888,1080.07715923
2010,82348624.86,42893224076.5,520.8735926,-0.0955882060763,1148.31792225
2011,81103862.23,40983687019.4,505.323493759,-0.122588409175,1114.03617434
2012,77712080.63,38919543968.9,500.817165792,-0.130412910585,1104.10152371
2013,79651619.45,35394904429.0,444.371434924,-0.228421689373,979.661265434
2014,79566534.32,37855247805.8,475.768463832,-0.173905884308,1048.87915536
2015,75274319.48,33684296166.3,447.487222721,-0.223011633517,986.53033121
2016,80080368.38,36113771413.0,450.969096966,-0.216965928423,994.206471171
2017,19921698.42,6646657082.61,333.639077476,-0.42069031552,735.540710204
