year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,59421260.0,17045184984.6,286.853307799,-0.124010152808,632.396802374
2002,61569386.0,20252086114.1,328.931104073,0.00448661305063,725.161512039
2003,57399352.0,19292877046.0,336.116635011,0.0264297176878,741.002733545
2004,55882341.61,18862968367.9,337.547923448,0.0308005724265,744.158152034
2005,60549582.98,19827682043.7,327.461909197,0.0,721.922525016
2006,60700138.64,18367590891.4,302.595534424,-0.0759366939334,667.102115191
2007,62671245.01,19510021945.6,311.307393725,-0.0493325025548,686.308280207
2008,63674789.1,18860454786.3,296.199721316,-0.0954681659245,653.001905613
2009,61811239.1,14822373460.2,239.800620018,-0.267699194066,528.664446891
2010,65682493.68,17948127470.3,273.255877856,-0.165533852394,602.419908321
2011,64694096.02,15900486309.9,245.779557766,-0.249440772002,541.845613051
2012,65263407.96,15219663732.4,233.203631378,-0.287845013945,514.120725736
2013,64750941.75,15178612038.2,234.415309306,-0.28414480365,516.791990895
2014,69445867.31,17195842426.8,247.615057496,-0.243835540741,545.892155756
2015,76043409.27,18517697352.3,243.514823047,-0.256356796905,536.85277889
2016,78859889.984,19779960713.5,250.824097238,-0.234035806324,552.966804771
2017,16887202.783,3534159819.59,209.280356552,-0.360901678413,461.379474054
