year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,58965149.002,47518122080.5,805.867921726,0.028248309079,1776.61642024
2002,58642017.029,45665283835.4,778.712707184,-0.00640042513959,1716.75003426
2003,60369802.307,47629556629.1,788.963269863,0.00667879473891,1739.34842474
2004,60737592.268,47458648983.9,781.371918308,-0.00300740096289,1722.6125311
2005,62130846.64,48693740427.1,783.728905373,0.0,1727.80874479
2006,61997203.277,46111169996.8,743.76209828,-0.050995703768,1639.69792187
2007,63761429.74,46403249462.4,727.763628444,-0.0714089738747,1604.42769527
2008,63937049.04,46676977902.6,730.045859223,-0.0684969583005,1609.45910124
2009,60432593.45,41805346953.2,691.768209283,-0.117337379621,1525.07219419
2010,64314067.16,45793952593.1,712.036333811,-0.0914762375995,1569.75530152
2011,63788148.84,44873894175.2,703.48324871,-0.102389558573,1550.89917011
2012,64239339.94,39784493115.0,619.31665475,-0.209782042611,1365.34549706
2013,66411952.014,45971982705.0,692.224536562,-0.116755128188,1526.0782133
2014,61560062.112,42075875666.9,683.49306715,-0.127896058874,1506.82881584
2015,66847645.243,44270265425.0,662.256168697,-0.154993309349,1460.00994951
2016,64826681.51,41142456933.0,634.653139335,-0.190213433518,1399.15631098
2017,15398188.597,10164448989.9,660.106799307,-0.157735800248,1455.27144975
