State,datetime,Coal,Natural Gas,Nuclear,Other,Renewables,monthly index (g/kWh),rolling std,normalized rolling std,Year,Total gen,percent Coal,change in Coal,percent Natural Gas,change in Natural Gas,percent Renewables,change in Renewables,percent Nuclear,change in Nuclear,percent Other,change in Other
AK,2001-01-01,46903.0,367521.0,0.0,71085.0,104636.0,600.293442993,0.0,0.0,2001,590145.0,0.0794770776674,-0.0506881697923,0.622763897008,0.0780902796903,0.177305577443,-0.112064454377,0.0,,0.120453447881,-0.133064529605
AK,2001-02-01,54056.0,334016.0,0.0,67910.0,90185.0,661.971216661,0.0,0.0,2001,546167.0,0.0989733909226,0.182185022854,0.611563862335,0.0587014734807,0.165123487871,-0.173071617867,0.0,,0.124339258871,-0.105097315401
AK,2001-03-01,51920.0,343858.0,0.0,91413.0,99924.0,664.696930261,0.0,0.0,2001,587115.0,0.088432419543,0.056278671914,0.585674016164,0.0138825756061,0.170194936256,-0.147674112871,0.0,,0.155698628037,0.120604397062
AK,2001-04-01,37590.0,290050.0,0.0,76372.0,84686.0,620.075841225,0.0,0.0,2001,488698.0,0.0769186696078,-0.0812470064871,0.593515831863,0.0274578411627,0.173289025124,-0.132179104047,0.0,,0.156276473405,0.124763303715
AK,2001-05-01,40986.0,283468.0,0.0,75034.0,85199.0,619.840220637,0.0,0.0,2001,484687.0,0.084561789361,0.0100460331454,0.584847540784,0.012451832627,0.17578148372,-0.119697023022,0.0,,0.154809186135,0.114202847354
AK,2001-06-01,39411.0,272074.0,0.0,58095.0,118424.0,601.734451982,0.0,0.0,2001,488004.0,0.0807595839378,-0.0353693079189,0.557524118655,-0.0348487831392,0.242670142048,0.215277308777,0.0,,0.119046155359,-0.143193187821
AK,2001-07-01,55082.0,314583.0,0.0,63515.0,120745.0,631.801808467,0.0,0.0,2001,553925.0,0.0994394547998,0.187751910381,0.567916234147,-0.0168585965666,0.21798077357,0.0916344533946,0.0,,0.114663537483,-0.174736053198
AK,2001-08-01,65143.0,331115.0,0.0,67181.0,123357.0,679.520066275,0.0,0.0,2001,586796.0,0.111014730843,0.326012485739,0.564276170935,-0.0231600485059,0.210221269402,0.0527753285608,0.0,,0.11448782882,-0.176000675133
AK,2001-09-01,58910.0,355210.0,0.0,71144.0,154902.0,578.308082919,0.0,0.0,2001,640166.0,0.0920230065327,0.0991663422552,0.554871705151,-0.0394404770851,0.241971613613,0.211779120867,0.0,,0.111133674703,-0.20014141355
AK,2001-10-01,38751.0,314444.0,0.0,91507.0,135001.0,614.414220083,0.0,0.0,2001,579703.0,0.0668462988806,-0.201556169458,0.542422585358,-0.0609916220762,0.232879595241,0.166246845966,0.0,,0.15785152052,0.136099336312
AK,2001-11-01,37497.0,325654.0,0.0,98718.0,102567.0,612.652128328,0.0,0.0,2001,564436.0,0.0664326867882,-0.206496548042,0.576954694598,-0.00121177374673,0.181715907561,-0.089977789444,0.0,,0.174896711053,0.2587781017
AK,2001-12-01,38344.0,363575.0,0.0,105016.0,126989.0,580.404881468,32.3326646369,0.051969846752,2001,633924.0,0.0604867460453,-0.277517678344,0.573530896448,-0.00713884100686,0.200322120633,0.00320099372953,0.0,,0.165660236874,0.192300742784
AK,2002-01-01,51623.0,366390.0,0.0,108569.0,120036.0,550.484758389,38.0790435118,0.0616173678568,2002,646618.0,0.0798353896737,-0.0464083216087,0.566625117148,-0.0190936983339,0.185636651006,-0.0703429447867,0.0,,0.167902842173,0.208441369009
AK,2002-02-01,44698.0,296649.0,0.0,96178.0,112607.0,559.804127255,38.7673405461,0.063607435385,2002,550132.0,0.0812495910072,-0.0295164315736,0.539232402405,-0.0665142691801,0.20469087419,0.0250794457763,0.0,,0.174827132397,0.258277325626
AK,2002-03-01,48946.0,322785.0,0.0,98049.0,115828.0,578.714869631,35.4364464002,0.0588339435877,2002,585608.0,0.0835815084493,-0.00166290600599,0.551196363438,-0.045803000981,0.197791013784,-0.00947463539183,0.0,,0.167431114329,0.205046218374
AK,2002-04-01,43484.0,313978.0,0.0,69661.0,112261.0,543.610602168,38.6785831365,0.0649033927467,2002,539384.0,0.0806178900375,-0.0370617669245,0.582104771369,0.0077037201237,0.208128161013,0.0422931690825,0.0,,0.12914917758,-0.0704790523972
AK,2002-05-01,48711.0,301216.0,0.0,71159.0,109507.0,560.788001962,39.1155707956,0.0661831779501,2002,530593.0,0.0918048296906,0.0965603347951,0.567696897622,-0.0172382983715,0.206386062387,0.0335688451398,0.0,,0.134112210301,-0.0347587871699
AK,2002-06-01,35819.0,271101.0,0.0,99827.0,117578.0,586.607085243,38.9824041738,0.0660988466052,2002,524325.0,0.0683144995947,-0.184019285266,0.517047632671,-0.104919168249,0.224246412054,0.123012389754,0.0,,0.190391455681,0.370297895936
AK,2002-07-01,44648.0,300814.0,0.0,65804.0,120048.0,591.697733327,36.7028072413,0.0625882160724,2002,531314.0,0.0840331705922,0.00373196038841,0.566169910825,-0.0198817233215,0.225945486097,0.131521249201,0.0,,0.123851432486,-0.108608331517
AK,2002-08-01,46430.0,277915.0,0.0,65450.0,117507.0,604.560797139,23.3761028353,0.0402917737301,2002,507302.0,0.0915233923777,0.0931987143332,0.547829498011,-0.0516315098379,0.231631257121,0.159995244602,0.0,,0.12901585249,-0.0714386284969
AK,2002-09-01,52500.0,307926.0,0.0,69469.0,110063.0,582.905812619,23.3804789963,0.0402727205485,2002,539958.0,0.0972297845388,0.161358563,0.570277688265,-0.0127705934853,0.203836224299,0.0207994111127,0.0,,0.128656302898,-0.0740264024517
AK,2002-10-01,54482.0,326514.0,0.0,74921.0,122589.0,580.478299119,20.8252874612,0.0360470122215,2002,578506.0,0.0941770699007,0.124895494589,0.56440901218,-0.0229300819725,0.211906185934,0.0612132880535,0.0,,0.129507731985,-0.067898441071
AK,2002-11-01,49368.0,317644.0,0.0,67540.0,149951.0,524.188254329,22.8927872536,0.0401378732214,2002,584503.0,0.0844614997699,0.00884812680496,0.543442890798,-0.059225332505,0.256544448874,0.28475899333,0.0,,0.115551160559,-0.168347594066
AK,2002-12-01,54577.0,375229.0,0.0,75742.0,143531.0,539.526838698,24.2616426143,0.0427934732425,2002,649079.0,0.0840837555983,0.00433617164265,0.578094500053,0.000761386849221,0.221130247628,0.107406827879,0.0,,0.116691496721,-0.160140291706
AK,2003-01-01,54048.0,343856.0,0.0,75785.0,135719.0,545.285867859,24.6260208943,0.0434693932474,2003,609408.0,0.0886893509767,0.0593475825571,0.564245956732,-0.0232123534629,0.222706298572,0.115299595128,0.0,,0.12435839372,-0.104959596813
