Correlation,State
0.0332218150918,AK
-0.0566924099815,AL
0.0294515098984,AR
0.157611562681,AZ
0.294573122963,CA
0.70223619379,CO
0.115468781509,CT
0.267196737055,DE
-0.0200774171149,FL
0.376933316944,GA
0.549324697015,HI
0.810128430954,IA
-0.263767388659,ID
0.516274828056,IL
0.791500006446,IN
0.385124886371,KS
0.357470895844,KY
-0.111181811439,LA
0.564143795583,MA
0.384168527305,MD
0.342943541947,ME
-0.0617721531649,MI
0.519419076107,MN
-0.147797024652,MO
-0.182244919598,MS
0.242883583178,MT
0.515892721083,NC
-0.534645667391,ND
-0.120592764685,NE
0.0594802316443,NH
-0.533512692785,NJ
0.0791227735541,NM
-0.0658194635474,NV
0.0232415176268,NY
0.535933870867,OH
0.255976112182,OK
0.129412758342,OR
0.447431406825,PA
0.297261753958,RI
0.158998496151,SC
-0.373129825841,SD
0.16828860013,TN
0.667251914477,TX
0.42992780028,UT
-0.0999843453997,VA
0.0898621841169,VT
0.200355067591,WA
0.355281781738,WI
0.276706184075,WV
0.327739147838,WY
