fuel category 1,year,month,generation (MWh),quarter,total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),datetime,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,63499216.0,1,652142000.0,640605000.0,62116525500.0,61017626250.0,2001-01-01,60910195236.2,959.227516072,2114.71298193
Coal,2001,2,54520826.0,1,558678000.0,549455000.0,53214079500.0,52335588750.0,2001-02-01,53697586329.3,984.900454907,2171.31154289
Coal,2001,3,56896583.0,1,581863000.0,571992000.0,55422450750.0,54482238000.0,2001-03-01,55503969399.9,975.523774422,2150.63971309
Coal,2001,4,49847368.0,2,514194000.0,505540000.0,48976978500.0,48152685000.0,2001-04-01,48898644433.5,980.967429083,2162.64079416
Coal,2001,5,52573509.0,2,546590000.0,537430000.0,52062697500.0,51190207500.0,2001-05-01,51549704433.8,980.526227264,2161.66812063
Coal,2001,6,56643599.0,2,590538000.0,581549000.0,56248744500.0,55392542250.0,2001-06-01,56023479094.9,989.052250985,2180.46459252
Coal,2001,7,62030582.0,3,648139000.0,637854000.0,61735239750.0,60755593500.0,2001-07-01,61293191361.1,988.112466221,2178.39274303
Coal,2001,8,64521069.0,3,673475000.0,663021000.0,64148493750.0,63152750250.0,2001-08-01,63166106005.3,978.999681566,2158.30269798
Coal,2001,9,53535538.0,3,557223000.0,548381000.0,53075490750.0,52233290250.0,2001-09-01,52339339346.7,977.655988937,2155.34039321
Coal,2001,10,51758264.0,4,538671000.0,529178000.0,51308412750.0,50404204500.0,2001-10-01,49891604703.4,963.935048196,2125.09120725
Coal,2001,11,49754291.0,4,513568000.0,504777000.0,48917352000.0,48080009250.0,2001-11-01,47688367783.0,958.477486555,2113.05946686
Coal,2001,12,54712360.0,4,566350000.0,557696000.0,53944837500.0,53120544000.0,2001-12-01,52438661777.4,958.442695168,2112.98276577
Coal,2002,1,59218868.0,1,610358000.0,600809000.0,58136599500.0,57227057250.0,2002-01-01,56617791627.8,956.076898124,2107.7671296
Coal,2002,2,51408099.0,1,525146000.0,518191000.0,50020156500.0,49357692750.0,2002-02-01,49417976036.8,961.287754228,2119.25498297
Coal,2002,3,55220782.0,1,569453000.0,560544000.0,54240398250.0,53391816000.0,2002-03-01,53328003710.6,965.723442862,2129.03390213
Coal,2002,4,50795215.0,2,522486000.0,514259000.0,49766791500.0,48983169750.0,2002-04-01,49533489212.2,975.160538492,2149.83892316
Coal,2002,5,52932160.0,2,547940000.0,541053000.0,52191285000.0,51535298250.0,2002-05-01,52047517631.2,983.287242221,2167.7550542
Coal,2002,6,58706318.0,2,613952000.0,606271000.0,58478928000.0,57747312750.0,2002-06-01,57922984909.2,986.656749776,2175.18347056
Coal,2002,7,65511718.0,3,682731000.0,674496000.0,65030127750.0,64245744000.0,2002-07-01,64207652524.7,980.094164599,2160.71559527
Coal,2002,8,64503153.0,3,678348000.0,668735000.0,64612647000.0,63697008750.0,2002-08-01,63841313382.9,989.739422241,2181.97953027
Coal,2002,9,56978667.0,3,587380000.0,579055000.0,55947945000.0,55154988750.0,2002-09-01,56272038295.9,987.598363715,2177.25935265
Coal,2002,10,54958928.0,4,564416000.0,556808000.0,53760624000.0,53035962000.0,2002-10-01,53594512463.0,975.173905558,2149.86839219
Coal,2002,11,55348944.0,4,562540000.0,555461000.0,53581935000.0,52907660250.0,2002-11-01,53412796387.0,965.019249274,2127.48143695
Coal,2002,12,61724477.0,4,629531000.0,621213000.0,59962827750.0,59170538250.0,2002-12-01,59333611672.9,961.265523123,2119.20597228
Coal,2003,1,65618153.0,1,666057000.0,654699000.0,63441929250.0,62360079750.0,2003-01-01,63203122152.7,963.195689959,2123.46121808
