year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,939904066.0,6.89954072132e+11,734.068610926,0.0301459646408,1618.32765965
2002,972613989.0,7.1298111249e+11,733.056608843,0.0287257842292,1616.09659986
2003,967998576.01,7.14573755644e+11,738.197114493,0.0359396482637,1627.42935861
2004,988232284.1,7.05853395684e+11,714.258587824,0.00234581755111,1574.65448272
2005,1018798292.2,7.25982407192e+11,712.586988759,0.0,1570.96927542
2006,999808748.9,7.09363978493e+11,709.499671085,-0.0043325484785,1564.16297487
2007,1022114088.57,7.27989059219e+11,712.23855278,-0.000488973255185,1570.20111346
2008,1000487824.81,7.04894218238e+11,704.550521014,-0.0112778760664,1553.25207863
2009,915381895.33,6.27467626176e+11,685.470872187,-0.0380530615915,1511.18908482
2010,976973217.52,6.72916074565e+11,688.776378408,-0.0334143209559,1518.47640384
2011,951325271.87,6.35204601817e+11,667.704959175,-0.0629846324615,1472.022353
2012,921828230.38,5.8550173123e+11,635.15274531,-0.108666372907,1400.25774231
2013,930738681.13,5.94070251942e+11,638.278244996,-0.104280242182,1407.14821892
2014,942485104.49,5.95707317871e+11,632.060193878,-0.113006266114,1393.43990342
2015,914813625.38,5.41087014705e+11,591.472404535,-0.169964630473,1303.96006304
2016,923103239.43,5.2074959696e+11,564.129313729,-0.208336213505,1243.67948505
2017,216032268.11,1.17544617419e+11,544.106759827,-0.236434613023,1199.53776271
