fuel category 1,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,174916625.0,1792683000.0,1762052000.0,1.7075305575e+11,1.67835453e+11,2001 Q1,1.70105624963e+11,972.495467273,2143.96350715
Coal,2001,2,159064476.0,1651322000.0,1624519000.0,1.572884205e+11,1.5473543475e+11,2001 Q2,1.56474434737e+11,983.717035202,2168.70257581
Coal,2001,3,180087189.0,1878837000.0,1849256000.0,1.7895922425e+11,1.76141634e+11,2001 Q3,1.76794804073e+11,981.717828207,2164.29512407
Coal,2001,4,156224915.0,1618589000.0,1591651000.0,1.5417060225e+11,1.5160475775e+11,2001 Q4,1.5001952542e+11,960.279129743,2117.03136943
Coal,2002,1,165847749.0,1704957000.0,1679544000.0,1.6239715425e+11,1.59976566e+11,2002 Q1,1.59367852779e+11,960.928645339,2118.46329151
Coal,2002,2,162433693.0,1684378000.0,1661583000.0,1.604370045e+11,1.5826578075e+11,2002 Q2,1.59499562018e+11,981.936438631,2164.77707261
Coal,2002,3,186993538.0,1948459000.0,1922286000.0,1.8559071975e+11,1.830977415e+11,2002 Q3,1.84295109918e+11,985.56940464,2172.78630947
Coal,2002,4,172032349.0,1756487000.0,1733482000.0,1.6730538675e+11,1.651141605e+11,2002 Q4,1.66339816432e+11,966.910103823,2131.65001489
Coal,2003,1,178754717.0,1827940000.0,1796553000.0,1.74111285e+11,1.7112167325e+11,2003 Q1,1.7249171432e+11,964.963147352,2127.35775465
Coal,2003,2,159799605.0,1650591000.0,1625841000.0,1.5721879275e+11,1.5486135525e+11,2003 Q2,1.54236398715e+11,965.18635772,2127.84984423
Coal,2003,3,183309864.0,1909793000.0,1880776000.0,1.8190778325e+11,1.79143914e+11,2003 Q3,1.8042522835e+11,984.263609239,2169.90755293
Coal,2003,4,171826585.0,1769575000.0,1741199000.0,1.6855201875e+11,1.6584920475e+11,2003 Q4,1.66136325171e+11,966.883705285,2131.59181667
Coal,2004,1,176998628.74,1823900270.0,1780406430.0,1.73726500718e+11,1.69583712458e+11,2004 Q1,1.70800929706e+11,964.984479949,2127.4047845
Coal,2004,2,160207303.43,1668908530.0,1629880800.0,1.58963537482e+11,1.552461462e+11,2004 Q2,1.54808279295e+11,966.299762747,2130.30445695
Coal,2004,3,179732422.46,1875635610.0,1833260590.0,1.78654291852e+11,1.74618071198e+11,2004 Q3,1.73933748007e+11,967.737181895,2133.47339121
Coal,2004,4,171294053.74,1776406190.0,1734230480.0,1.69202689598e+11,1.6518545322e+11,2004 Q4,1.63820569663e+11,956.370440688,2108.41427354
Coal,2005,1,178955747.57,1845533380.0,1804787140.0,1.75787054445e+11,1.71905975085e+11,2005 Q1,1.70509759972e+11,952.804043944,2100.55179528
Coal,2005,2,163448929.36,1692917550.0,1656681270.0,1.61250396638e+11,1.57798890968e+11,2005 Q2,1.55181090275e+11,949.416376615,2093.08334389
Coal,2005,3,194194303.59,2037703170.0,1999099050.0,1.94091226942e+11,1.90414184512e+11,2005 Q3,1.87273320355e+11,964.360523933,2126.02921106
Coal,2005,4,176002372.62,1817142800.0,1778481430.0,1.730828517e+11,1.69400356208e+11,2005 Q4,1.67390577376e+11,951.070004819,2096.72893262
Coal,2006,1,180060897.04,1855384840.0,1817686010.0,1.7672540601e+11,1.73134592452e+11,2006 Q1,1.71301807392e+11,951.35484832,2097.35689861
Coal,2006,2,167366010.77,1739613710.0,1704270620.0,1.65698205878e+11,1.62331776555e+11,2006 Q2,1.59538373448e+11,953.230424229,2101.49179326
Coal,2006,3,188596034.33,1974572320.0,1936551500.0,1.8807801348e+11,1.84456530375e+11,2006 Q3,1.8162352994e+11,963.029422043,2123.09466384
