fuel category 1,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,129938610.0,1376646000.0,1334334000.0,1.311255315e+11,1.270953135e+11,2001 Q1,1.30251061061e+11,1002.40460523,2209.90119268
Coal,2001,2,127368181.0,1349464000.0,1310489000.0,1.28536446e+11,1.2482407725e+11,2001 Q2,1.27373016257e+11,1000.03796284,2204.68369287
Coal,2001,3,147993531.0,1582053000.0,1540570000.0,1.5069054825e+11,1.467392925e+11,2001 Q3,1.47818710688e+11,998.818730044,2201.99577226
Coal,2001,4,122073776.0,1294597000.0,1256333000.0,1.2331036425e+11,1.1966571825e+11,2001 Q4,1.20664577133e+11,988.456170415,2179.1504733
Coal,2002,1,122036412.0,1270593000.0,1227146000.0,1.2102398325e+11,1.168856565e+11,2002 Q1,1.19989937065e+11,983.23062026,2167.63022542
Coal,2002,2,129036689.0,1351371000.0,1311460000.0,1.2871808775e+11,1.24916565e+11,2002 Q2,1.28177342903e+11,993.340296445,2189.91801754
Coal,2002,3,152064287.0,1596769000.0,1553938000.0,1.5209224725e+11,1.480125945e+11,2002 Q3,1.51546320909e+11,996.593768981,2197.0906231
Coal,2002,4,133696278.0,1400041000.0,1355716000.0,1.3335390525e+11,1.29131949e+11,2002 Q4,1.32477301625e+11,990.882495809,2184.49955026
Coal,2003,1,134655598.0,1394751000.0,1356371000.0,1.3285003275e+11,1.2919433775e+11,2003 Q1,1.32636933483e+11,985.00868477,2171.55014644
Coal,2003,2,122428394.0,1288762000.0,1254823000.0,1.227545805e+11,1.1952189075e+11,2003 Q2,1.21627505494e+11,993.458310772,2190.17819193
Coal,2003,3,153717986.0,1610588000.0,1574168000.0,1.53408507e+11,1.49939502e+11,2003 Q3,1.53112560667e+11,996.061454168,2195.91708186
Coal,2003,4,137331287.0,1433495000.0,1395437000.0,1.3654039875e+11,1.3291537425e+11,2003 Q4,1.3581389504e+11,988.950864781,2180.2410765
Coal,2004,1,139368154.85,1455952720.0,1404089270.0,1.3867949658e+11,1.33739502968e+11,2004 Q1,1.35742724813e+11,973.986668329,2147.251009
Coal,2004,2,136600790.27,1431728750.0,1384444510.0,1.36372163438e+11,1.31868339578e+11,2004 Q2,1.33003283899e+11,973.664088154,2146.53984874
Coal,2004,3,151264739.61,1586251400.0,1538469920.0,1.5109044585e+11,1.4653925988e+11,2004 Q3,1.48742198182e+11,983.323665286,2167.83535249
Coal,2004,4,135983115.2,1425379690.0,1377899130.0,1.35767415472e+11,1.31244892132e+11,2004 Q4,1.32547040259e+11,974.731605934,2148.89329844
Coal,2005,1,139350770.8,1461399030.0,1411721590.0,1.39198257608e+11,1.34466481448e+11,2005 Q1,1.35153836415e+11,969.882230567,2138.20236551
Coal,2005,2,136423705.49,1428015610.0,1382161540.0,1.36018486852e+11,1.31650886685e+11,2005 Q2,1.31826577086e+11,966.30256899,2130.31064359
Coal,2005,3,157637692.66,1662045420.0,1613628190.0,1.58309826255e+11,1.53698085098e+11,2005 Q3,1.54234141519e+11,978.409027162,2157.00054128
Coal,2005,4,141539923.23,1487133800.0,1437795080.0,1.4164949445e+11,1.3694998137e+11,2005 Q4,1.35816732216e+11,959.564828895,2115.45662178
Coal,2006,1,138065313.49,1448143300.0,1399404850.0,1.37935649325e+11,1.33293311962e+11,2006 Q1,1.33047733987e+11,963.657928438,2124.48026903
Coal,2006,2,137599289.42,1448964780.0,1403870910.0,1.38013895295e+11,1.33718704178e+11,2006 Q2,1.32835038007e+11,965.375901043,2128.26771144
Coal,2006,3,157989260.53,1661760300.0,1615380570.0,1.58282668575e+11,1.53864999292e+11,2006 Q3,1.54988911557e+11,981.009158706,2162.73279128
Coal,2006,4,142198443.01,1485039020.0,1438737260.0,1.41449966655e+11,1.37039724015e+11,2006 Q4,1.36955946172e+11,963.132529955,2123.32197554
Coal,2007,1,143891880.13,1506491360.0,1457849050.0,1.4349330204e+11,1.38860122012e+11,2007 Q1,1.38348326233e+11,961.474171495,2119.66595848
Coal,2007,2,142125878.38,1490577420.0,1447436050.0,1.41977499255e+11,1.37868283762e+11,2007 Q2,1.37523039791e+11,967.614352564,2133.20260166
Coal,2007,3,158929562.1,1681255540.0,1639268720.0,1.60139590185e+11,1.5614034558e+11,2007 Q3,1.55382238019e+11,977.679897724,2155.39310252
Coal,2007,4,141698761.48,1486688180.0,1442785010.0,1.41607049145e+11,1.37425272202e+11,2007 Q4,1.36521950019e+11,963.466078269,2124.05731615
Coal,2008,1,145268433.37,1521372920.0,1476022240.0,1.4491077063e+11,1.4059111836e+11,2008 Q1,1.4005868904e+11,964.137120441,2125.53669572
Coal,2008,2,142750159.56,1502754230.0,1460719420.0,1.43137340408e+11,1.39133524755e+11,2008 Q2,1.38011782915e+11,966.80650544,2131.42162189
Coal,2008,3,153845509.99,1630377350.0,1587658570.0,1.55293442588e+11,1.51224478792e+11,2008 Q3,1.50936854853e+11,981.093662487,2162.91908832
Coal,2008,4,129718210.49,1369001450.0,1326435760.0,1.30397388112e+11,1.2634300614e+11,2008 Q4,1.25680613431e+11,968.874092204,2135.97982367
Coal,2009,1,121139448.01,1272839410.0,1233374330.0,1.21237953802e+11,1.17478904932e+11,2009 Q1,1.17775675646e+11,972.232229721,2143.38317364
Coal,2009,2,115534052.05,1226176690.0,1192318320.0,1.16793329722e+11,1.1356831998e+11,2009 Q2,1.13726577117e+11,984.355478747,2170.11008845
Coal,2009,3,132278906.29,1401249280.0,1367266640.0,1.3346899392e+11,1.3023214746e+11,2009 Q3,1.31258640774e+11,992.287012761,2187.59594833
