year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2014,3,4750638276.29,3.61648640544e+12,761.263265084,2014 Q3,-0.0856770846251,1678.2809942
2014,4,3944648679.0,2.94838703407e+12,747.439702239,2014 Q4,-0.102280014072,1647.80556756
2015,1,4272298435.61,3.1078777805e+12,727.448661965,2015 Q1,-0.126290454433,1603.73332017
2015,2,3976339422.82,2.83718034397e+12,713.515633923,2015 Q2,-0.143024858158,1573.01656655
2015,3,4882854349.11,3.54411344265e+12,725.8282122,2015 Q3,-0.128236711951,1600.16087662
2015,4,3658928341.66,2.51457596698e+12,687.243840866,2015 Q4,-0.174578859936,1515.09777157
2016,1,3767893415.02,2.55646557533e+12,678.486701651,2016 Q1,-0.185096710231,1495.79178246
2016,2,3847911707.46,2.60225153427e+12,676.276310922,2016 Q2,-0.18775152229,1490.91875506
2016,3,4989296960.05,3.55222696317e+12,711.969440106,2016 Q3,-0.144881929823,1569.60782766
2016,4,3770000955.82,2.68098638194e+12,711.136791039,2016 Q4,-0.145881991374,1567.77216953
2017,1,3579894963.87,2.55830263285e+12,714.63064103,2017 Q1,-0.141685667637,1575.47471121
