fuel category 1,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,41000612.0,470970000.0,451188000.0,44859892500.0,42975657000.0,2001 Q1,44925361738.0,1095.72417451,2415.63351512
Coal,2001,2,36668379.0,422876000.0,405399000.0,40278939000.0,38614254750.0,2001 Q2,40525080297.6,1105.17785086,2436.47509
Coal,2001,3,42809639.0,492798000.0,474143000.0,46939009500.0,45162120750.0,2001 Q3,47432575813.4,1107.98822231,2442.67083491
Coal,2001,4,39986647.0,457194000.0,438644000.0,43547728500.0,41780841000.0,2001 Q4,43607825581.4,1090.55969563,2404.24790498
Coal,2002,1,39691861.0,453225000.0,435049000.0,43169681250.0,41438417250.0,2002 Q1,43276450536.7,1090.31044265,2403.69840187
Coal,2002,2,37369057.0,425709000.0,408695000.0,40548782250.0,38928198750.0,2002 Q2,40721046267.9,1089.69959472,2402.35172652
Coal,2002,3,43411798.0,497272000.0,479449000.0,47365158000.0,45667517250.0,2002 Q3,47901482468.6,1103.42083663,2432.60157642
Coal,2002,4,41453987.0,474637000.0,458717000.0,45209174250.0,43692794250.0,2002 Q4,45827961160.2,1105.513956,2437.21606739
Coal,2003,1,41844942.0,470388000.0,452930000.0,44804457000.0,43141582500.0,2003 Q1,45971965771.5,1098.62658602,2422.03217153
Coal,2003,2,37598854.0,422635000.0,406711000.0,40255983750.0,38739222750.0,2003 Q2,41120576044.8,1093.66567515,2411.09534744
Coal,2003,3,44642277.0,504213000.0,487296000.0,48026288250.0,46414944000.0,2003 Q3,48777318190.9,1092.62612637,2408.8035582
Coal,2003,4,42919300.0,478425000.0,462907000.0,45569981250.0,44091891750.0,2003 Q4,46809747690.9,1090.64564639,2404.43739202
Coal,2004,1,41693727.44,473892550.0,452107210.0,45138265387.5,43063211752.5,2004 Q1,45395535495.8,1088.78573069,2400.33702187
Coal,2004,2,36423434.83,418123240.0,398221070.0,39826238610.0,37930556917.5,2004 Q2,39823464176.3,1093.34730132,2410.3934605
Coal,2004,3,42876127.92,489528920.0,468025720.0,46627629630.0,44579449830.0,2004 Q3,46206679625.6,1077.67846275,2375.84993898
Coal,2004,4,42568600.52,482437590.0,461935020.0,45952180447.5,43999310655.0,2004 Q4,45665825597.2,1072.75844259,2365.00326254
Coal,2005,1,40948162.66,470713590.0,448324670.0,44835469447.5,42702924817.5,2005 Q1,44264855178.3,1080.99734647,2383.16675003
Coal,2005,2,38547676.92,442330070.0,422436350.0,42131939167.5,40237062337.5,2005 Q2,41355745204.5,1072.8466281,2365.1976763
Coal,2005,3,42991190.46,506204010.0,483498630.0,48215931952.5,46053244507.5,2005 Q3,47372294438.1,1101.90701702,2429.26420973
Coal,2005,4,40517739.87,471806540.0,451352520.0,44939572935.0,42991327530.0,2005 Q4,43697675697.5,1078.48255697,2377.62264509
Coal,2006,1,40186814.93,454542820.0,432911450.0,43295203605.0,41234815612.5,2006 Q1,43209920780.4,1075.22631131,2370.44392591
Coal,2006,2,38075384.94,430249400.0,409635460.0,40981255350.0,39017777565.0,2006 Q2,40898225897.0,1074.1382119,2368.04510196
Coal,2006,3,42381032.74,482545150.0,460751350.0,45962425537.5,43886566087.5,2006 Q3,45301851224.3,1068.91805828,2356.53675128
Coal,2006,4,39826353.36,450100170.0,429056620.0,42872041192.5,40867643055.0,2006 Q4,43053176699.0,1081.02231479,2383.22179519
Coal,2007,1,39331439.39,450010590.0,427186010.0,42863508697.5,40689467452.5,2007 Q1,42008508370.6,1068.06435315,2354.65467296
Coal,2007,2,37457173.5,426503970.0,405851290.0,40624503142.5,38657335372.5,2007 Q2,40321993160.4,1076.48253706,2373.2134012
Coal,2007,3,44538431.09,500456820.0,479373280.0,47668512105.0,45660304920.0,2007 Q3,47096555147.6,1057.43633071,2331.22413469
Coal,2007,4,40325942.62,456591590.0,435024610.0,43490348947.5,41436094102.5,2007 Q4,42641921720.3,1057.43149322,2331.21346996
Coal,2008,1,43277184.28,488677000.0,466510800.0,46546484250.0,44435153700.0,2008 Q1,45729618286.9,1056.66805842,2329.53040159
Coal,2008,2,39075334.35,439093100.0,419608880.0,41823617775.0,39967745820.0,2008 Q2,41202729076.0,1054.44341709,2324.62595732
Coal,2008,3,44576928.24,498974980.0,479313780.0,47527366845.0,45654637545.0,2008 Q3,46999503159.2,1054.34593667,2324.41105199
Coal,2008,4,41754258.75,465886090.0,446987580.0,44375650072.5,42575566995.0,2008 Q4,43760056672.3,1048.03816383,2310.50493597
Coal,2009,1,41073910.81,462447100.0,442015800.0,44048086275.0,42102004950.0,2009 Q1,43733611562.9,1064.75401783,2347.35670771
Coal,2009,2,34982779.21,394511850.0,375685720.0,37577253712.5,35784064830.0,2009 Q2,37091164699.7,1060.26923925,2337.46956484
Coal,2009,3,40863086.53,453799280.0,433640960.0,43224381420.0,41304301440.0,2009 Q3,42399192263.2,1037.59152486,2287.47427571
Coal,2009,4,43212978.38,479854160.0,459037050.0,45706108740.0,43723279012.5,2009 Q4,44979024231.9,1040.86841311,2294.69850353
Coal,2010,1,42921949.6,479701840.0,458575530.0,45691600260.0,43679319232.5,2010 Q1,44729409434.6,1042.11038528,2297.43655539
Coal,2010,2,39338394.1,436922140.0,417354440.0,41616833835.0,39753010410.0,2010 Q2,40902385894.8,1039.75738793,2292.24913743
Coal,2010,3,43453887.01,486983110.0,464654520.0,46385141227.5,44258343030.0,2010 Q3,45349864016.6,1043.63193116,2300.79095544
Coal,2010,4,38943061.1,437489750.0,414466770.0,41670898687.5,39477959842.5,2010 Q4,41368909027.6,1062.29217373,2341.9293262
Coal,2011,1,42489552.86,475195760.0,451844730.0,45262396140.0,43038210532.5,2011 Q1,44537242532.9,1048.19277999,2310.84580277
Coal,2011,2,37129091.08,412684830.0,391128500.0,39308230057.5,37254989625.0,2011 Q2,38659198611.1,1041.21047638,2295.45261624
Coal,2011,3,44824803.25,497487430.0,475652310.0,47385677707.5,45305882527.5,2011 Q3,46688063071.7,1041.56760737,2296.2399472
