fuel category 1,year,quarter,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),year_quarter,adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,1,17255281.0,174102000.0,170617000.0,16583215500.0,16251269250.0,2001 Q1,17348665877.9,1005.41195927,2216.5312054
Coal,2001,2,17139762.0,175791000.0,172517000.0,16744092750.0,16432244250.0,2001 Q2,17513138789.4,1021.78424586,2252.62554843
Coal,2001,3,18269513.0,195667000.0,191646000.0,18637281750.0,18254281500.0,2001 Q3,19135471515.5,1047.39910229,2309.09606091
Coal,2001,4,15563182.0,160885000.0,157641000.0,15324296250.0,15015305250.0,2001 Q4,16051914318.1,1031.40311012,2273.83129656
Coal,2002,1,15070336.0,159422000.0,157066000.0,15184945500.0,14960536500.0,2002 Q1,15992170914.0,1061.16883618,2339.45281624
Coal,2002,2,15456768.0,166744000.0,164547000.0,15882366000.0,15673101750.0,2002 Q2,16449667417.0,1064.2371948,2346.21731965
Coal,2002,3,18784886.0,200843000.0,198591000.0,19130295750.0,18915792750.0,2002 Q3,20114505118.1,1070.78132484,2360.64450875
Coal,2002,4,16614403.0,170748000.0,168306000.0,16263747000.0,16031146500.0,2002 Q4,16896229508.7,1016.96278275,2241.99615086
Coal,2003,1,16705601.0,175685000.0,172184000.0,16733996250.0,16400526000.0,2003 Q1,17057796058.5,1021.08245363,2251.07837728
Coal,2003,2,17174718.0,178506000.0,175244000.0,17002696500.0,16691991000.0,2003 Q2,17620687482.0,1025.96662618,2261.84602407
Coal,2003,3,18683646.0,196542000.0,193408000.0,18720625500.0,18422112000.0,2003 Q3,19068196438.4,1020.58219463,2249.97550628
Coal,2003,4,15110616.0,154332000.0,151293000.0,14700123000.0,14410658250.0,2003 Q4,15660966175.6,1036.42142555,2284.89467476
Coal,2004,1,15477356.56,161150450.0,155988450.0,15349580362.5,14857899862.5,2004 Q1,15511214738.7,1002.18759441,2209.42277064
Coal,2004,2,16055633.63,169424310.0,163746640.0,16137665527.5,15596867460.0,2004 Q2,16118224003.6,1003.89834341,2213.19428789
Coal,2004,3,17023298.42,181697490.0,175985480.0,17306685922.5,16762616970.0,2004 Q3,17166660287.6,1008.4215094,2223.16605962
Coal,2004,4,16305485.17,170507700.0,164618750.0,16240858425.0,15679935937.5,2004 Q4,16269524509.5,997.794566669,2199.73790168
Coal,2005,1,14217289.59,147579970.0,141786460.0,14056992142.5,13505160315.0,2005 Q1,14164850554.9,996.311601116,2196.46855582
Coal,2005,2,14896103.96,157819610.0,152842350.0,15032317852.5,14558233837.5,2005 Q2,15247496190.4,1023.58953934,2256.60549843
Coal,2005,3,17211875.0,180432590.0,174851700.0,17186204197.5,16654624425.0,2005 Q3,17124185874.5,994.905312434,2193.36825179
Coal,2005,4,16190032.88,169399320.0,164394110.0,16135285230.0,15658538977.5,2005 Q4,16434209861.2,1015.08193238,2237.84962813
Coal,2006,1,15504053.18,160499180.0,155667340.0,15287546895.0,14827314135.0,2006 Q1,15599670102.1,1006.16722099,2218.19625539
Coal,2006,2,15991950.24,165487400.0,160947960.0,15762674850.0,15330293190.0,2006 Q2,16145848095.5,1009.62345762,2225.81587468
Coal,2006,3,18162433.98,188031700.0,183190130.0,17910019425.0,17448859882.5,2006 Q3,18289035522.4,1006.97051632,2219.96720027
Coal,2006,4,15764898.76,163654050.0,158757580.0,15588048262.5,15121659495.0,2006 Q4,15751405100.5,999.144069382,2202.71301536
Coal,2007,1,16506548.84,170093290.0,165475790.0,16201385872.5,15761568997.5,2007 Q1,16488903622.7,998.931017172,2202.24332046
Coal,2007,2,15891033.32,163253610.0,158687680.0,15549906352.5,15115001520.0,2007 Q2,15846709953.4,997.210793928,2198.45091629
Coal,2007,3,18734245.57,196036880.0,191447050.0,18672512820.0,18235331512.5,2007 Q3,19070995567.6,1017.9751032,2244.22791252
Coal,2007,4,16776286.87,174279450.0,169896530.0,16600117612.5,16182644482.5,2007 Q4,16702498405.4,995.601621195,2194.90333409
Coal,2008,1,16366110.27,168161600.0,163042510.0,16017392400.0,15529799077.5,2008 Q1,16198997224.5,989.78907983,2182.08900539
Coal,2008,2,15794202.43,165796250.0,161026210.0,15792092812.5,15337746502.5,2008 Q2,15980639540.8,1011.80414849,2230.62342576
Coal,2008,3,18256054.32,192576520.0,186942530.0,18342913530.0,17806275982.5,2008 Q3,18461219481.2,1011.23819844,2229.37573229
Coal,2008,4,14407043.74,149693100.0,145018930.0,14258267775.0,13813053082.5,2008 Q4,14716419186.1,1021.47390205,2251.94136446
Coal,2009,1,12245394.47,128542630.0,123771180.0,12243685507.5,11789204895.0,2009 Q1,12522351120.0,1022.61720932,2254.46189968
Coal,2009,2,13175316.07,139639490.0,135268330.0,13300661422.5,12884308432.5,2009 Q2,13440013919.9,1020.09043643,2248.89137615
Coal,2009,3,14584083.29,152290420.0,148168320.0,14505662505.0,14113032480.0,2009 Q3,14734645086.8,1010.32370659,2227.35964356
Coal,2009,4,13998277.94,147015400.0,143020690.0,14003216850.0,13622720722.5,2009 Q4,14207394148.8,1014.93870958,2237.53387915
Coal,2010,1,14172603.24,147521470.0,142554070.0,14051420017.5,13578275167.5,2010 Q1,14319852524.6,1010.38971332,2227.50516197
Coal,2010,2,14411702.91,149831180.0,145200730.0,14271419895.0,13830369532.5,2010 Q2,14509199954.5,1006.76513005,2219.51440572
Coal,2010,3,17137936.6,180823880.0,175585070.0,17223474570.0,16724477917.5,2010 Q3,17481513499.2,1020.04774012,2248.79724787
Coal,2010,4,14175190.34,147555340.0,143138110.0,14054646135.0,13633904977.5,2010 Q4,14562625977.4,1027.33195309,2264.85602378
Coal,2011,1,12132500.8,127566520.0,123379770.0,12150711030.0,11751923092.5,2011 Q1,12487989542.5,1029.3005332,2269.19595549
Coal,2011,2,14448701.39,150737700.0,146432150.0,14357765925.0,13947662287.5,2011 Q2,14525432738.4,1005.31060518,2216.30776017
