year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,645181649.0,3.35679325577e+11,520.286536509,0.117120478168,1147.02369839
2002,652209628.0,3.0877079442e+11,473.422625433,0.0164977807184,1043.70752003
2003,667134851.37,3.18077081078e+11,476.780789409,0.0237081801492,1051.11092833
2004,692039504.67,3.26804696093e+11,472.234162772,0.0139460022604,1041.08743525
2005,700524612.93,3.26261608952e+11,465.738966098,0.0,1026.76812466
2006,730852381.67,3.2075118092e+11,438.872731299,-0.0576851772223,967.538823422
2007,740240767.7,3.38688645397e+11,457.538493117,-0.0176074444652,1008.68936193
2008,757218629.18,3.38465409608e+11,446.985053676,-0.0402670031655,985.423249334
2009,735238840.14,3.19206691622e+11,434.153739159,-0.0678174454757,957.135333349
2010,728773083.8,3.16896149937e+11,434.835145509,-0.0663543805405,958.637561789
2011,740609525.94,2.87963826818e+11,388.820041779,-0.165154582111,857.192664107
2012,744782285.33,2.98061385098e+11,400.199348144,-0.140721783498,882.279482919
2013,750583705.14,3.16567961027e+11,421.76236822,-0.0944232737201,929.817316978
2014,755118773.78,3.06640634992e+11,406.082653007,-0.128089589734,895.24981682
2015,745360679.28,3.00996521836e+11,403.826671038,-0.132933466098,890.27627897
2016,746047819.06,2.69307018649e+11,360.978226555,-0.224934452921,795.812598262
2017,181067193.74,60521642539.8,334.24963015,-0.282324103242,736.886734628
