fuel category 1,year,generation (MWh),total fuel (mmbtu),elec fuel (mmbtu),all fuel CO2 (kg),elec fuel CO2 (kg),adjusted CO2 (kg),adjusted index (g/kWh),adjusted index (lb/MWh)
Coal,2001,231488726.0,2464934000.0,2428650000.0,2.347849635e+11,2.313289125e+11,2.39357213544e+11,1033.9908024,2279.53612298
Coal,2002,223538466.0,2385751000.0,2349713000.0,2.2724278275e+11,2.2381016325e+11,2.33344196219e+11,1043.86596363,2301.30690341
Coal,2003,233285813.0,2494749000.0,2448828000.0,2.3762484225e+11,2.33250867e+11,2.41017998906e+11,1033.1446898,2277.67078312
Coal,2004,236825935.93,2533258160.0,2480421830.0,2.4129283974e+11,2.36260179308e+11,2.42622406857e+11,1024.47565932,2258.55903855
Coal,2005,237376046.64,2545978680.0,2495132560.0,2.4250446927e+11,2.3766137634e+11,2.45246766188e+11,1033.15717681,2277.69831199
Coal,2006,221718360.55,2376472070.0,2326076700.0,2.26358964668e+11,2.21558805675e+11,2.30811342203e+11,1041.01140578,2295.01374518
Coal,2007,225850347.34,2425570550.0,2373385360.0,2.31035594888e+11,2.2606495554e+11,2.36595146556e+11,1047.57486248,2309.48354183
Coal,2008,228831005.92,2436182180.0,2390714530.0,2.32046352645e+11,2.27715558982e+11,2.35229726169e+11,1027.96264529,2266.2464478
Coal,2009,213898942.58,2274006250.0,2232749120.0,2.16599095312e+11,2.1266935368e+11,2.19333362316e+11,1025.40648248,2260.61113127
Coal,2010,221304477.71,2360866580.0,2315183620.0,2.24872541745e+11,2.20521239805e+11,2.2658649131e+11,1023.86763094,2257.21857918
Coal,2011,209987681.01,2255315410.0,2202218040.0,2.14818792802e+11,2.0976126831e+11,2.14027121748e+11,1019.23656054,2247.00892136
Coal,2012,199757555.62,2139204620.0,2089690230.0,2.03759240055e+11,1.99042994408e+11,2.0421653199e+11,1022.321941,2253.81095112
Coal,2013,213611777.59,2283612180.0,2234647300.0,2.17514060145e+11,2.12850155325e+11,2.19386563901e+11,1027.03402582,2264.19921333
Coal,2014,205273060.67,2192437640.0,2148519810.0,2.0882968521e+11,2.04646511902e+11,2.10779186229e+11,1026.82342019,2263.73491214
Coal,2015,189371910.02,2032754030.0,1992223440.0,1.93619821358e+11,1.8975928266e+11,1.97564036273e+11,1043.25945835,2299.96980187
Coal,2016,167736942.43,1802211090.0,1769321010.0,1.71660606322e+11,1.68527826202e+11,1.74797332755e+11,1042.0920414,2297.39611447
Coal,2017,41843663.03,449937800.0,441786910.0,42856575450.0,42080203177.5,43578681063.9,1041.4642961,2296.01218719
Hydro,2001,136013649.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2002,174266400.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2003,169713103.0,,,0.0,0.0,0.0,0.0,0.0
Hydro,2004,167080010.95,,,0.0,0.0,0.0,0.0,0.0
Hydro,2005,172069901.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2006,201707885.96,,,0.0,0.0,0.0,0.0,0.0
Hydro,2007,169996990.22,,,0.0,0.0,0.0,0.0,0.0
Hydro,2008,167823144.99,,,0.0,0.0,0.0,0.0,0.0
Hydro,2009,166640913.19,,,0.0,0.0,0.0,0.0,0.0
Hydro,2010,163124547.45,,,0.0,0.0,0.0,0.0,0.0
Hydro,2011,218786627.43,,,0.0,0.0,0.0,0.0,0.0
Hydro,2012,190454406.57,,,0.0,0.0,0.0,0.0,0.0
Hydro,2013,164236249.26,,,0.0,0.0,0.0,0.0,0.0
Hydro,2014,163618357.77,,,0.0,0.0,0.0,0.0,0.0
Hydro,2015,149268142.27,,,0.0,0.0,0.0,0.0,0.0
Hydro,2016,171719227.9,,,0.0,0.0,0.0,0.0,0.0
Hydro,2017,54018353.43,,,0.0,0.0,0.0,0.0,0.0
Natural Gas,2001,174417806.0,1833548000.0,1644905000.0,97306392360.0,87295108350.0,90324696834.9,517.863966451,1141.68290044
Natural Gas,2002,146569082.0,1501290000.0,1294137000.0,79673460300.0,68679850590.0,71605526307.0,488.544550664,1077.04531639
Natural Gas,2003,156752233.0,1511931000.0,1339483000.0,80238178170.0,71086362810.0,73453501520.9,468.596205076,1033.06719371
Natural Gas,2004,183330596.09,1714018280.0,1481883580.0,90962950119.6,78643561590.6,80761346464.9,440.523012456,971.177033261
Natural Gas,2005,182089231.68,1629166210.0,1414133710.0,86459850764.7,75048075989.7,77443370178.9,425.304502987,937.626307284
