year,quarter,generation (MWh),final CO2 (kg),index (g/kWh),year_quarter,change since 2005,index (lb/MWh)
2014,4,222951298.78,1.34684688302e+11,604.099142005,2014 Q4,-0.152245057046,1331.79696847
2015,1,249508647.58,1.52636803953e+11,611.749554307,2015 Q1,-0.141508947037,1348.66306743
2015,2,213317414.59,1.24850146382e+11,585.278734146,2015 Q2,-0.178656440016,1290.3054973
2015,3,249752992.11,1.52341761133e+11,609.969713861,2015 Q3,-0.144006663771,1344.73923118
2015,4,202234571.1,1.11258303236e+11,550.14482752,2015 Q4,-0.227961166568,1212.84928675
2016,1,228239019.95,1.25330103083e+11,549.117776228,2016 Q1,-0.2294024661,1210.58504947
2016,2,212825719.4,1.18235620181e+11,555.551370924,2016 Q2,-0.220373961794,1224.76855234
2016,3,265243234.71,1.58010643798e+11,595.719788934,2016 Q3,-0.164004116927,1313.32384668
2016,4,216795265.37,1.19173229899e+11,549.704024649,2016 Q4,-0.228579761741,1211.87749274
2017,1,216032268.11,1.17544617419e+11,544.106759827,2017 Q1,-0.236434613023,1199.53776271
