year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,372580010.01,2.37494252716e+11,637.431548487,0.0500882082162,1405.28159179
2002,385628540.0,2.46629333297e+11,639.551557303,0.0535806557806,1409.95536323
2003,379199690.0,2.45596887583e+11,647.671646523,0.0669574802561,1427.85691192
2004,390299132.27,2.37437687399e+11,608.347976635,0.00217668590981,1341.16394929
2005,396668722.2,2.40788493624e+11,607.026670235,0.0,1338.2509972
2006,400582877.74,2.38977860668e+11,596.575325477,-0.0172172744137,1315.20996255
2007,405492295.54,2.40673415427e+11,593.533879865,-0.0222276730698,1308.50479155
2008,404787781.01,2.43308948491e+11,601.077799049,-0.00980001617466,1325.13611578
2009,397167909.56,2.23918584728e+11,563.788209819,-0.0712299187766,1242.92748737
2010,411695046.3,2.35700142861e+11,572.511486304,-0.0568594192368,1262.15882271
2011,435463570.256,2.50427098284e+11,575.081626545,-0.0526254368333,1267.82495388
2012,429812509.87,2.33101816883e+11,542.333718844,-0.106573491024,1195.62891656
2013,433380165.78,2.39878442107e+11,553.505815558,-0.0881688685218,1220.25892098
2014,437793351.0,2.37685336231e+11,542.916733862,-0.105613047197,1196.91423147
2015,450049818.88,2.25880048958e+11,501.900099682,-0.173182787031,1106.48895976
2016,455844004.116,2.19783919921e+11,482.147221279,-0.205723166838,1062.94176403
2017,99151074.36,45673711288.4,460.647669056,-0.241140971816,1015.5438512
