year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,260505583.0,1.08123882233e+11,415.053992271,0.0635039646521,915.028031361
2002,263931795.0,1.0419042224e+11,394.762678138,0.0115109867971,870.293800223
2003,267791246.01,1.08460987322e+11,405.02066045,0.0377952897097,892.908548028
2004,271483154.57,1.07151691363e+11,394.690018735,0.011324809661,870.133615302
2005,283036648.14,1.10460792507e+11,390.270282074,0.0,860.38986386
2006,274476879.35,95314255963.0,347.25786809,-0.110211860753,765.564695991
2007,278405036.18,98198558256.4,352.718325803,-0.0962203836575,777.602821064
2008,267416444.19,86673584712.5,324.11464065,-0.169512372483,714.543136776
2009,254816566.52,73451762401.2,288.253481335,-0.261400381799,635.483624951
2010,266687104.68,79957230607.4,299.816636066,-0.231771800627,660.975755872
2011,261873397.333,71283343540.5,272.205364372,-0.302520901858,600.103946295
2012,257752414.395,67449487922.7,261.683243903,-0.329482013049,576.906879508
2013,252636210.317,63919908802.7,253.01166734,-0.351701426008,557.789521817
2014,249567859.129,62023264421.2,248.522644854,-0.363203768595,547.893022845
2015,250615818.38,62472166883.8,249.274635925,-0.361276921726,549.550862361
2016,244339843.22,56741133408.3,232.222189638,-0.404970861722,511.957039275
2017,57127440.25,12569652147.0,220.028275238,-0.436215655291,485.07433559
