"fuel category","generation (M MWh)","hovertext","year_quarter"
"Solar",0.30875709400000007,"0 Million MWh<br>0 lb/MWh","2008 Q3"
"Solar",0.107778556,"0 Million MWh<br>0 lb/MWh","2008 Q4"
"Solar",0.11547395699999993,"0 Million MWh<br>0 lb/MWh","2009 Q1"
"Solar",0.312531593,"0 Million MWh<br>0 lb/MWh","2009 Q2"
"Solar",0.327079066,"0 Million MWh<br>0 lb/MWh","2009 Q3"
"Solar",0.12770221399999998,"0 Million MWh<br>0 lb/MWh","2009 Q4"
"Solar",0.117593478,"0 Million MWh<br>0 lb/MWh","2010 Q1"
"Solar",0.43618000799999995,"0 Million MWh<br>0 lb/MWh","2010 Q2"
"Solar",0.44841797600000005,"0 Million MWh<br>0 lb/MWh","2010 Q3"
"Solar",0.19300020800000003,"0 Million MWh<br>0 lb/MWh","2010 Q4"
"Solar",0.24489780499999997,"0 Million MWh<br>0 lb/MWh","2011 Q1"
"Solar",0.5737393749999997,"0 Million MWh<br>0 lb/MWh","2011 Q2"
"Solar",0.600598692,"0 Million MWh<br>0 lb/MWh","2011 Q3"
"Solar",0.3822540380000001,"0 Million MWh<br>0 lb/MWh","2011 Q4"
"Solar",0.4531671410000002,"0 Million MWh<br>0 lb/MWh","2012 Q1"
"Solar",1.2775569959999997,"1 Million MWh<br>0 lb/MWh","2012 Q2"
"Solar",1.381292871,"1 Million MWh<br>0 lb/MWh","2012 Q3"
"Solar",1.0765283870000002,"1 Million MWh<br>0 lb/MWh","2012 Q4"
"Solar",1.3545897749999987,"1 Million MWh<br>0 lb/MWh","2013 Q1"
"Solar",2.272909927000001,"2 Million MWh<br>0 lb/MWh","2013 Q2"
"Solar",2.6982384539999997,"2 Million MWh<br>0 lb/MWh","2013 Q3"
"Solar",2.625559944,"2 Million MWh<br>0 lb/MWh","2013 Q4"
"Solar",2.8741362490000024,"2 Million MWh<br>0 lb/MWh","2014 Q1"
"Solar",5.1318805260000016,"5 Million MWh<br>0 lb/MWh","2014 Q2"
"Solar",5.471618986,"5 Million MWh<br>0 lb/MWh","2014 Q3"
"Solar",4.0782798289999995,"4 Million MWh<br>0 lb/MWh","2014 Q4"
"Solar",4.662577194000001,"4 Million MWh<br>0 lb/MWh","2015 Q1"
"Solar",7.404755743999999,"7 Million MWh<br>0 lb/MWh","2015 Q2"
"Solar",7.499509069999997,"7 Million MWh<br>0 lb/MWh","2015 Q3"
"Solar",5.178579522000005,"5 Million MWh<br>0 lb/MWh","2015 Q4"
"Solar",6.321508700999996,"6 Million MWh<br>0 lb/MWh","2016 Q1"
"Solar",9.747187978000014,"9 Million MWh<br>0 lb/MWh","2016 Q2"
"Solar",11.515697301000005,"11 Million MWh<br>0 lb/MWh","2016 Q3"
"Solar",8.360584239999998,"8 Million MWh<br>0 lb/MWh","2016 Q4"
"Solar",2.7943108,"2 Million MWh<br>0 lb/MWh","2017 Q1"
"Solar",5.18352109,"5 Million MWh<br>0 lb/MWh","2017 Q2"
"Solar",5.0106506999999985,"5 Million MWh<br>0 lb/MWh","2017 Q3"
"Solar",3.62966806,"3 Million MWh<br>0 lb/MWh","2017 Q4"
"Wind",1.1162340029999998,"1 Million MWh<br>0 lb/MWh","2001 Q1"
"Wind",1.7401304629999998,"1 Million MWh<br>0 lb/MWh","2001 Q2"
"Wind",1.527888979,"1 Million MWh<br>0 lb/MWh","2001 Q3"
"Wind",1.577295979,"1 Million MWh<br>0 lb/MWh","2001 Q4"
"Wind",2.3725213640000002,"2 Million MWh<br>0 lb/MWh","2002 Q1"
"Wind",3.2234803489999995,"3 Million MWh<br>0 lb/MWh","2002 Q2"
"Wind",2.596869564,"2 Million MWh<br>0 lb/MWh","2002 Q3"
"Wind",2.1406061659999995,"2 Million MWh<br>0 lb/MWh","2002 Q4"
"Wind",2.413819062,"2 Million MWh<br>0 lb/MWh","2003 Q1"
"Wind",3.1462938380000005,"3 Million MWh<br>0 lb/MWh","2003 Q2"
"Wind",2.663879568,"2 Million MWh<br>0 lb/MWh","2003 Q3"
"Wind",2.963474521,"2 Million MWh<br>0 lb/MWh","2003 Q4"
"Wind",3.1089475170000016,"3 Million MWh<br>0 lb/MWh","2004 Q1"
"Wind",4.240367006999998,"4 Million MWh<br>0 lb/MWh","2004 Q2"
"Wind",3.18874543,"3 Million MWh<br>0 lb/MWh","2004 Q3"
"Wind",2.9551390050000013,"2 Million MWh<br>0 lb/MWh","2004 Q4"
"Wind",3.6586759219999996,"3 Million MWh<br>0 lb/MWh","2005 Q1"
"Wind",5.240857597999998,"5 Million MWh<br>0 lb/MWh","2005 Q2"
"Wind",4.027320309,"4 Million MWh<br>0 lb/MWh","2005 Q3"
"Wind",4.883695189000001,"4 Million MWh<br>0 lb/MWh","2005 Q4"
"Wind",6.663223524000001,"6 Million MWh<br>0 lb/MWh","2006 Q1"
"Wind",6.982210474999998,"6 Million MWh<br>0 lb/MWh","2006 Q2"
"Wind",5.489394890000002,"5 Million MWh<br>0 lb/MWh","2006 Q3"
"Wind",7.454308100999998,"7 Million MWh<br>0 lb/MWh","2006 Q4"
"Wind",8.019199911000003,"8 Million MWh<br>0 lb/MWh","2007 Q1"
"Wind",8.744460231000003,"8 Million MWh<br>0 lb/MWh","2007 Q2"
"Wind",7.724458669999997,"7 Million MWh<br>0 lb/MWh","2007 Q3"
"Wind",9.961808592,"9 Million MWh<br>0 lb/MWh","2007 Q4"
"Wind",12.906954039000004,"12 Million MWh<br>0 lb/MWh","2008 Q1"
"Wind",15.705942359,"15 Million MWh<br>0 lb/MWh","2008 Q2"
"Wind",10.384258551999999,"10 Million MWh<br>0 lb/MWh","2008 Q3"
"Wind",16.365945119999996,"16 Million MWh<br>0 lb/MWh","2008 Q4"
"Wind",18.898058962000004,"18 Million MWh<br>0 lb/MWh","2009 Q1"
"Wind",19.315450414,"19 Million MWh<br>0 lb/MWh","2009 Q2"
"Wind",14.934237665000008,"14 Million MWh<br>0 lb/MWh","2009 Q3"
"Wind",20.399358549,"20 Million MWh<br>0 lb/MWh","2009 Q4"
"Wind",20.832893961000007,"20 Million MWh<br>0 lb/MWh","2010 Q1"
"Wind",26.485657875000005,"26 Million MWh<br>0 lb/MWh","2010 Q2"
"Wind",20.440052618999996,"20 Million MWh<br>0 lb/MWh","2010 Q3"
"Wind",26.575965415,"26 Million MWh<br>0 lb/MWh","2010 Q4"
"Wind",29.40859090400001,"29 Million MWh<br>0 lb/MWh","2011 Q1"
"Wind",34.994430518999984,"34 Million MWh<br>0 lb/MWh","2011 Q2"
"Wind",21.700343749000005,"21 Million MWh<br>0 lb/MWh","2011 Q3"
"Wind",33.315018178,"33 Million MWh<br>0 lb/MWh","2011 Q4"
"Wind",38.32113401099999,"38 Million MWh<br>0 lb/MWh","2012 Q1"
"Wind",36.969830381999984,"36 Million MWh<br>0 lb/MWh","2012 Q2"
"Wind",25.76545311900001,"25 Million MWh<br>0 lb/MWh","2012 Q3"
"Wind",38.417894478000015,"38 Million MWh<br>0 lb/MWh","2012 Q4"
"Wind",44.59387123800001,"44 Million MWh<br>0 lb/MWh","2013 Q1"
"Wind",47.57651187200004,"47 Million MWh<br>0 lb/MWh","2013 Q2"
"Wind",32.547413458,"32 Million MWh<br>0 lb/MWh","2013 Q3"
"Wind",43.42779757200001,"43 Million MWh<br>0 lb/MWh","2013 Q4"
"Wind",49.68260749299998,"49 Million MWh<br>0 lb/MWh","2014 Q1"
"Wind",49.92199235800002,"49 Million MWh<br>0 lb/MWh","2014 Q2"
"Wind",33.827699644000006,"33 Million MWh<br>0 lb/MWh","2014 Q3"
"Wind",47.81807859499997,"47 Million MWh<br>0 lb/MWh","2014 Q4"
"Wind",45.38132281699997,"45 Million MWh<br>0 lb/MWh","2015 Q1"
"Wind",48.425070784999996,"48 Million MWh<br>0 lb/MWh","2015 Q2"
"Wind",40.68809826099999,"40 Million MWh<br>0 lb/MWh","2015 Q3"
"Wind",56.146180037,"56 Million MWh<br>0 lb/MWh","2015 Q4"
"Wind",60.528240939,"60 Million MWh<br>0 lb/MWh","2016 Q1"
"Wind",55.93077358600001,"55 Million MWh<br>0 lb/MWh","2016 Q2"
"Wind",47.59449535699999,"47 Million MWh<br>0 lb/MWh","2016 Q3"
"Wind",62.872877688,"62 Million MWh<br>0 lb/MWh","2016 Q4"
"Wind",25.191901809999997,"25 Million MWh<br>0 lb/MWh","2017 Q1"
"Wind",25.363471960000002,"25 Million MWh<br>0 lb/MWh","2017 Q2"
"Wind",17.95296311,"17 Million MWh<br>0 lb/MWh","2017 Q3"
"Wind",27.650595239999998,"27 Million MWh<br>0 lb/MWh","2017 Q4"
"Total",907.933709705,"907 Million MWh","2001 Q1"
"Total",898.6129026529999,"898 Million MWh","2001 Q2"
"Total",1026.4074079999998,"1,026 Million MWh","2001 Q3"
"Total",872.2455566679997,"872 Million MWh","2001 Q4"
"Total",900.118434335,"900 Million MWh","2002 Q1"
"Total",933.6465402140001,"933 Million MWh","2002 Q2"
"Total",1080.7373257789995,"1,080 Million MWh","2002 Q3"
"Total",923.0967980500001,"923 Million MWh","2002 Q4"
"Total",931.4682827000003,"931 Million MWh","2003 Q1"
"Total",909.4452657839997,"909 Million MWh","2003 Q2"
"Total",1064.6170373129999,"1,064 Million MWh","2003 Q3"
"Total",921.2072914279997,"921 Million MWh","2003 Q4"
"Total",964.2199971668401,"964 Million MWh","2004 Q1"
"Total",956.6760569405695,"956 Million MWh","2004 Q2"
"Total",1075.22462439445,"1,075 Million MWh","2004 Q3"
"Total",950.2780310087003,"950 Million MWh","2004 Q4"
"Total",957.8815650660604,"957 Million MWh","2005 Q1"
"Total",966.8826499748602,"966 Million MWh","2005 Q2"
"Total",1156.1010288158197,"1,156 Million MWh","2005 Q3"
"Total",969.3588955979395,"969 Million MWh","2005 Q4"
"Total",954.7004935688103,"954 Million MWh","2006 Q1"
"Total",992.7132093552098,"992 Million MWh","2006 Q2"
"Total",1150.1386725311902,"1,150 Million MWh","2006 Q3"
"Total",966.87513715695,"966 Million MWh","2006 Q4"
"Total",997.137867947,"997 Million MWh","2007 Q1"
"Total",995.8586064330003,"995 Million MWh","2007 Q2"
"Total",1170.3376051110001,"1,170 Million MWh","2007 Q3"
"Total",992.592706791,"992 Million MWh","2007 Q4"
"Total",1012.6693921399998,"1,012 Million MWh","2008 Q1"
"Total",1004.1893901420003,"1,004 Million MWh","2008 Q2"
"Total",1129.9119269779999,"1,129 Million MWh","2008 Q3"
"Total",972.4614220899998,"972 Million MWh","2008 Q4"
"Total",966.4752938579999,"966 Million MWh","2009 Q1"
"Total",948.4922678989998,"948 Million MWh","2009 Q2"
"Total",1081.019938408,"1,081 Million MWh","2009 Q3"
"Total",953.9817315220002,"953 Million MWh","2009 Q4"
"Total",992.5968656570005,"992 Million MWh","2010 Q1"
"Total",990.9516276950001,"990 Million MWh","2010 Q2"
"Total",1164.1839405890003,"1,164 Million MWh","2010 Q3"
"Total",975.6810162799995,"975 Million MWh","2010 Q4"
"Total",992.6719763110002,"992 Million MWh","2011 Q1"
"Total",990.7206442419994,"990 Million MWh","2011 Q2"
"Total",1160.3613993969998,"1,160 Million MWh","2011 Q3"
"Total",947.3858056849998,"947 Million MWh","2011 Q4"
"Total",957.289794698,"957 Million MWh","2012 Q1"
"Total",991.983983364,"991 Million MWh","2012 Q2"
"Total",1144.218937841,"1,144 Million MWh","2012 Q3"
"Total",951.49530206,"951 Million MWh","2012 Q4"
"Total",983.6277542439999,"983 Million MWh","2013 Q1"
"Total",977.9446519889998,"977 Million MWh","2013 Q2"
"Total",1120.6764828300004,"1,120 Million MWh","2013 Q3"
"Total",981.9963032160002,"981 Million MWh","2013 Q4"
"Total",1032.6194160970003,"1,032 Million MWh","2014 Q1"
"Total",977.669715672,"977 Million MWh","2014 Q2"
"Total",1109.3389879690003,"1,109 Million MWh","2014 Q3"
"Total",968.4500031980002,"968 Million MWh","2014 Q4"
"Total",1006.0939297089997,"1,006 Million MWh","2015 Q1"
"Total",974.3453968409997,"974 Million MWh","2015 Q2"
"Total",1139.157447455,"1,139 Million MWh","2015 Q3"
"Total",932.7080390920003,"932 Million MWh","2015 Q4"
"Total",970.5074587279997,"970 Million MWh","2016 Q1"
"Total",977.3753963380002,"977 Million MWh","2016 Q2"
"Total",1172.6045725220008,"1,172 Million MWh","2016 Q3"
"Total",955.545298932,"955 Million MWh","2016 Q4"
"Total",806.9547466369999,"806 Million MWh","2017 Q1"
"Total",813.0803180190003,"813 Million MWh","2017 Q2"
"Total",958.8294504150001,"958 Million MWh","2017 Q3"
"Total",826.6444087839997,"826 Million MWh","2017 Q4"
