"fuel category","generation (M MWh)","hovertext","date"
"Coal",157.5132811619999,"157 Million MWh<br>2,167 lb/MWh","2007-05-01"
"Coal",173.5128840430002,"173 Million MWh<br>2,167 lb/MWh","2007-06-01"
"Coal",185.05378761199995,"185 Million MWh<br>2,176 lb/MWh","2007-07-01"
"Coal",190.13481633200004,"190 Million MWh<br>2,179 lb/MWh","2007-08-01"
"Coal",169.39127283300002,"169 Million MWh<br>2,174 lb/MWh","2007-09-01"
"Coal",162.2343561250001,"162 Million MWh<br>2,158 lb/MWh","2007-10-01"
"Coal",159.38245455099997,"159 Million MWh<br>2,146 lb/MWh","2007-11-01"
"Coal",173.82986552899982,"173 Million MWh<br>2,162 lb/MWh","2007-12-01"
"Coal",182.87550429999996,"182 Million MWh<br>2,143 lb/MWh","2008-01-01"
"Coal",166.6663547929999,"166 Million MWh<br>2,146 lb/MWh","2008-02-01"
"Coal",160.7432430419999,"160 Million MWh<br>2,148 lb/MWh","2008-03-01"
"Coal",146.98302390699985,"146 Million MWh<br>2,152 lb/MWh","2008-04-01"
"Coal",154.91590135400028,"154 Million MWh<br>2,174 lb/MWh","2008-05-01"
"Coal",171.04327903100014,"171 Million MWh<br>2,174 lb/MWh","2008-06-01"
"Coal",186.73345633000002,"186 Million MWh<br>2,182 lb/MWh","2008-07-01"
"Coal",180.5764929539998,"180 Million MWh<br>2,191 lb/MWh","2008-08-01"
"Coal",161.3563473190001,"161 Million MWh<br>2,182 lb/MWh","2008-09-01"
"Coal",151.84071519100002,"151 Million MWh<br>2,172 lb/MWh","2008-10-01"
"Coal",154.281197975,"154 Million MWh<br>2,141 lb/MWh","2008-11-01"
"Coal",167.78573046299988,"167 Million MWh<br>2,160 lb/MWh","2008-12-01"
"Coal",171.92515033599992,"171 Million MWh<br>2,151 lb/MWh","2009-01-01"
"Coal",140.915784755,"140 Million MWh<br>2,155 lb/MWh","2009-02-01"
"Coal",135.53032779799997,"135 Million MWh<br>2,175 lb/MWh","2009-03-01"
"Coal",125.9349731229998,"125 Million MWh<br>2,175 lb/MWh","2009-04-01"
"Coal",131.67305752199994,"131 Million MWh<br>2,179 lb/MWh","2009-05-01"
"Coal",148.08677110499994,"148 Million MWh<br>2,190 lb/MWh","2009-06-01"
"Coal",158.23386911799997,"158 Million MWh<br>2,190 lb/MWh","2009-07-01"
"Coal",163.26048307799974,"163 Million MWh<br>2,189 lb/MWh","2009-08-01"
"Coal",137.14464797999992,"137 Million MWh<br>2,189 lb/MWh","2009-09-01"
"Coal",139.9555773769999,"139 Million MWh<br>2,172 lb/MWh","2009-10-01"
"Coal",136.80957520800024,"136 Million MWh<br>2,169 lb/MWh","2009-11-01"
"Coal",166.43403555499987,"166 Million MWh<br>2,162 lb/MWh","2009-12-01"
"Coal",173.32016091300017,"173 Million MWh<br>2,153 lb/MWh","2010-01-01"
"Coal",153.04415909100007,"153 Million MWh<br>2,154 lb/MWh","2010-02-01"
"Coal",144.4056331910001,"144 Million MWh<br>2,169 lb/MWh","2010-03-01"
"Coal",126.95188534300014,"126 Million MWh<br>2,160 lb/MWh","2010-04-01"
"Coal",143.27249361699987,"143 Million MWh<br>2,187 lb/MWh","2010-05-01"
"Coal",165.49148889099988,"165 Million MWh<br>2,194 lb/MWh","2010-06-01"
"Coal",179.6004990950002,"179 Million MWh<br>2,199 lb/MWh","2010-07-01"
"Coal",177.74532007700026,"177 Million MWh<br>2,206 lb/MWh","2010-08-01"
"Coal",148.74567168900006,"148 Million MWh<br>2,200 lb/MWh","2010-09-01"
"Coal",132.269835056,"132 Million MWh<br>2,198 lb/MWh","2010-10-01"
"Coal",135.18504538299996,"135 Million MWh<br>2,188 lb/MWh","2010-11-01"
"Coal",167.25808616099974,"167 Million MWh<br>2,172 lb/MWh","2010-12-01"
"Coal",170.75049103300003,"170 Million MWh<br>2,173 lb/MWh","2011-01-01"
"Coal",138.278970131,"138 Million MWh<br>2,191 lb/MWh","2011-02-01"
"Coal",134.81169436700011,"134 Million MWh<br>2,200 lb/MWh","2011-03-01"
"Coal",124.31950729399992,"124 Million MWh<br>2,189 lb/MWh","2011-04-01"
"Coal",137.06704357599995,"137 Million MWh<br>2,200 lb/MWh","2011-05-01"
"Coal",157.80367017400005,"157 Million MWh<br>2,211 lb/MWh","2011-06-01"
"Coal",176.5351030829998,"176 Million MWh<br>2,217 lb/MWh","2011-07-01"
"Coal",171.24085918300003,"171 Million MWh<br>2,222 lb/MWh","2011-08-01"
"Coal",140.88013813799998,"140 Million MWh<br>2,207 lb/MWh","2011-09-01"
"Coal",126.61262227299996,"126 Million MWh<br>2,196 lb/MWh","2011-10-01"
"Coal",121.45207184900002,"121 Million MWh<br>2,199 lb/MWh","2011-11-01"
"Coal",132.91355515500004,"132 Million MWh<br>2,207 lb/MWh","2011-12-01"
"Coal",129.03988576199995,"129 Million MWh<br>2,196 lb/MWh","2012-01-01"
"Coal",113.8242075850002,"113 Million MWh<br>2,201 lb/MWh","2012-02-01"
"Coal",105.48069240400007,"105 Million MWh<br>2,205 lb/MWh","2012-03-01"
"Coal",96.24660421999995,"96 Million MWh<br>2,186 lb/MWh","2012-04-01"
"Coal",115.92819028999992,"115 Million MWh<br>2,213 lb/MWh","2012-05-01"
"Coal",131.203682497,"131 Million MWh<br>2,233 lb/MWh","2012-06-01"
"Coal",160.3821350150002,"160 Million MWh<br>2,220 lb/MWh","2012-07-01"
"Coal",152.11500052200003,"152 Million MWh<br>2,221 lb/MWh","2012-08-01"
"Coal",125.52552939100008,"125 Million MWh<br>2,225 lb/MWh","2012-09-01"
"Coal",120.94294142900002,"120 Million MWh<br>2,200 lb/MWh","2012-10-01"
"Coal",128.66622583599997,"128 Million MWh<br>2,179 lb/MWh","2012-11-01"
"Coal",134.01400821099995,"134 Million MWh<br>2,176 lb/MWh","2012-12-01"
"Coal",138.10482108200003,"138 Million MWh<br>2,184 lb/MWh","2013-01-01"
"Coal",123.54680483799999,"123 Million MWh<br>2,179 lb/MWh","2013-02-01"
"Coal",130.63356035599998,"130 Million MWh<br>2,179 lb/MWh","2013-03-01"
"Coal",111.83468253499998,"111 Million MWh<br>2,178 lb/MWh","2013-04-01"
"Coal",119.51249999900004,"119 Million MWh<br>2,198 lb/MWh","2013-05-01"
"Coal",138.2832160329998,"138 Million MWh<br>2,210 lb/MWh","2013-06-01"
