"fuel category","generation (M MWh)","hovertext","date"
"Hydro",30.701771274000013,"30 Million MWh<br>0 lb/MWh","2011-04-01"
"Hydro",32.144038729000016,"32 Million MWh<br>0 lb/MWh","2011-05-01"
"Hydro",31.557249246000012,"31 Million MWh<br>0 lb/MWh","2011-06-01"
"Hydro",30.551406389000004,"30 Million MWh<br>0 lb/MWh","2011-07-01"
"Hydro",25.047259591,"25 Million MWh<br>0 lb/MWh","2011-08-01"
"Hydro",20.77350965699995,"20 Million MWh<br>0 lb/MWh","2011-09-01"
"Hydro",19.16583155000003,"19 Million MWh<br>0 lb/MWh","2011-10-01"
"Hydro",20.20796514799996,"20 Million MWh<br>0 lb/MWh","2011-11-01"
"Hydro",23.203731434999998,"23 Million MWh<br>0 lb/MWh","2011-12-01"
"Hydro",22.74113295199998,"22 Million MWh<br>0 lb/MWh","2012-01-01"
"Hydro",20.03232007500001,"20 Million MWh<br>0 lb/MWh","2012-02-01"
"Hydro",25.60914466199997,"25 Million MWh<br>0 lb/MWh","2012-03-01"
"Hydro",26.01685195199999,"26 Million MWh<br>0 lb/MWh","2012-04-01"
"Hydro",28.257211107000007,"28 Million MWh<br>0 lb/MWh","2012-05-01"
"Hydro",26.139547168,"26 Million MWh<br>0 lb/MWh","2012-06-01"
"Hydro",25.861292742999964,"25 Million MWh<br>0 lb/MWh","2012-07-01"
"Hydro",22.493429404999986,"22 Million MWh<br>0 lb/MWh","2012-08-01"
"Hydro",17.17111884000003,"17 Million MWh<br>0 lb/MWh","2012-09-01"
"Hydro",16.121256125000016,"16 Million MWh<br>0 lb/MWh","2012-10-01"
"Hydro",18.321840118,"18 Million MWh<br>0 lb/MWh","2012-11-01"
"Hydro",22.405059922999985,"22 Million MWh<br>0 lb/MWh","2012-12-01"
"Hydro",24.36116039400001,"24 Million MWh<br>0 lb/MWh","2013-01-01"
"Hydro",20.096477474000004,"20 Million MWh<br>0 lb/MWh","2013-02-01"
"Hydro",20.069338815999984,"20 Million MWh<br>0 lb/MWh","2013-03-01"
"Hydro",24.80183050000003,"24 Million MWh<br>0 lb/MWh","2013-04-01"
"Hydro",28.112440677999988,"28 Million MWh<br>0 lb/MWh","2013-05-01"
"Hydro",27.022567015,"27 Million MWh<br>0 lb/MWh","2013-06-01"
"Hydro",26.910533669999968,"26 Million MWh<br>0 lb/MWh","2013-07-01"
"Hydro",21.166020119000052,"21 Million MWh<br>0 lb/MWh","2013-08-01"
