plant id,lat,lon,nerc,state
10453,45.888333,-91.076944,MRO,WI
10443,35.014835999999995,-117.565903,WECC,CA
1047,43.3359,-91.1675,MRO,IA
10479,37.6455,-118.9096,WECC,CA
10486,48.6067,-93.4066,MRO,MN
1048,41.8081,-90.233611,MRO,IA
10397,41.663765000000005,-87.452325,RFC,IN
10405,36.5397,-119.5794,WECC,CA
10398,41.4739,-81.6728,RFC,OH
10421,39.6208,-106.0662,WECC,CO
10416,30.5958,-87.2525,SERC,FL
10422,40.035,-106.2053,WECC,CO
10458,40.976389000000005,-121.25583300000001,WECC,CA
10434,27.833641999999998,-82.051937,FRCC,FL
10356,46.6334,-68.4361,NPCC,ME
10346,45.0688,-83.8932,RFC,MI
10361,32.331274,-81.20149599999999,SERC,GA
10360,44.4936,-88.0303,MRO,WI
10334,21.300036,-158.098615,HICC,HI
10324,45.667640000000006,-121.548455,WECC,OR
10539,44.217420000000004,-75.79517299999999,NPCC,NY
10526,44.2081,-72.0581,NPCC,NH
10382,34.59,-78.9968,SERC,NC
10379,36.435,-78.9619,SERC,NC
10349,39.1365,-121.6397,WECC,CA
10362,35.7322,-95.2939,SPP,OK
10245,41.635,-87.1387,RFC,IN
1038,40.939528,-87.154472,RFC,IN
10377,37.2939,-77.2697,SERC,VA
1037,40.7551,-86.0575,RFC,IN
10560,31.6593,-81.8439,SERC,GA
10343,40.811189,-76.452951,RFC,PA
10244,39.324611,-82.974039,RFC,OH
10567,41.9227,-72.6255,NPCC,CT
10319,30.2,-91.0,SERC,LA
10302,40.533299,-78.384125,RFC,PA
10275,27.9114,-81.6006,FRCC,FL
10384,36.037318,-77.753345,SERC,NC
10250,30.266057,-85.52067,SERC,FL
10285,40.733545,-80.31479499999999,RFC,PA
10296,42.4937,-114.3102,WECC,ID
10279,38.974022,-95.235078,SPP,KS
10252,36.5489,-82.5667,RFC,TN
10328,42.7178,-84.4836,RFC,MI
10255,45.2497,-68.6483,NPCC,ME
10287,40.5547,-116.6175,WECC,NV
10604,20.867453,-156.453958,HICC,HI
10276,43.440538000000004,-71.595975,NPCC,NH
10378,33.944384,-78.011824,SERC,NC
10280,34.871811,-82.366035,SERC,SC
10606,33.1421,-91.975,SERC,AR
10298,29.6225,-95.0458,TRE,TX
10286,42.451921999999996,-76.48509200000001,NPCC,NY
10307,42.0925,-71.4833,NPCC,MA
10300,33.586,-116.0873,WECC,CA
10290,43.7155,-71.6585,NPCC,NH
10305,41.647,-73.943,NPCC,NY
10261,29.8247,-94.9197,TRE,TX
10354,44.431667,-70.1619,NPCC,ME
10333,28.5819,-82.4311,FRCC,FL
