plant id,state,lat,lon,nerc
2,AL,33.458665,-87.356823,SERC
3,AL,31.0069,-88.0103,SERC
4,AL,32.583889,-86.283056,SERC
7,AL,34.0128,-85.9708,SERC
8,AL,33.644344,-87.196486,SERC
9,TX,31.7569,-106.375,WECC
10,AL,32.6017,-87.7811,SERC
11,AL,33.7845,-86.0524,SERC
12,AL,33.2553,-87.4495,SERC
13,AL,32.6189,-86.2548,SERC
14,AL,33.425878,-86.337547,SERC
15,AL,32.9633,-86.5187,SERC
16,AL,32.680394,-85.911442,SERC
17,AL,32.806025,-86.444892,SERC
18,AL,33.9406,-87.1077,SERC
19,AL,32.535436,-85.887614,SERC
20,AL,34.172142,-85.753806,SERC
21,AL,32.5743,-85.8901,SERC
26,AL,33.244211,-86.458056,SERC
30,MN,44.0501,-94.4178,MRO
34,CA,39.134259,-120.953341,WECC
38,AL,32.100881,-87.399767,SERC
46,AL,34.7042,-87.1189,SERC
47,AL,34.7439,-87.8486,SERC
48,AL,34.421272,-86.393931,SERC
49,AL,34.8069,-87.3819,SERC
50,AL,34.883022,-85.755253,SERC
51,LA,32.030556,-93.569167,SPP
53,AL,31.4033,-86.479469,SERC
54,KY,37.8833,-84.1017,SERC
55,AL,31.361146,-86.518307,SERC
56,AL,31.488019,-87.910747,SERC
59,NE,40.854765,-98.348222,MRO
60,NE,40.580872,-98.312437,MRO
72,CA,34.01135,-118.4168,WECC
87,NM,35.4159,-108.082,WECC
88,NY,41.949,-74.2063,NPCC
99,WA,47.079722,-122.365,WECC
100,AZ,33.466477,-111.781064,WECC
104,CA,37.147926,-119.2567,WECC
108,KS,37.9308,-100.9725,SPP
112,AZ,34.351111,-111.700556,WECC
113,AZ,34.9394,-110.3033,WECC
114,AZ,31.364122,-109.5538,WECC
115,AZ,34.402222,-111.617222,WECC
116,AZ,33.4225,-111.9122,WECC
117,AZ,33.4417,-112.1583,WECC
118,AZ,32.5517,-111.3,WECC
120,AZ,32.7214,-114.7106,WECC
124,AZ,32.252273,-110.992148,WECC
126,AZ,32.16,-110.9047,WECC
127,TX,34.0825,-99.1753,TRE
130,SC,33.371506,-80.113235,SERC
136,FL,29.733056,-81.632778,FRCC
141,AZ,33.5561,-112.2153,WECC
143,AZ,33.439375,-111.946052,WECC
145,AZ,33.5907,-111.344,WECC
147,AZ,33.3556,-111.9353,WECC
148,AZ,33.5536,-111.4431,WECC
149,AZ,33.671104,-111.161786,WECC
150,AZ,33.5661,-111.536,WECC
151,CA,37.62936,-120.93139,WECC
152,AZ,35.197044,-114.570669,WECC
153,AZ,36.936614,-111.483872,WECC
154,NV,36.01551,-114.738006,WECC
159,UT,40.493631,-111.312506,WECC
160,AZ,32.0603,-109.8931,WECC
161,CA,37.611461,-120.594678,WECC
162,CA,37.621536,-120.746247,WECC
164,FL,24.579167,-81.685,FRCC
165,OK,36.190278,-95.2894,-
166,AR,34.4425,-93.0262,SERC
167,AR,34.7535,-92.1987,SERC
168,AR,34.9806,-90.8722,-
169,AR,33.3592,-93.4649,SERC
170,AR,34.4341,-92.9049,SERC
171,AR,34.635997,-92.409602,SERC
172,AR,35.6893,-89.994,-
173,AR,34.4629,-90.5987,SERC
174,AR,34.4272,-92.8941,SERC
180,CA,40.45193,-121.86215,WECC
182,AR,36.421507,-93.847373,SPP
187,AR,34.211913,-93.110963,-
188,AR,35.5207,-91.9953,-
193,AR,36.3858,-90.1867,-
195,AR,34.148427,-93.715168,-
196,AR,36.2491,-92.2401,-
197,AR,34.570984,-93.194425,SERC
198,AR,36.3635,-92.5763,-
199,AR,35.2503,-93.1686,SERC
201,AR,35.462382,-93.804926,SPP
202,AR,35.260102,-91.363426,SERC
203,AR,33.5648,-92.7917,SERC
204,IL,40.1719,-88.8339,SERC
207,FL,30.4308,-81.5508,FRCC
210,KS,38.23926,-95.68978,SPP
214,CA,39.215979,-120.80355,WECC
215,CA,38.071944,-120.539444,WECC
217,CA,36.909137,-119.087712,WECC
218,CA,36.908907,-119.087556,WECC
219,CA,40.007445,-121.249438,WECC
220,CA,39.91062,-121.327692,WECC
221,CA,40.175656,-121.190663,WECC
222,CA,40.085476,-121.148241,WECC
223,CA,40.085997,-121.149373,WECC
224,CA,39.788877,-121.657383,WECC
225,CA,38.771764,-120.813239,WECC
226,CA,39.605043,-121.600525,WECC
227,CA,40.404645,-122.121904,WECC
228,CA,38.0192,-121.7642,WECC
229,CA,40.570817,-122.02093,WECC
231,CA,39.825907,-121.409687,WECC
232,CA,39.869265,-121.631819,WECC
233,CA,39.29807,-120.8443,WECC
235,CA,39.256873,-120.767437,WECC
236,CA,39.257388,-120.767046,WECC
237,CA,39.216985,-120.835587,WECC
238,CA,38.793574,-120.619152,WECC
239,CA,38.330985,-120.669901,WECC
240,CA,36.927424,-119.02025,WECC
241,CA,38.956985,-121.041932,WECC
242,CA,40.268712,-121.089479,WECC
243,CA,40.929297,-121.544462,WECC
244,CA,40.960675,-121.548657,WECC
246,CA,40.7415,-124.2103,
247,CA,37.733611,-122.389722,WECC
248,CA,40.400988,-121.965502,WECC
249,CA,40.992295,-121.975182,WECC
250,CA,37.092486,-119.552826,WECC
253,CA,40.677827,-121.873253,WECC
254,CA,36.888166,-119.158777,WECC
255,CA,39.698755,-121.57096,WECC
258,CA,37.52301,-120.329905,WECC
259,CA,35.372167,-120.856562,
260,CA,36.804837,-121.782241,WECC
261,CA,38.147093,-120.446396,WECC
262,CA,39.2364,-121.271741,WECC
264,CA,38.032103,-120.326537,WECC
265,CA,40.99084,-121.498243,WECC
266,CA,40.997448,-121.748139,WECC
267,CA,40.986361,-121.84944,WECC
268,CA,40.986197,-121.977594,WECC
269,CA,40.922568,-121.992906,WECC
270,CA,40.847462,-121.990798,WECC
271,CA,38.039168,-121.894469,WECC
272,CA,39.722892,-121.469814,WECC
273,CA,37.750833,-122.3683,
274,CA,39.361786,-123.127934,WECC
275,CA,39.90521,-121.345226,WECC
276,CA,37.203233,-119.497508,WECC
277,CA,37.253718,-119.519352,WECC
279,CA,38.497914,-120.21811,WECC
280,CA,40.395396,-121.879186,WECC
281,CA,39.324613,-120.644807,WECC
282,CA,39.324592,-120.645375,WECC
283,CA,39.337679,-120.635467,WECC
284,CA,38.18653,-120.11168,WECC
285,CA,38.139048,-120.370325,WECC
286,CA,38.777,-122.745,WECC
287,CA,38.449291,-120.492645,WECC
289,CA,36.163076,-118.707104,WECC
290,CA,40.459111,-121.86708,WECC
291,CA,38.420898,-120.549572,WECC
292,CA,38.889862,-121.098525,WECC
293,CA,37.15105,-119.504724,WECC
294,CA,41.978914,-122.335317,WECC
295,CA,41.975716,-122.358127,WECC
296,CA,41.985605,-122.360455,WECC
297,CA,41.932981,-122.43678,WECC
298,TX,31.4219,-96.2525,TRE
299,UT,38.4889,-112.8533,WECC
300,CA,32.681667,-117.120277,WECC
301,CA,32.7958,-116.9722,WECC
302,CA,33.1361,-117.3364,WECC
303,CA,32.834,-117.1338,WECC
305,CA,32.8761,-117.1664,WECC
310,CA,32.6131,-117.096389,WECC
314,CA,32.673097,-115.392026,WECC
315,CA,33.7688,-118.1009,WECC
316,CA,34.0969,-118.4795,WECC
317,CA,37.2042,-119.2396,WECC
318,CA,37.2,-119.3069,WECC
319,CA,37.148517,-119.386623,WECC
320,CA,37.139,-119.4898,WECC
321,CA,37.2096,-119.3289,WECC
322,CA,37.200062,-119.30681,WECC
323,CA,37.273581,-118.573339,WECC
324,CA,37.301962,-118.531957,WECC
325,CA,37.323035,-118.501714,WECC
326,CA,37.3344,-118.4797,WECC
327,CA,37.3499,-118.4628,WECC
328,CA,35.588069,-118.524804,WECC
329,CA,34.8606,-116.8539,WECC
330,CA,33.909804,-118.424172,WECC
331,CA,34.09118,-117.52663,WECC
332,CA,34.155162,-117.397119,WECC
335,CA,33.6439,-117.9792,WECC
336,CA,36.461326,-118.87988,WECC
337,CA,36.465066,-118.862023,WECC
338,CA,36.486059,-118.835645,WECC
339,CA,35.776185,-118.436233,WECC
340,CA,35.460303,-118.77959,WECC
341,CA,33.7641,-118.2248,WECC
342,CA,38.042729,-119.172015,WECC
344,CA,37.220302,-119.337983,WECC
345,CA,34.2067,-119.2511,WECC
350,CA,34.1292,-119.1689,WECC
353,CA,37.944237,-119.2161,WECC
354,CA,37.257045,-119.158936,WECC
356,CA,33.8504,-118.395,WECC
357,CA,37.766954,-119.123284,WECC
358,CA,34.0818,-117.2418,WECC
360,CA,33.368794,-117.554916,WECC
361,CA,34.14522,-117.058481,WECC
363,CA,34.107245,-117.099091,WECC
365,CA,36.13568,-118.788868,WECC
371,WA,46.4711,-119.3339,WECC
375,CA,34.178056,-118.315556,WECC
376,CA,38.2569,-120.8507,WECC
377,CA,34.1556,-118.2782,WECC
378,MN,47.287206,-93.498266,MRO
380,CA,37.896649,-119.9675,WECC
