"index (g/kwh)","index (lb/mwh)","final co2 (million mt)","Imperial hovertext","SI hovertext","Emissions hovertext","year","date"
645.4177906410595,1422.8880612472794,214.59103191964485,"1,423 lb/MWh <br>↑ 7.7% from 2005","645 kg/MWh <br>↑ 7.7% from 2005","215 Million<br>Metric Tonnes",2001,"2001-01-01"
635.9612380564803,1402.0401454193163,179.93899925834646,"1,402 lb/MWh <br>↑ 6.1% from 2005","636 kg/MWh <br>↑ 6.1% from 2005","180 Million<br>Metric Tonnes",2001,"2001-02-01"
627.5612010840114,1383.5214239098113,188.71176056029893,"1,384 lb/MWh <br>↑ 4.7% from 2005","628 kg/MWh <br>↑ 4.7% from 2005","189 Million<br>Metric Tonnes",2001,"2001-03-01"
627.4483730966325,1383.2726833288361,174.4796533211478,"1,383 lb/MWh <br>↑ 4.7% from 2005","627 kg/MWh <br>↑ 4.7% from 2005","174 Million<br>Metric Tonnes",2001,"2001-04-01"
628.3102058890646,1385.1726799030316,188.7982333029063,"1,385 lb/MWh <br>↑ 4.9% from 2005","628 kg/MWh <br>↑ 4.9% from 2005","189 Million<br>Metric Tonnes",2001,"2001-05-01"
624.913541569454,1377.6843937440185,204.78009814782564,"1,378 lb/MWh <br>↑ 4.3% from 2005","625 kg/MWh <br>↑ 4.3% from 2005","205 Million<br>Metric Tonnes",2001,"2001-06-01"
641.5324991256715,1414.3225475724555,229.40534397555678,"1,414 lb/MWh <br>↑ 7.1% from 2005","642 kg/MWh <br>↑ 7.1% from 2005","229 Million<br>Metric Tonnes",2001,"2001-07-01"
644.2571092430502,1420.3292230372288,238.68774975250284,"1,420 lb/MWh <br>↑ 7.5% from 2005","644 kg/MWh <br>↑ 7.5% from 2005","239 Million<br>Metric Tonnes",2001,"2001-08-01"
630.6392629477958,1390.307319094711,193.56139509922767,"1,390 lb/MWh <br>↑ 5.3% from 2005","631 kg/MWh <br>↑ 5.3% from 2005","194 Million<br>Metric Tonnes",2001,"2001-09-01"
620.4144445746149,1367.765684509196,182.85481813409203,"1,368 lb/MWh <br>↑ 3.6% from 2005","620 kg/MWh <br>↑ 3.6% from 2005","183 Million<br>Metric Tonnes",2001,"2001-10-01"
614.9831045473197,1355.7917522850212,171.52021707898245,"1,356 lb/MWh <br>↑ 2.6% from 2005","615 kg/MWh <br>↑ 2.6% from 2005","172 Million<br>Metric Tonnes",2001,"2001-11-01"
610.5825562679548,1346.0903035483334,186.53072888681945,"1,346 lb/MWh <br>↑ 1.9% from 2005","611 kg/MWh <br>↑ 1.9% from 2005","187 Million<br>Metric Tonnes",2001,"2001-12-01"
605.7871186440766,1335.5182817627312,193.81704945335017,"1,336 lb/MWh <br>↑ 1.1% from 2005","606 kg/MWh <br>↑ 1.1% from 2005","194 Million<br>Metric Tonnes",2002,"2002-01-01"
602.1327650721394,1327.4618938780384,169.6936477491384,"1,327 lb/MWh <br>↑ 0.5% from 2005","602 kg/MWh <br>↑ 0.5% from 2005","170 Million<br>Metric Tonnes",2002,"2002-02-01"
608.3778671424272,1341.2298459021954,184.05718772730108,"1,341 lb/MWh <br>↑ 1.5% from 2005","608 kg/MWh <br>↑ 1.5% from 2005","184 Million<br>Metric Tonnes",2002,"2002-03-01"
601.1365176413777,1325.2655667921815,174.2245403132801,"1,325 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","174 Million<br>Metric Tonnes",2002,"2002-04-01"
602.3432399222356,1327.9259067325604,185.32606596954352,"1,328 lb/MWh <br>↑ 0.5% from 2005","602 kg/MWh <br>↑ 0.5% from 2005","185 Million<br>Metric Tonnes",2002,"2002-05-01"
607.8548205579867,1340.076737402138,207.27382184420125,"1,340 lb/MWh <br>↑ 1.5% from 2005","608 kg/MWh <br>↑ 1.5% from 2005","207 Million<br>Metric Tonnes",2002,"2002-06-01"
622.5691871893209,1372.5160300775772,237.47327200747625,"1,373 lb/MWh <br>↑ 3.9% from 2005","623 kg/MWh <br>↑ 3.9% from 2005","237 Million<br>Metric Tonnes",2002,"2002-07-01"
626.5244855711438,1381.235880890144,234.6334831253665,"1,381 lb/MWh <br>↑ 4.6% from 2005","627 kg/MWh <br>↑ 4.6% from 2005","235 Million<br>Metric Tonnes",2002,"2002-08-01"
629.1075519996142,1386.9305091383496,208.4084026261557,"1,387 lb/MWh <br>↑ 5.0% from 2005","629 kg/MWh <br>↑ 5.0% from 2005","208 Million<br>Metric Tonnes",2002,"2002-09-01"
631.9197986295259,1393.130388058653,194.03730979709698,"1,393 lb/MWh <br>↑ 5.5% from 2005","632 kg/MWh <br>↑ 5.5% from 2005","194 Million<br>Metric Tonnes",2002,"2002-10-01"
