"index (g/kwh)","index (lb/mwh)","final co2 (million mt)","Imperial hovertext","SI hovertext","Emissions hovertext","year","date"
619.48439790877,1365.7153036296745,183.54649764754888,"1,366 lb/MWh <br>↑ 3.4% from 2005","619 kg/MWh <br>↑ 3.4% from 2005","184 Million<br>Metric Tonnes",2002,"2002-11-01"
620.0314618515774,1366.9213607979875,201.40489540328656,"1,367 lb/MWh <br>↑ 3.5% from 2005","620 kg/MWh <br>↑ 3.5% from 2005","201 Million<br>Metric Tonnes",2002,"2002-12-01"
631.5223265580241,1392.2541211298199,215.96735605030705,"1,392 lb/MWh <br>↑ 5.4% from 2005","632 kg/MWh <br>↑ 5.4% from 2005","216 Million<br>Metric Tonnes",2003,"2003-01-01"
625.9070645078551,1379.8747144140177,187.2940698567852,"1,380 lb/MWh <br>↑ 4.5% from 2005","626 kg/MWh <br>↑ 4.5% from 2005","187 Million<br>Metric Tonnes",2003,"2003-02-01"
614.4914194808199,1354.7077833874155,186.99230389050265,"1,355 lb/MWh <br>↑ 2.6% from 2005","614 kg/MWh <br>↑ 2.6% from 2005","187 Million<br>Metric Tonnes",2003,"2003-03-01"
595.9775024238122,1313.8920018435367,170.3035106846061,"1,314 lb/MWh <br>↓ 0.5% from 2005","596 kg/MWh <br>↓ 0.5% from 2005","170 Million<br>Metric Tonnes",2003,"2003-04-01"
596.0351250322435,1314.019036646084,183.3065949694461,"1,314 lb/MWh <br>↓ 0.5% from 2005","596 kg/MWh <br>↓ 0.5% from 2005","183 Million<br>Metric Tonnes",2003,"2003-05-01"
609.0849664430376,1342.7887170203207,200.20022533448804,"1,343 lb/MWh <br>↑ 1.7% from 2005","609 kg/MWh <br>↑ 1.7% from 2005","200 Million<br>Metric Tonnes",2003,"2003-06-01"
621.7056234630445,1370.612217486628,232.7574531968779,"1,371 lb/MWh <br>↑ 3.8% from 2005","622 kg/MWh <br>↑ 3.8% from 2005","233 Million<br>Metric Tonnes",2003,"2003-07-01"
623.9303614374973,1375.5168748251065,238.21146769100642,"1,376 lb/MWh <br>↑ 4.1% from 2005","624 kg/MWh <br>↑ 4.1% from 2005","238 Million<br>Metric Tonnes",2003,"2003-08-01"
623.9675086432285,1375.5987695548615,201.62645347632449,"1,376 lb/MWh <br>↑ 4.1% from 2005","624 kg/MWh <br>↑ 4.1% from 2005","202 Million<br>Metric Tonnes",2003,"2003-09-01"
629.5036804893656,1387.8038140068554,193.09494413286302,"1,388 lb/MWh <br>↑ 5.1% from 2005","630 kg/MWh <br>↑ 5.1% from 2005","193 Million<br>Metric Tonnes",2003,"2003-10-01"
624.4991270442492,1376.770775481752,186.01790067448295,"1,377 lb/MWh <br>↑ 4.2% from 2005","624 kg/MWh <br>↑ 4.2% from 2005","186 Million<br>Metric Tonnes",2003,"2003-11-01"
618.9625781946403,1364.564899887904,205.29827421127007,"1,365 lb/MWh <br>↑ 3.3% from 2005","619 kg/MWh <br>↑ 3.3% from 2005","205 Million<br>Metric Tonnes",2003,"2003-12-01"
617.1839850633646,1360.6438134706934,213.87264723367048,"1,361 lb/MWh <br>↑ 3.0% from 2005","617 kg/MWh <br>↑ 3.0% from 2005","214 Million<br>Metric Tonnes",2004,"2004-01-01"
606.5527148936693,1337.2061152545832,190.6262229891738,"1,337 lb/MWh <br>↑ 1.2% from 2005","607 kg/MWh <br>↑ 1.2% from 2005","191 Million<br>Metric Tonnes",2004,"2004-02-01"
592.9126828153055,1307.1353005346225,183.0982826085954,"1,307 lb/MWh <br>↓ 1.0% from 2005","593 kg/MWh <br>↓ 1.0% from 2005","183 Million<br>Metric Tonnes",2004,"2004-03-01"
585.7379631779831,1291.3179136221818,170.1923020541491,"1,291 lb/MWh <br>↓ 2.2% from 2005","586 kg/MWh <br>↓ 2.2% from 2005","170 Million<br>Metric Tonnes",2004,"2004-04-01"
591.1400781312245,1303.2274162480976,193.52601393002442,"1,303 lb/MWh <br>↓ 1.3% from 2005","591 kg/MWh <br>↓ 1.3% from 2005","194 Million<br>Metric Tonnes",2004,"2004-05-01"
594.6194762467834,1310.8980973336588,205.19064951054057,"1,311 lb/MWh <br>↓ 0.8% from 2005","595 kg/MWh <br>↓ 0.8% from 2005","205 Million<br>Metric Tonnes",2004,"2004-06-01"
600.788265988492,1324.4978111982293,226.69544669093273,"1,324 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","227 Million<br>Metric Tonnes",2004,"2004-07-01"
602.6087411732183,1328.5112307904774,222.02180932059838,"1,329 lb/MWh <br>↑ 0.6% from 2005","603 kg/MWh <br>↑ 0.6% from 2005","222 Million<br>Metric Tonnes",2004,"2004-08-01"
599.0494008927295,1320.6643092081115,201.05367688791236,"1,321 lb/MWh <br>↓ 0.0% from 2005","599 kg/MWh <br>↓ 0.0% from 2005","201 Million<br>Metric Tonnes",2004,"2004-09-01"
602.6002502108289,1328.4925116147936,188.28296451639787,"1,328 lb/MWh <br>↑ 0.6% from 2005","603 kg/MWh <br>↑ 0.6% from 2005","188 Million<br>Metric Tonnes",2004,"2004-10-01"
607.6755741433975,1339.6815707565345,183.5799784804809,"1,340 lb/MWh <br>↑ 1.4% from 2005","608 kg/MWh <br>↑ 1.4% from 2005","184 Million<br>Metric Tonnes",2004,"2004-11-01"
603.0987205333925,1329.5914392879172,206.22592461580868,"1,330 lb/MWh <br>↑ 0.7% from 2005","603 kg/MWh <br>↑ 0.7% from 2005","206 Million<br>Metric Tonnes",2004,"2004-12-01"
605.9315103046141,1335.8366076175525,207.90683228010312,"1,336 lb/MWh <br>↑ 1.1% from 2005","606 kg/MWh <br>↑ 1.1% from 2005","208 Million<br>Metric Tonnes",2005,"2005-01-01"
600.0763053601049,1322.9282227968874,179.1228375476715,"1,323 lb/MWh <br>↑ 0.2% from 2005","600 kg/MWh <br>↑ 0.2% from 2005","179 Million<br>Metric Tonnes",2005,"2005-02-01"
599.422355430227,1321.4865247814785,190.29224354058212,"1,321 lb/MWh <br>↑ 0.0% from 2005","599 kg/MWh <br>↑ 0.0% from 2005","190 Million<br>Metric Tonnes",2005,"2005-03-01"
581.0128568420413,1280.9009441939638,168.2398252498783,"1,281 lb/MWh <br>↓ 3.0% from 2005","581 kg/MWh <br>↓ 3.0% from 2005","168 Million<br>Metric Tonnes",2005,"2005-04-01"
577.4428733085448,1273.030558496018,181.93072225723566,"1,273 lb/MWh <br>↓ 3.6% from 2005","577 kg/MWh <br>↓ 3.6% from 2005","182 Million<br>Metric Tonnes",2005,"2005-05-01"
594.9209399293755,1311.5627041683015,216.33068495970852,"1,312 lb/MWh <br>↓ 0.7% from 2005","595 kg/MWh <br>↓ 0.7% from 2005","216 Million<br>Metric Tonnes",2005,"2005-06-01"
598.5894270877732,1319.6502509577049,240.74270432305372,"1,320 lb/MWh <br>↓ 0.1% from 2005","599 kg/MWh <br>↓ 0.1% from 2005","241 Million<br>Metric Tonnes",2005,"2005-07-01"
603.8745322206659,1331.3017937336801,244.48790652529584,"1,331 lb/MWh <br>↑ 0.8% from 2005","604 kg/MWh <br>↑ 0.8% from 2005","244 Million<br>Metric Tonnes",2005,"2005-08-01"
609.4373311936619,1343.565540349547,213.43338046403878,"1,344 lb/MWh <br>↑ 1.7% from 2005","609 kg/MWh <br>↑ 1.7% from 2005","213 Million<br>Metric Tonnes",2005,"2005-09-01"
612.4977463248501,1350.3125315477644,193.78739979814867,"1,350 lb/MWh <br>↑ 2.2% from 2005","612 kg/MWh <br>↑ 2.2% from 2005","194 Million<br>Metric Tonnes",2005,"2005-10-01"
600.8623034417068,1324.6610341675869,183.93310419322486,"1,325 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","184 Million<br>Metric Tonnes",2005,"2005-11-01"
601.4626071793139,1325.9844637875153,209.3668970685313,"1,326 lb/MWh <br>↑ 0.4% from 2005","601 kg/MWh <br>↑ 0.4% from 2005","209 Million<br>Metric Tonnes",2005,"2005-12-01"
582.6614729238357,1284.5354832078885,191.49483161740224,"1,285 lb/MWh <br>↓ 2.7% from 2005","583 kg/MWh <br>↓ 2.7% from 2005","191 Million<br>Metric Tonnes",2006,"2006-01-01"
587.9988898041398,1296.302352462207,180.71084901753463,"1,296 lb/MWh <br>↓ 1.9% from 2005","588 kg/MWh <br>↓ 1.9% from 2005","181 Million<br>Metric Tonnes",2006,"2006-02-01"
584.5337545589472,1288.6631153006547,186.30851880253147,"1,289 lb/MWh <br>↓ 2.4% from 2005","585 kg/MWh <br>↓ 2.4% from 2005","186 Million<br>Metric Tonnes",2006,"2006-03-01"
560.9629547613758,1236.6989300669293,167.08726313193813,"1,237 lb/MWh <br>↓ 6.4% from 2005","561 kg/MWh <br>↓ 6.4% from 2005","167 Million<br>Metric Tonnes",2006,"2006-04-01"
566.7459188801555,1249.4480527631908,187.37405826621546,"1,249 lb/MWh <br>↓ 5.4% from 2005","567 kg/MWh <br>↓ 5.4% from 2005","187 Million<br>Metric Tonnes",2006,"2006-05-01"
573.6997109471131,1264.7783827540054,208.9735932175448,"1,265 lb/MWh <br>↓ 4.2% from 2005","574 kg/MWh <br>↓ 4.2% from 2005","209 Million<br>Metric Tonnes",2006,"2006-06-01"
591.0122347763235,1302.9455727878826,242.55038361249467,"1,303 lb/MWh <br>↓ 1.4% from 2005","591 kg/MWh <br>↓ 1.4% from 2005","243 Million<br>Metric Tonnes",2006,"2006-07-01"
596.6584532591227,1315.3932260550614,243.2664714555636,"1,315 lb/MWh <br>↓ 0.4% from 2005","597 kg/MWh <br>↓ 0.4% from 2005","243 Million<br>Metric Tonnes",2006,"2006-08-01"
590.40361325093,1301.6038057730004,196.04696588320533,"1,302 lb/MWh <br>↓ 1.5% from 2005","590 kg/MWh <br>↓ 1.5% from 2005","196 Million<br>Metric Tonnes",2006,"2006-09-01"
601.759479059769,1326.6389475351668,193.50571260656682,"1,327 lb/MWh <br>↑ 0.4% from 2005","602 kg/MWh <br>↑ 0.4% from 2005","194 Million<br>Metric Tonnes",2006,"2006-10-01"
596.8816717813593,1315.8853336091847,184.5316304926167,"1,316 lb/MWh <br>↓ 0.4% from 2005","597 kg/MWh <br>↓ 0.4% from 2005","185 Million<br>Metric Tonnes",2006,"2006-11-01"
589.5050990214431,1299.6229413026736,198.2391024460808,"1,300 lb/MWh <br>↓ 1.6% from 2005","590 kg/MWh <br>↓ 1.6% from 2005","198 Million<br>Metric Tonnes",2006,"2006-12-01"
578.0882752401692,1274.4534115944768,204.3724803615788,"1,274 lb/MWh <br>↓ 3.5% from 2005","578 kg/MWh <br>↓ 3.5% from 2005","204 Million<br>Metric Tonnes",2007,"2007-01-01"
594.070986740212,1309.6888973674713,192.02020642745487,"1,310 lb/MWh <br>↓ 0.8% from 2005","594 kg/MWh <br>↓ 0.8% from 2005","192 Million<br>Metric Tonnes",2007,"2007-02-01"
580.4462867618903,1279.6518837952633,186.0164816180862,"1,280 lb/MWh <br>↓ 3.1% from 2005","580 kg/MWh <br>↓ 3.1% from 2005","186 Million<br>Metric Tonnes",2007,"2007-03-01"
575.5903433059799,1268.9464708523633,174.47834378521077,"1,269 lb/MWh <br>↓ 3.9% from 2005","576 kg/MWh <br>↓ 3.9% from 2005","174 Million<br>Metric Tonnes",2007,"2007-04-01"
576.4301137116472,1270.7978286886978,190.33899679072326,"1,271 lb/MWh <br>↓ 3.8% from 2005","576 kg/MWh <br>↓ 3.8% from 2005","190 Million<br>Metric Tonnes",2007,"2007-05-01"
588.4897243779707,1297.384446363674,213.4691947782941,"1,297 lb/MWh <br>↓ 1.8% from 2005","588 kg/MWh <br>↓ 1.8% from 2005","213 Million<br>Metric Tonnes",2007,"2007-06-01"
591.2762189862827,1303.527552377159,232.4987497033883,"1,304 lb/MWh <br>↓ 1.3% from 2005","591 kg/MWh <br>↓ 1.3% from 2005","232 Million<br>Metric Tonnes",2007,"2007-07-01"
593.9266458294469,1309.3706833955987,250.4921730676252,"1,309 lb/MWh <br>↓ 0.9% from 2005","594 kg/MWh <br>↓ 0.9% from 2005","250 Million<br>Metric Tonnes",2007,"2007-08-01"
596.6447465036532,1315.3630081419542,212.04061951932377,"1,315 lb/MWh <br>↓ 0.4% from 2005","597 kg/MWh <br>↓ 0.4% from 2005","212 Million<br>Metric Tonnes",2007,"2007-09-01"
599.1360273483023,1320.8552858920673,199.2797008959032,"1,321 lb/MWh <br>↑ 0.0% from 2005","599 kg/MWh <br>↑ 0.0% from 2005","199 Million<br>Metric Tonnes",2007,"2007-10-01"
590.3160202251884,1301.4106981884504,185.4201803145089,"1,301 lb/MWh <br>↓ 1.5% from 2005","590 kg/MWh <br>↓ 1.5% from 2005","185 Million<br>Metric Tonnes",2007,"2007-11-01"
589.8275429018922,1300.3338010815116,204.251882175818,"1,300 lb/MWh <br>↓ 1.6% from 2005","590 kg/MWh <br>↓ 1.6% from 2005","204 Million<br>Metric Tonnes",2007,"2007-12-01"
588.9197473114679,1298.332474922862,213.77517814754907,"1,298 lb/MWh <br>↓ 1.7% from 2005","589 kg/MWh <br>↓ 1.7% from 2005","214 Million<br>Metric Tonnes",2008,"2008-01-01"
591.3976916296505,1303.7953509667275,192.2659558185446,"1,304 lb/MWh <br>↓ 1.3% from 2005","591 kg/MWh <br>↓ 1.3% from 2005","192 Million<br>Metric Tonnes",2008,"2008-02-01"
577.9187996408233,1274.0797856881586,187.60946136699977,"1,274 lb/MWh <br>↓ 3.5% from 2005","578 kg/MWh <br>↓ 3.5% from 2005","188 Million<br>Metric Tonnes",2008,"2008-03-01"
572.1175073107756,1261.290256617336,174.99073932665777,"1,261 lb/MWh <br>↓ 4.5% from 2005","572 kg/MWh <br>↓ 4.5% from 2005","175 Million<br>Metric Tonnes",2008,"2008-04-01"
569.4225250364913,1255.3488986954487,185.20171642691633,"1,255 lb/MWh <br>↓ 5.0% from 2005","569 kg/MWh <br>↓ 5.0% from 2005","185 Million<br>Metric Tonnes",2008,"2008-05-01"
569.8884049086852,1256.3759774616874,212.6019460284937,"1,256 lb/MWh <br>↓ 4.9% from 2005","570 kg/MWh <br>↓ 4.9% from 2005","213 Million<br>Metric Tonnes",2008,"2008-06-01"
582.6565560494331,1284.5246434665805,234.74742888350195,"1,285 lb/MWh <br>↓ 2.7% from 2005","583 kg/MWh <br>↓ 2.7% from 2005","235 Million<br>Metric Tonnes",2008,"2008-07-01"
586.629387553886,1293.283147801297,228.1878265794186,"1,293 lb/MWh <br>↓ 2.1% from 2005","587 kg/MWh <br>↓ 2.1% from 2005","228 Million<br>Metric Tonnes",2008,"2008-08-01"
589.1209080285673,1298.7759538397793,199.15559323991215,"1,299 lb/MWh <br>↓ 1.7% from 2005","589 kg/MWh <br>↓ 1.7% from 2005","199 Million<br>Metric Tonnes",2008,"2008-09-01"
581.1570777751107,1281.2188936630087,185.12445026600693,"1,281 lb/MWh <br>↓ 3.0% from 2005","581 kg/MWh <br>↓ 3.0% from 2005","185 Million<br>Metric Tonnes",2008,"2008-10-01"
580.6712125765994,1280.147755246371,180.03492695436177,"1,280 lb/MWh <br>↓ 3.1% from 2005","581 kg/MWh <br>↓ 3.1% from 2005","180 Million<br>Metric Tonnes",2008,"2008-11-01"
571.5617873577639,1260.0651164089265,196.55910110840077,"1,260 lb/MWh <br>↓ 4.6% from 2005","572 kg/MWh <br>↓ 4.6% from 2005","197 Million<br>Metric Tonnes",2008,"2008-12-01"
568.4499500294983,1253.2047598350318,201.7922477812584,"1,253 lb/MWh <br>↓ 5.1% from 2005","568 kg/MWh <br>↓ 5.1% from 2005","202 Million<br>Metric Tonnes",2009,"2009-01-01"
557.5085593570677,1229.0833699585914,167.74569687809242,"1,229 lb/MWh <br>↓ 6.9% from 2005","558 kg/MWh <br>↓ 6.9% from 2005","168 Million<br>Metric Tonnes",2009,"2009-02-01"
537.0239734023164,1183.9230517627468,166.80123785633566,"1,184 lb/MWh <br>↓ 10.4% from 2005","537 kg/MWh <br>↓ 10.4% from 2005","167 Million<br>Metric Tonnes",2009,"2009-03-01"
531.3048941610183,1171.314769667381,153.83225207875554,"1,171 lb/MWh <br>↓ 11.3% from 2005","531 kg/MWh <br>↓ 11.3% from 2005","154 Million<br>Metric Tonnes",2009,"2009-04-01"
525.3421875322164,1158.169386633524,163.54201187638094,"1,158 lb/MWh <br>↓ 12.3% from 2005","525 kg/MWh <br>↓ 12.3% from 2005","164 Million<br>Metric Tonnes",2009,"2009-05-01"
540.2629117817348,1191.0636153140124,187.82257666106653,"1,191 lb/MWh <br>↓ 9.8% from 2005","540 kg/MWh <br>↓ 9.8% from 2005","188 Million<br>Metric Tonnes",2009,"2009-06-01"
552.3045333216563,1217.6105741609238,205.75341480481438,"1,218 lb/MWh <br>↓ 7.8% from 2005","552 kg/MWh <br>↓ 7.8% from 2005","206 Million<br>Metric Tonnes",2009,"2009-07-01"
562.2539470914037,1239.5450517577085,214.33668101280043,"1,240 lb/MWh <br>↓ 6.2% from 2005","562 kg/MWh <br>↓ 6.2% from 2005","214 Million<br>Metric Tonnes",2009,"2009-08-01"
548.3044599446308,1208.7920123939332,179.51521579206596,"1,209 lb/MWh <br>↓ 8.5% from 2005","548 kg/MWh <br>↓ 8.5% from 2005","180 Million<br>Metric Tonnes",2009,"2009-09-01"
561.6929511758666,1238.3082801623154,172.46239515399586,"1,238 lb/MWh <br>↓ 6.2% from 2005","562 kg/MWh <br>↓ 6.2% from 2005","172 Million<br>Metric Tonnes",2009,"2009-10-01"
553.3581353472664,1219.9333451865837,164.14520801995843,"1,220 lb/MWh <br>↓ 7.6% from 2005","553 kg/MWh <br>↓ 7.6% from 2005","164 Million<br>Metric Tonnes",2009,"2009-11-01"
560.520669836324,1235.72386872116,196.46635651841765,"1,236 lb/MWh <br>↓ 6.4% from 2005","561 kg/MWh <br>↓ 6.4% from 2005","196 Million<br>Metric Tonnes",2009,"2009-12-01"
569.8409075567314,1256.2712647995704,205.68784403739684,"1,256 lb/MWh <br>↓ 4.9% from 2005","570 kg/MWh <br>↓ 4.9% from 2005","206 Million<br>Metric Tonnes",2010,"2010-01-01"
564.2268152808539,1243.8944369681706,180.402628264474,"1,244 lb/MWh <br>↓ 5.8% from 2005","564 kg/MWh <br>↓ 5.8% from 2005","180 Million<br>Metric Tonnes",2010,"2010-02-01"
552.7802938133873,1218.6594357409938,172.55849569525625,"1,219 lb/MWh <br>↓ 7.7% from 2005","553 kg/MWh <br>↓ 7.7% from 2005","173 Million<br>Metric Tonnes",2010,"2010-03-01"
538.6009212987872,1187.399591095306,155.00845405611065,"1,187 lb/MWh <br>↓ 10.1% from 2005","539 kg/MWh <br>↓ 10.1% from 2005","155 Million<br>Metric Tonnes",2010,"2010-04-01"
545.3257439656385,1202.2251351466466,178.81781629704113,"1,202 lb/MWh <br>↓ 9.0% from 2005","545 kg/MWh <br>↓ 9.0% from 2005","179 Million<br>Metric Tonnes",2010,"2010-05-01"
560.0389042847779,1234.6617683862214,210.3976061202772,"1,235 lb/MWh <br>↓ 6.5% from 2005","560 kg/MWh <br>↓ 6.5% from 2005","210 Million<br>Metric Tonnes",2010,"2010-06-01"
574.7154626537363,1267.017708966427,235.44627124172672,"1,267 lb/MWh <br>↓ 4.1% from 2005","575 kg/MWh <br>↓ 4.1% from 2005","235 Million<br>Metric Tonnes",2010,"2010-07-01"
577.1040572920998,1272.283604706163,235.95367205443395,"1,272 lb/MWh <br>↓ 3.7% from 2005","577 kg/MWh <br>↓ 3.7% from 2005","236 Million<br>Metric Tonnes",2010,"2010-08-01"
555.9828844897113,1225.7198671460174,192.3870183259861,"1,226 lb/MWh <br>↓ 7.2% from 2005","556 kg/MWh <br>↓ 7.2% from 2005","192 Million<br>Metric Tonnes",2010,"2010-09-01"
546.4104846236718,1204.6165544013465,168.2492491874954,"1,205 lb/MWh <br>↓ 8.8% from 2005","546 kg/MWh <br>↓ 8.8% from 2005","168 Million<br>Metric Tonnes",2010,"2010-10-01"
543.4198097312195,1198.0233125334464,166.29169453012705,"1,198 lb/MWh <br>↓ 9.3% from 2005","543 kg/MWh <br>↓ 9.3% from 2005","166 Million<br>Metric Tonnes",2010,"2010-11-01"
557.8557013614997,1229.8486792215622,202.00719844566265,"1,230 lb/MWh <br>↓ 6.9% from 2005","558 kg/MWh <br>↓ 6.9% from 2005","202 Million<br>Metric Tonnes",2010,"2010-12-01"
562.1097595239712,1239.227175846547,203.9700325940529,"1,239 lb/MWh <br>↓ 6.2% from 2005","562 kg/MWh <br>↓ 6.2% from 2005","204 Million<br>Metric Tonnes",2011,"2011-01-01"
539.1558266029132,1188.6229353287824,168.82174314070565,"1,189 lb/MWh <br>↓ 10.0% from 2005","539 kg/MWh <br>↓ 10.0% from 2005","169 Million<br>Metric Tonnes",2011,"2011-02-01"
521.7282902679361,1150.2021887246926,166.27742294619406,"1,150 lb/MWh <br>↓ 12.9% from 2005","522 kg/MWh <br>↓ 12.9% from 2005","166 Million<br>Metric Tonnes",2011,"2011-03-01"
518.2865327389756,1142.6144900763454,156.72681585575305,"1,143 lb/MWh <br>↓ 13.5% from 2005","518 kg/MWh <br>↓ 13.5% from 2005","157 Million<br>Metric Tonnes",2011,"2011-04-01"
535.6321075620795,1180.8545443313606,173.34077107287345,"1,181 lb/MWh <br>↓ 10.6% from 2005","536 kg/MWh <br>↓ 10.6% from 2005","173 Million<br>Metric Tonnes",2011,"2011-05-01"
550.5922600406867,1213.835696485698,202.44646833707867,"1,214 lb/MWh <br>↓ 8.1% from 2005","551 kg/MWh <br>↓ 8.1% from 2005","202 Million<br>Metric Tonnes",2011,"2011-06-01"
562.0842816123536,1239.1710072425951,235.2953005292916,"1,239 lb/MWh <br>↓ 6.2% from 2005","562 kg/MWh <br>↓ 6.2% from 2005","235 Million<br>Metric Tonnes",2011,"2011-07-01"
563.3876906995678,1242.0445029162672,229.00495267869024,"1,242 lb/MWh <br>↓ 6.0% from 2005","563 kg/MWh <br>↓ 6.0% from 2005","229 Million<br>Metric Tonnes",2011,"2011-08-01"
545.0027986315629,1201.5131698631435,184.16679274283814,"1,202 lb/MWh <br>↓ 9.0% from 2005","545 kg/MWh <br>↓ 9.0% from 2005","184 Million<br>Metric Tonnes",2011,"2011-09-01"
526.6638973824116,1161.0832281692647,162.57638433311686,"1,161 lb/MWh <br>↓ 12.1% from 2005","527 kg/MWh <br>↓ 12.1% from 2005","163 Million<br>Metric Tonnes",2011,"2011-10-01"
511.71243729589537,1128.1212392625314,155.60024233617224,"1,128 lb/MWh <br>↓ 14.6% from 2005","512 kg/MWh <br>↓ 14.6% from 2005","156 Million<br>Metric Tonnes",2011,"2011-11-01"
512.3427570718145,1129.5108422405224,172.00976811435496,"1,130 lb/MWh <br>↓ 14.5% from 2005","512 kg/MWh <br>↓ 14.5% from 2005","172 Million<br>Metric Tonnes",2011,"2011-12-01"
499.9247856195517,1102.1341823768635,169.7344388122214,"1,102 lb/MWh <br>↓ 16.6% from 2005","500 kg/MWh <br>↓ 16.6% from 2005","170 Million<br>Metric Tonnes",2012,"2012-01-01"
