year,month,generation (mwh),elec fuel co2 (kg),final co2 (kg),index (g/kwh),datetime,quarter,index (lb/mwh),change since 2005
2001,1,332483912.02000004,211062656823.8329,214592901195.1193,645.423412794213,2001-01-01,1,1422.9004558461222,0.07726704451725917
2001,2,282940199.01,176265795436.37463,179944169497.54108,635.9795113142663,2001-02-01,1,1402.0804306434316,0.061504362788732996
2001,3,300706545.01000005,186065993327.7813,188724234737.954,627.6026839777563,2001-03-01,1,1383.6128770973617,0.04752271934607286
2001,4,278078103.0,171756470908.64038,174497697759.13858,627.5132629164209,2001-04-01,2,1383.4157394255417,0.047373467923591345
2001,5,300485702.02,185981664592.41208,188808504317.49658,628.3443872644885,2001-05-01,2,1385.2480361632915,0.048760685759698316
2001,6,327693488.02000004,201577804168.02216,204791605486.63727,624.9486577351158,2001-06-01,2,1377.7618108428364,0.04309292186769696
2001,7,357589591.0,226046345970.72693,229419279837.34442,641.5714707907827,2001-07-01,3,1414.4084645053595,0.07083782286922082
2001,8,370485240.02,236017375549.54764,238732469311.08905,644.377814614697,2001-08-01,3,1420.595330099561,0.07552185145752263
2001,9,306928868.01,191759395280.43842,193570495905.1146,630.6689141368348,2001-09-01,3,1390.372688106066,0.052640520522481915
2001,10,294730111.03000003,182265082938.073,182917993625.11777,620.6287948858367,2001-10-01,4,1368.2382412053155,0.035882700186682985
2001,11,278902324.0,170043543145.67734,171528826050.8954,615.013971883918,2001-11-01,4,1355.8598024152857,0.026511078920918592
2001,12,305496328.01,185657956268.04456,186535967157.3875,610.5997030225566,2001-12-01,4,1346.1281052835284,0.019143285506985606
2002,1,319942507.01,191134869500.4345,193824669960.12753,605.8109370070962,2002-01-01,1,1335.5707917258444,0.011150424216091376
2002,2,281820983.0,167214216197.14893,169699374340.67,602.1530850336649,2002-02-01,1,1327.5066912652176,0.00504515547841023
2002,3,302537613.0,181405133049.8713,184065466281.78574,608.4052308622721,2002-03-01,1,1341.2901719589652,0.015480523215561244
2002,4,289825248.01000005,171709349853.62402,174236321427.5525,601.1771666681734,2002-04-01,2,1325.3551816366553,0.003416264005862586
2002,5,307675182.0,182073891607.0185,185339887326.8634,602.3881618338115,2002-05-01,2,1328.024941578821,0.00543751882425202
2002,6,340992314.01000005,204215929253.0834,207292276843.3946,607.908942010099,2002-06-01,2,1340.1960535554645,0.014652174546440699
2002,7,381440773.0,234425531040.83698,237508016823.93954,622.6602755545998,2002-07-01,3,1372.7168434876708,0.03927341569630177
2002,8,374500101.0,231108625707.57513,234653440290.56137,626.577775717506,2002-08-01,3,1381.3533643468138,0.04581205953650504
2002,9,331276269.0,204451072899.85394,208423424665.2749,629.1528979556182,2002-09-01,3,1387.0304788329559,0.0501101594624311
2002,10,307060026.0,190992204210.95377,194041249991.13715,631.9326306288307,2002-10-01,4,1393.1586774843202,0.054749771757336266
2002,11,296289137.01,181431574474.39374,183551132417.03333,619.5000406337487,2002-11-01,4,1365.7497895811623,0.03399871250816218
2002,12,324830122.01,198638025855.895,201541303457.61124,620.4513984432969,2002-12-01,4,1367.8471530080924,0.035586610305878376
2003,1,341978972.03,211192782331.29288,215969815833.60828,631.529519349109,2003-01-01,1,1392.2699783570458,0.05407694445000743
2003,2,299236229.27,183354335871.72964,187297797819.20572,625.9195227667685,2003-02-01,1,1379.902179891618,0.044713378892560295
