year,month,fuel category,generation (mwh)
2001,1,Coal,0.5332052875914801
2001,2,Coal,0.5292124804408316
2001,3,Coal,0.516347296386074
2001,4,Coal,0.5058660282031999
2001,5,Coal,0.5044829985459062
2001,6,Coal,0.4962428818267756
2001,7,Coal,0.5007090332389391
2001,8,Coal,0.4941966248669335
2001,9,Coal,0.5022607322961927
2001,10,Coal,0.5053065189412244
2001,11,Coal,0.516670710515395
2001,12,Coal,0.5152348345083873
2002,1,Coal,0.513712757892009
2002,2,Coal,0.5075790316818218
2002,3,Coal,0.5006978885811
2002,4,Coal,0.4909624036961161
2002,5,Coal,0.4920991731364057
2002,6,Coal,0.4828636938494708
2002,7,Coal,0.4801428168451143
2002,8,Coal,0.48041179850431015
2002,9,Coal,0.4991746906932955
2002,10,Coal,0.5181383892227258
2002,11,Coal,0.5266930582140894
2002,12,Coal,0.5300858942578018
2003,1,Coal,0.53017262236977
2003,2,Coal,0.5245885478855262
2003,3,Coal,0.5093426919243611
2003,4,Coal,0.49678792582890885
2003,5,Coal,0.4885887665562133
2003,6,Coal,0.4937260175086351
2003,7,Coal,0.4857217870907607
2003,8,Coal,0.4853952391840938
2003,9,Coal,0.5103431366975567
2003,10,Coal,0.5194055466995662
2003,11,Coal,0.5311879061611148
2003,12,Coal,0.5315100246689562
2004,1,Coal,0.5213091912274713
2004,2,Coal,0.5138829662907379
2004,3,Coal,0.49961909327159587
2004,4,Coal,0.4868908246148874
2004,5,Coal,0.4796146703658999
2004,6,Coal,0.4857987683595087
2004,7,Coal,0.4809874759942624
2004,8,Coal,0.4836114652968957
2004,9,Coal,0.48939827095058175
2004,10,Coal,0.5044166521540351
2004,11,Coal,0.521136509592499
2004,12,Coal,0.5169067237078385
2005,1,Coal,0.5158928562508729
2005,2,Coal,0.5220028455139093
2005,3,Coal,0.5153833200684222
2005,4,Coal,0.4941361140092052
2005,5,Coal,0.4886590823927369
2005,6,Coal,0.4808376016588075
2005,7,Coal,0.46259720545306654
2005,8,Coal,0.463212917850077
2005,9,Coal,0.49014132130099203
2005,10,Coal,0.513393991833599
2005,11,Coal,0.5187508108570176
2005,12,Coal,0.5112457117664558
2006,1,Coal,0.514931068845044
2006,2,Coal,0.5161045737670544
2006,3,Coal,0.5061500852360699
2006,4,Coal,0.47481080522655145
2006,5,Coal,0.47490127299737556
2006,6,Coal,0.4658583772809803
2006,7,Coal,0.4576300094010638
2006,8,Coal,0.46462073577571206
2006,9,Coal,0.48663684640285665
2006,10,Coal,0.5018848741098811
2006,11,Coal,0.5157204118395592
2006,12,Coal,0.5159607361812966
2007,1,Coal,0.49709754047063526
2007,2,Coal,0.5061492210097456
2007,3,Coal,0.498675240275471
2007,4,Coal,0.48246624544500033
2007,5,Coal,0.477019883464811
2007,6,Coal,0.4783199205196892
2007,7,Coal,0.4706036329919019
2007,8,Coal,0.45077364211244525
2007,9,Coal,0.47662964158127774
2007,10,Coal,0.48775356802734177
2007,11,Coal,0.5074217267410671
2007,12,Coal,0.5019772433985432
2008,1,Coal,0.5037914482952499
2008,2,Coal,0.5126529849733967
2008,3,Coal,0.49515854209946064
2008,4,Coal,0.4805486371519006
2008,5,Coal,0.4763055410432184
2008,6,Coal,0.4584270727811759
2008,7,Coal,0.4634730714499374
2008,8,Coal,0.464222772211117
2008,9,Coal,0.47730637904650053
2008,10,Coal,0.4766660858243816
2008,11,Coal,0.49760705816936057
2008,12,Coal,0.4878935216280891
2009,1,Coal,0.48430624415301604
2009,2,Coal,0.4683339542559821
2009,3,Coal,0.43634589360488435
2009,4,Coal,0.4349525696066528
2009,5,Coal,0.4229700410423177
2009,6,Coal,0.4259550142499044
2009,7,Coal,0.4247407629736269
2009,8,Coal,0.42825632514234613
2009,9,Coal,0.4188894064189743
2009,10,Coal,0.45582146332679874
2009,11,Coal,0.4612056144113575
2009,12,Coal,0.47483757912170443
2010,1,Coal,0.4801682215497009
2010,2,Coal,0.4786597961501934
2010,3,Coal,0.4625900142543452
2010,4,Coal,0.44111113757136367
2010,5,Coal,0.4368909752569776
2010,6,Coal,0.4404186677995985
2010,7,Coal,0.43834353790141245
2010,8,Coal,0.4347082608637912
2010,9,Coal,0.4298446671091646
2010,10,Coal,0.4295581268512741
2010,11,Coal,0.44176729264616676
2010,12,Coal,0.4618869725510343
2011,1,Coal,0.4706969115779238
2011,2,Coal,0.44171001156436474
2011,3,Coal,0.4230970361168581
2011,4,Coal,0.41166653195788455
2011,5,Coal,0.42363906744312485
2011,6,Coal,0.4298167013141629
2011,7,Coal,0.42175513594938946
2011,8,Coal,0.4213425990629958
2011,9,Coal,0.41707039790451583
2011,10,Coal,0.41019626383509283
2011,11,Coal,0.39941417381166505
2011,12,Coal,0.39592700578071965
2012,1,Coal,0.380208900843837
2012,2,Coal,0.36805409271784956
2012,3,Coal,0.34140767966204655
2012,4,Coal,0.326137926269285
2012,5,Coal,0.344656993477147
2012,6,Coal,0.3637799417618518
2012,7,Coal,0.38696168100495043
2012,8,Coal,0.38458719138198405
2012,9,Coal,0.37535572979166754
2012,10,Coal,0.3882515294686011
2012,11,Coal,0.4207098869759686
2012,12,Coal,0.4006723985317671
2013,1,Coal,0.3957528119194575
2013,2,Coal,0.3988879691890456
2013,3,Coal,0.4014567561232925
2013,4,Coal,0.37361310562098393
2013,5,Coal,0.37097751832151576
2013,6,Coal,0.3875404689125304
2013,7,Coal,0.3871560038643257
2013,8,Coal,0.3878317710552815
2013,9,Coal,0.3904208520510132
2013,10,Coal,0.38420644678003496
2013,11,Coal,0.3844975756908715
2013,12,Coal,0.4018445526499811
2014,1,Coal,0.41573486521808445
2014,2,Coal,0.44088947776488224
2014,3,Coal,0.4100699210407168
2014,4,Coal,0.36595322961524107
2014,5,Coal,0.3645790473584764
2014,6,Coal,0.38328176586864754
2014,7,Coal,0.38670508964429445
2014,8,Coal,0.385108214110159
2014,9,Coal,0.3698979978322842
2014,10,Coal,0.35277523678918066
2014,11,Coal,0.3742770211299326
2014,12,Coal,0.36791188572045375
2015,1,Coal,0.36669415596527183
2015,2,Coal,0.378706002335114
2015,3,Coal,0.3334738540552178
2015,4,Coal,0.30125282732700537
2015,5,Coal,0.3233098941601323
2015,6,Coal,0.3454292660095805
2015,7,Coal,0.34610090347465755
2015,8,Coal,0.3421638656564647
2015,9,Coal,0.3357097621135515
2015,10,Coal,0.30882733819017133
2015,11,Coal,0.2891807804356575
2015,12,Coal,0.2750806731026075
2016,1,Coal,0.3209779711094464
2016,2,Coal,0.2944034965400211
2016,3,Coal,0.2359370578779376
2016,4,Coal,0.24447297027018108
2016,5,Coal,0.2559743065300095
2016,6,Coal,0.3137793505385482
2016,7,Coal,0.32931021298696767
2016,8,Coal,0.329544730560706
2016,9,Coal,0.32323267516140036
2016,10,Coal,0.3159233835533992
2016,11,Coal,0.2912279084774531
2016,12,Coal,0.3428881473787915
2017,1,Coal,0.3375135116761757
2017,2,Coal,0.30106395174460715
2017,3,Coal,0.2801608288319227
2017,4,Coal,0.27636345333575774
2017,5,Coal,0.28770459630218914
2017,6,Coal,0.30173027596369756
2017,7,Coal,
2017,8,Coal,
2017,9,Coal,
2017,10,Coal,
2017,11,Coal,
2017,12,Coal,
2001,1,Hydro,0.05669905510236662
2001,2,Hydro,0.06175470690806543
2001,3,Hydro,0.06809691843620137
2001,4,Hydro,0.06477656477539424
