year,nerc,month,type,generation (mwh),total fuel (mmbtu),elec fuel (mmbtu)
2016,-,1,COW,44246.086330416954,1251726.718558165,301734.69111410074
2016,-,1,HYC,40886.35369814985,,
2016,-,1,NG,16667.567024987602,384190.7959769381,171271.03856923606
2016,-,1,PEL,97.4220868957508,1129.0426753668198,1128.3613459318817
2016,-,1,WND,1361.6883868438795,,
2016,-,1,WWW,0.6205684599181137,,
2016,-,2,COW,37740.03456919985,1098564.7945225844,254900.7915849529
2016,-,2,HYC,84000.44713302008,,
2016,-,2,NG,16090.407960335055,376291.78236671106,167384.04589709174
2016,-,2,OTH,1137.871,,
2016,-,2,PEL,62.2908164082241,800.0760341840739,798.2304327283977
2016,-,2,WND,1468.483406463738,,
2016,-,2,WWW,0.5820354432755918,,
2016,-,3,COW,37113.57257993812,1048866.8340165038,251326.27530004788
2016,-,3,HYC,96301.813258115,,
2016,-,3,NG,21098.392317989077,415509.43325511663,209383.50705219805
2016,-,3,OTH,1148.0880000000002,,
2016,-,3,PEL,55.11674662881886,679.8927353697889,680.9061158870162
2016,-,3,WND,1508.6248355484738,,
2016,-,3,WWW,0.6069688801333848,,
2016,-,4,COW,32845.57238799699,815225.1167801579,224344.4277375671
2016,-,4,HYC,82445.62718227603,,
2016,-,4,NG,43028.511825288166,541769.4148933914,339949.7370157342
2016,-,4,OTH,1377.0520000000001,,
2016,-,4,PEL,46.49011937696382,603.8120126264972,602.6201504362568
2016,-,4,WND,1453.2397544762262,,
2016,-,4,WWW,0.5336330176781162,,
2016,-,5,COW,34652.88716065933,917758.8055703498,235525.86887200968
2016,-,5,HYC,47942.23978851322,,
2016,-,5,NG,36999.0016454219,476438.15469261305,286098.2276409523
2016,-,5,OTH,1240.823,,
2016,-,5,PEL,67.78707344411846,821.8599648256528,822.2594737244079
2016,-,5,WND,1282.3214421510327,,
2016,-,5,WWW,0.6230880342862946,,
2016,-,6,COW,51792.88211761296,1086420.5289068322,358302.13463292795
2016,-,6,HYC,2307.1951102163657,,
2016,-,6,NG,41342.03009146291,513953.43212001794,351086.4712590406
2016,-,6,OTH,1272.6550000000002,,
2016,-,6,PEL,62.40830980283522,773.305168578373,773.2231143887338
2016,-,6,WND,1200.0564964782197,,
2016,-,6,WWW,0.6412679552691491,,
2016,-,7,COW,51381.13191440803,1104684.7043358926,352122.6116018498
2016,-,7,HYC,92237.88665550033,,
2016,-,7,NG,59185.50218646492,706733.3791371593,542029.0138705106
2016,-,7,OTH,1293.9,,
2016,-,7,PEL,73.24370453340472,907.3333808864464,906.5008611252103
2016,-,7,SUN,1150.2559580837794,,
2016,-,7,WND,1053.0135109940586,,
2016,-,7,WWW,0.6543147375142415,,
2016,-,8,COW,44147.148069779716,1032240.0614550659,288455.4454482787
2016,-,8,HYC,72885.61001035591,,
2016,-,8,NG,71704.26681965314,801264.1963743491,613741.355814415
2016,-,8,OTH,1636.9539999999997,,
2016,-,8,PEL,54.011924859137004,855.0500264478774,854.1827396760992
2016,-,8,SUN,1209.7010676114467,,
2016,-,8,WND,861.0997236479421,,
2016,-,8,WWW,0.6513822363616508,,
2016,-,9,COW,37092.66198926598,923042.5707452567,253231.96999134036
2016,-,9,HYC,74047.88629529874,,
2016,-,9,NG,33045.51497160015,470715.5700384274,296817.9844927811
2016,-,9,OTH,1688.8580000000002,,
2016,-,9,PEL,60.08444184931436,773.8187922934663,771.7552896096511
2016,-,9,SUN,1095.7002379505366,,
2016,-,9,WND,1103.7739395275769,,
2016,-,9,WWW,0.5992270272771572,,
2016,-,10,COW,42419.46279733976,966776.5479403893,292460.9094432899
2016,-,10,HYC,52333.1794468561,,
2016,-,10,NG,24398.254086794215,401423.97982986143,227939.63913432247
