year,nerc,month,type,generation (mwh),total fuel (mmbtu),elec fuel (mmbtu)
2016,WECC,4,WWW,189705.29299999998,,
2016,WECC,5,COW,225186.8680000003,3941223.0,2501650.0
2016,WECC,5,GEO,530340.01,,
2016,WECC,5,HYC,2860176.17,,
2016,WECC,5,NG,2232162.137284871,26453993.665066697,16968385.301892683
2016,WECC,5,OOG,-37349.03599999998,,
2016,WECC,5,OTH,52759.176,,
2016,WECC,5,PC,0.0,0.0,0.0
2016,WECC,5,PEL,974.6459871430783,15475.097145653574,12471.155879361544
2016,WECC,5,SUN,682755.7591483721,,
2016,WECC,5,WAS,250455.72499999998,,
2016,WECC,5,WND,280543.3560733844,,
2016,WECC,5,WWW,208820.338,,
2016,WECC,6,COW,311820.82100000035,4995880.0,3449819.0
2016,WECC,6,GEO,480557.31,,
2016,WECC,6,HYC,2592903.469999999,,
2016,WECC,6,NG,2627042.905594123,29110357.89829933,20077950.952816848
2016,WECC,6,OOG,-35962.30799999999,,
2016,WECC,6,OTH,51047.96000000001,,
2016,WECC,6,PC,0.0,0.0,0.0
2016,WECC,6,PEL,1384.3583830333898,87935.7185813759,15606.141199162208
2016,WECC,6,SUN,675609.287589824,,
2016,WECC,6,WAS,241001.85199999998,,
2016,WECC,6,WND,247105.21818224844,,
2016,WECC,6,WWW,230693.142,,
2016,WECC,7,COW,368712.407,5599342.0,4122109.0
2016,WECC,7,GEO,497302.28,,
2016,WECC,7,HYC,2528873.16,,
2016,WECC,7,NG,2867772.3074290296,32462524.283445217,22632337.910642616
2016,WECC,7,OOG,-34370.789000000004,,
2016,WECC,7,OTH,54254.026,,
2016,WECC,7,PC,0.0,0.0,0.0
2016,WECC,7,PEL,1596.6111760653378,72339.96229034037,18707.399818705275
2016,WECC,7,SUN,741608.3703379491,,
2016,WECC,7,WAS,251488.584,,
2016,WECC,7,WND,261056.41720833964,,
2016,WECC,7,WWW,247783.011,,
2016,WECC,8,COW,373680.91799999995,5698392.0,4174003.0
2016,WECC,8,GEO,505687.18000000005,,
2016,WECC,8,HYC,2284289.8100000005,,
2016,WECC,8,NG,2895092.1123405406,33234421.3347626,22986290.711307496
2016,WECC,8,OOG,-34569.15000000001,,
2016,WECC,8,OTH,55258.761,,
2016,WECC,8,PC,0.0,0.0,0.0
2016,WECC,8,PEL,1657.4931938035586,64588.0,19360.0
2016,WECC,8,SUN,681100.6473198788,,
2016,WECC,8,WAS,250754.9,,
2016,WECC,8,WND,192562.41174951603,,
2016,WECC,8,WWW,247565.16199999995,,
2016,WECC,9,COW,321409.74500000064,4886814.0,3638229.0
2016,WECC,9,GEO,511617.75,,
2016,WECC,9,HYC,1858010.44,,
2016,WECC,9,NG,2285458.484169817,27170042.09032084,18154967.74243827
2016,WECC,9,OOG,-37392.257,,
2016,WECC,9,OTH,45370.893,,
2016,WECC,9,PC,0.0,0.0,0.0
2016,WECC,9,PEL,1434.0212707638866,64772.49016736289,16319.297885390799
2016,WECC,9,SUN,624449.6292797616,,
2016,WECC,9,WAS,235978.106,,
2016,WECC,9,WND,209967.5991898854,,
2016,WECC,9,WWW,225785.05800000002,,
2016,WECC,10,COW,299760.3580000001,4411837.0,3397439.0
2016,WECC,10,GEO,531163.7600000001,,
2016,WECC,10,HYC,1869832.6500000001,,
2016,WECC,10,NG,2130152.8993059634,26031615.669726245,17141826.991215713
