year,nerc,month,type,generation (mwh),total fuel (mmbtu),elec fuel (mmbtu)
2016,FRCC,1,COW,0.004111755171097718,2.6687774249316543,-1.346288662049897
2016,FRCC,1,HYC,0.0020000000004074536,-325344.0,-325344.0
2016,FRCC,1,NG,0.0028673571819500185,-1.8830627626810712,1.916230753760235
2016,FRCC,1,OOG,-21056.47783101822,-302959.43260018073,-281467.07279005006
2016,FRCC,1,OTH,0.0009748364106607122,-3980957.284084216,-3690502.3444389305
2016,FRCC,1,PEL,0.00199913223144575,-3.9990987435380734,0.9995208395145565
2016,FRCC,1,SUN,0.0010000000002037268,-83056.0,-83056.0
2016,FRCC,1,WAS,56854.1686916238,-3356566.7731276825,-3090011.831925615
2016,FRCC,1,WWW,-29018.4869310889,-9490979.104130274,-1582372.100196527
2016,FRCC,2,COW,-0.0016447023747887272,0.889592474977218,3.3657216551247426
2016,FRCC,2,HYC,0.0029999999969732016,-239628.0,-239628.0
2016,FRCC,2,NG,-0.0019115750152120593,-1.8830627626810712,0.0
2016,FRCC,2,OOG,-23476.91918051904,-335066.6845629445,-310272.7151476355
2016,FRCC,2,OTH,0.003899345727757271,-3593557.048727629,-3334421.3395727025
2016,FRCC,2,PEL,1.8182001788875586e-12,0.9997746858845183,0.0
2016,FRCC,2,SUN,-0.003999999998995918,-143497.0,-143497.0
2016,FRCC,2,WAS,65897.63481860154,-3204712.445674283,-2942826.9844890223
2016,FRCC,2,WWW,-34469.39412484272,-9199629.182552606,-1492874.6726420354
2016,FRCC,3,COW,3.829370497728335e-10,0.0,-1.346288662049897
2016,FRCC,3,HYC,0.0020000000004074536,-184946.0,-184946.0
2016,FRCC,3,NG,0.0,-2.824594144021607,-3.83246150752047
2016,FRCC,3,OOG,-25312.919500710952,-347794.20005577157,-326061.4542200609
2016,FRCC,3,OTH,0.0019496728213214244,-3827666.499173595,-3556678.7242077626
2016,FRCC,3,PEL,-0.0039982644738007014,-1.9995493717690367,4.997604197572782
2016,FRCC,3,SUN,0.0020000000040454324,-166410.0,-166410.0
2016,FRCC,3,WAS,67208.83874057917,-3179556.293437549,-2854239.9611300593
2016,FRCC,3,WWW,-33924.60729546468,-9550917.113696013,-1510796.0199046363
2016,FRCC,4,COW,-0.0016447023747887272,-1.779184949954436,2.0194329930748456
2016,FRCC,4,HYC,0.0029999999969732016,-114132.0,-114132.0
2016,FRCC,4,NG,0.004778928636583364,0.9415313813405356,-0.9581153768801175
2016,FRCC,4,OOG,-25664.10347827888,-361772.6474432518,-325761.89624972263
2016,FRCC,4,OTH,5.674294784556927e-11,-4120628.2386022485,-3901671.1928057414
2016,FRCC,4,PEL,0.002998698347168625,4.998873429422591,1.999041679029113
2016,FRCC,4,SUN,-0.0020000000040454324,-257005.0,-257005.0
2016,FRCC,4,WAS,66481.56261084494,-3694288.6017969702,-3345553.953249705
2016,FRCC,4,WWW,-32995.5186396151,-9048877.43364337,-1127302.9895856213
2016,FRCC,5,COW,0.0016447019918516775,0.0,-0.6731443310249485
2016,FRCC,5,HYC,0.005000000001018634,-140252.0,-140252.0
2016,FRCC,5,NG,-0.0038231375683986206,2.824594144021607,0.0
2016,FRCC,5,OOG,-25484.355608765367,-358267.6342779672,-330040.76750504767
2016,FRCC,5,OTH,0.0019496728213214244,-3905878.9844399816,-3836538.520672602
2016,FRCC,5,PEL,0.000999566115722875,0.0,-1.999041679029113
2016,FRCC,5,SUN,-0.004000000000814907,-309209.0,-309209.0
2016,FRCC,5,WAS,52812.99038639193,-3290937.7273887186,-2964602.102779843
2016,FRCC,5,WWW,-21629.517393708375,-8674556.07207701,-1257519.6927305735
2016,FRCC,6,COW,-0.003289403600766305,3.558369899908872,-1.346288662049897
2016,FRCC,6,HYC,0.0010000000002037268,-93200.0,-93200.0
2016,FRCC,6,NG,0.00477892507600465,-1.8830627626810712,4.790576884400587
