year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,7501892.0,3384107390.15,451.100521062,0.0207116431021,994.496208734
2002,6469384.0,3124794395.08,483.012663197,0.0929197065205,1064.84971728
2003,5621143.0,2430534080.54,432.391433654,-0.0216216783154,953.250154633
2004,4837893.44,2055142433.64,424.801095587,-0.0387964455315,936.51649533
2005,6053294.08,2675235588.9,441.947071057,0.0,974.316512851
2006,5967724.54,2415271614.78,404.722369236,-0.0842288687011,892.250935217
2007,7049843.99,2900298002.84,411.398891515,-0.0691218056247,906.969996233
2008,7387265.78,3025801136.3,409.59689639,-0.0731992059352,902.997317781
2009,7696824.46,3142536371.42,408.28998865,-0.076156364892,900.116108978
2010,7738719.02,3218051740.36,415.837780393,-0.0590778678567,916.755970655
2011,8722272.6,3617416842.61,414.733293546,-0.061577006145,914.321018952
2012,8309035.82,3429581333.57,412.753225267,-0.0660573351455,909.955760424
2013,6239281.472,2552713318.48,409.135784294,-0.074242570912,901.980750055
2014,6289252.124,2547319754.68,405.027450714,-0.0835385564488,892.923517844
2015,6947702.715,2886321235.39,415.43533939,-0.0599884769081,915.868749219
2016,6553220.946,2604231661.88,397.397201062,-0.100803632182,876.101869462
2017,1134584.526,534790406.866,471.353517178,0.0665383889781,1039.14596397
