year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,48623598.001,36180434383.8,744.092084323,0.0130982748581,1640.4254091
2002,52908924.001,39137005923.7,739.705194589,0.00712542483767,1630.75407199
2003,55178599.002,41432662065.5,750.882820784,0.0223440168014,1655.3962667
2004,52439889.626,38863633752.3,741.108229431,0.00903568864542,1633.8472026
2005,53074708.899,38981875450.3,734.471771188,0.0,1619.21646676
2006,53315145.109,37838736392.8,709.718342048,-0.0337023560479,1564.64505688
2007,54477646.47,37948287811.7,696.584567629,-0.0515842882541,1535.69033779
2008,54763359.92,36856765208.9,673.018698319,-0.0836697546185,1483.73702231
2009,52491848.87,32994154248.6,628.557670551,-0.144204453857,1385.7182405
2010,53670227.03,31744951286.6,591.481591254,-0.194684378003,1303.98031608
2011,53120061.54,31499042395.0,592.978273779,-0.192646610748,1307.27990237
2012,52882586.565,27502648001.3,520.070022814,-0.291912850547,1146.5463723
2013,51440869.17,28191762715.7,548.042114579,-0.253828212223,1208.2136458
2014,57148909.156,31071832150.2,543.699479291,-0.25974080881,1198.63987205
2015,57131418.333,28864831407.4,505.235687292,-0.312110135323,1113.8425962
2016,60168332.437,28590339487.5,475.172542257,-0.353041790172,1047.56538666
2017,15255191.408,7193263916.27,471.528919165,-0.358002665776,1039.53265519
