year,generation (MWh),final CO2 (kg),index (g/kWh),change since 2005,index (lb/MWh)
2001,122506764.94,1.24485349859e+11,1016.15082171,0.0351841191024,2240.20610155
2002,125608144.0,1.24169576826e+11,988.547182308,0.00706344200515,2179.35111812
2003,124888212.0,1.2214085026e+11,978.001432671,-0.00367983774773,2156.10195847
2004,127770395.74,1.26240134042e+11,988.023346961,0.00652979481288,2178.19627071
2005,130371572.51,1.27974510127e+11,981.613611492,0.0,2164.0653679
2006,130489787.67,1.27052919646e+11,973.661785452,-0.00810076994392,2146.53477221
2007,130637998.59,1.26300491728e+11,966.797509845,-0.0150936187861,2131.4017902
2008,129510294.01,1.23885033597e+11,956.565148304,-0.0255176404391,2108.84352595
2009,116670279.9,1.09998915375e+11,942.818646435,-0.0395216250089,2078.53798793
2010,125180738.91,1.16582562986e+11,931.313906606,-0.0512418575882,2053.1746385
2011,122131414.0,1.11983261899e+11,916.907929187,-0.0659176701985,2021.41522069
2012,114695560.449,1.03159402719e+11,899.419317675,-0.0837338570436,1982.85982775
2013,110403477.16,1.03638485425e+11,938.724830874,-0.0436921209285,2069.51276214
2014,115404689.14,1.07214985907e+11,929.034917953,-0.0535635334755,2048.15038012
2015,104031316.34,92364123531.6,887.849224456,-0.0955206671324,1957.35240024
2016,101837726.58,86061234277.9,845.082045407,-0.139088908799,1863.0678773
2017,25191245.73,20620370057.3,818.553011561,-0.166114852139,1804.58196929
